date,벤처기업
2020-03-20,60.47486
2020-03-21,35.05586
2020-03-22,40.50279
2020-03-23,69.4134
2020-03-24,63.82681
2020-03-25,63.54748
2020-03-26,69.13407
2020-03-27,64.38547
2020-03-28,37.43016
2020-03-29,42.59776
2020-03-30,69.27374
2020-03-31,71.92737
2020-04-01,63.96648
2020-04-02,66.20111
2020-04-03,58.93854
2020-04-04,34.77653
2020-04-05,39.94413
2020-04-06,61.45251
2020-04-07,99.72067
2020-04-08,76.9553
2020-04-09,70.39106
2020-04-10,58.79888
2020-04-11,33.10055
2020-04-12,40.78212
2020-04-13,60.61452
2020-04-14,61.31284
2020-04-15,39.38547
2020-04-16,69.13407
2020-04-17,67.17877
2020-04-18,37.84916
2020-04-19,38.68715
2020-04-20,61.03351
2020-04-21,63.40782
2020-04-22,65.36312
2020-04-23,67.4581
2020-04-24,51.39664
2020-04-25,34.21787
2020-04-26,34.4972
2020-04-27,62.56983
2020-04-28,62.01117
2020-04-29,65.64245
2020-04-30,47.06703
2020-05-01,37.2905
2020-05-02,27.79329
2020-05-03,33.10055
2020-05-04,48.60335
2020-05-05,44.4134
2020-05-06,66.20111
2020-05-07,75.0
2020-05-08,58.93854
2020-05-09,36.45251
2020-05-10,42.87709
2020-05-11,61.8715
2020-05-12,65.78212
2020-05-13,64.38547
2020-05-14,62.70949
2020-05-15,54.88826
2020-05-16,34.21787
2020-05-17,30.02793
2020-05-18,58.93854
2020-05-19,69.27374
2020-05-20,60.47486
2020-05-21,56.70391
2020-05-22,56.42458
2020-05-23,30.58659
2020-05-24,35.05586
2020-05-25,66.75977
2020-05-26,70.53072
2020-05-27,68.71508
2020-05-28,59.07821
2020-05-29,56.14525
2020-05-30,28.91061
2020-05-31,32.40223
2020-06-01,57.40223
2020-06-02,65.78212
2020-06-03,68.01675
2020-06-04,53.91061
2020-06-05,56.28491
2020-06-06,32.96089
2020-06-07,42.73743
2020-06-08,59.21787
2020-06-09,77.3743
2020-06-10,65.22346
2020-06-11,73.46368
2020-06-12,68.29608
2020-06-13,32.96089
2020-06-14,44.27374
2020-06-15,70.53072
2020-06-16,64.10614
2020-06-17,64.6648
2020-06-18,67.73743
2020-06-19,50.41899
2020-06-20,32.26256
2020-06-21,38.96648
2020-06-22,61.31284
2020-06-23,58.24022
2020-06-24,72.34636
2020-06-25,65.92178
2020-06-26,77.51396
2020-06-27,38.96648
2020-06-28,32.68156
2020-06-29,66.20111
2020-06-30,53.49162
2020-07-01,62.01117
2020-07-02,61.17318
2020-07-03,55.16759
2020-07-04,26.67597
2020-07-05,31.28491
2020-07-06,53.21229
2020-07-07,58.51955
2020-07-08,55.30726
2020-07-09,62.56983
2020-07-10,51.39664
2020-07-11,25.83798
2020-07-12,47.34636
2020-07-13,61.17318
2020-07-14,62.15083
2020-07-15,66.89944
2020-07-16,58.65921
2020-07-17,52.65363
2020-07-18,32.40223
2020-07-19,36.8715
2020-07-20,62.15083
2020-07-21,61.45251
2020-07-22,62.56983
