date,주식회사설립
2020-03-20,38.88888
2020-03-21,26.19047
2020-03-22,35.71428
2020-03-23,44.44444
2020-03-24,50.79365
2020-03-25,42.85714
2020-03-26,38.88888
2020-03-27,46.03174
2020-03-28,38.09523
2020-03-29,30.15873
2020-03-30,45.23809
2020-03-31,48.41269
2020-04-01,45.23809
2020-04-02,36.50793
2020-04-03,42.06349
2020-04-04,26.19047
2020-04-05,27.77777
2020-04-06,33.33333
2020-04-07,33.33333
2020-04-08,30.15873
2020-04-09,34.12698
2020-04-10,46.82539
2020-04-11,22.22222
2020-04-12,27.77777
2020-04-13,29.36507
2020-04-14,40.47619
2020-04-15,25.39682
2020-04-16,43.65079
2020-04-17,42.06349
2020-04-18,22.22222
2020-04-19,25.39682
2020-04-20,38.88888
2020-04-21,46.03174
2020-04-22,48.41269
2020-04-23,47.61904
2020-04-24,46.03174
2020-04-25,32.53968
2020-04-26,31.74603
2020-04-27,34.12698
2020-04-28,38.88888
2020-04-29,33.33333
2020-04-30,22.22222
2020-05-01,9.5238
2020-05-02,12.69841
2020-05-03,23.80952
2020-05-04,44.44444
2020-05-05,30.15873
2020-05-06,45.23809
2020-05-07,53.1746
2020-05-08,48.41269
2020-05-09,25.39682
2020-05-10,15.07936
2020-05-11,37.30158
2020-05-12,46.03174
2020-05-13,51.5873
2020-05-14,36.50793
2020-05-15,50.0
2020-05-16,10.31746
2020-05-17,23.01587
2020-05-18,43.65079
2020-05-19,35.71428
2020-05-20,48.41269
2020-05-21,30.95238
2020-05-22,38.09523
2020-05-23,23.80952
2020-05-24,26.19047
2020-05-25,42.06349
2020-05-26,34.12698
2020-05-27,40.47619
2020-05-28,38.09523
2020-05-29,39.68253
2020-05-30,29.36507
2020-05-31,15.07936
2020-06-01,29.36507
2020-06-02,37.30158
2020-06-03,34.92063
2020-06-04,27.77777
2020-06-05,23.80952
2020-06-06,23.01587
2020-06-07,20.63492
2020-06-08,36.50793
2020-06-09,35.71428
2020-06-10,32.53968
2020-06-11,27.77777
2020-06-12,37.30158
2020-06-13,18.25396
