date,5대골절
2020-03-20,38.04034
2020-03-21,19.02017
2020-03-22,11.23919
2020-03-23,33.42939
2020-03-24,43.80403
2020-03-25,44.66858
2020-03-26,45.53314
2020-03-27,34.87031
2020-03-28,26.51296
2020-03-29,21.32564
2020-03-30,46.10951
2020-03-31,40.92219
2020-04-01,35.44668
2020-04-02,36.31123
2020-04-03,30.83573
2020-04-04,14.98559
2020-04-05,15.27377
2020-04-06,36.31123
2020-04-07,35.73487
2020-04-08,37.17579
2020-04-09,37.17579
2020-04-10,30.54755
2020-04-11,13.83285
2020-04-12,11.23919
2020-04-13,41.21037
2020-04-14,36.02305
2020-04-15,20.46109
2020-04-16,40.634
2020-04-17,35.1585
2020-04-18,21.32564
2020-04-19,17.29106
2020-04-20,40.34582
2020-04-21,33.71757
2020-04-22,37.17579
2020-04-23,44.09221
2020-04-24,38.61671
2020-04-25,10.37463
2020-04-26,19.88472
2020-04-27,37.17579
2020-04-28,34.58213
2020-04-29,27.95389
2020-04-30,14.98559
2020-05-01,16.71469
2020-05-02,12.39193
2020-05-03,12.39193
2020-05-04,40.634
2020-05-05,23.63112
2020-05-06,33.42939
2020-05-07,42.07492
2020-05-08,41.49855
2020-05-09,19.30835
2020-05-10,15.27377
2020-05-11,38.04034
2020-05-12,38.90489
2020-05-13,46.97406
2020-05-14,39.19308
2020-05-15,33.71757
2020-05-16,16.71469
2020-05-17,18.73198
2020-05-18,44.3804
2020-05-19,48.41498
2020-05-20,49.56772
2020-05-21,39.19308
2020-05-22,40.34582
2020-05-23,18.15561
2020-05-24,20.46109
2020-05-25,47.55043
2020-05-26,43.80403
2020-05-27,43.22766
2020-05-28,39.76945
2020-05-29,36.02305
2020-05-30,22.1902
2020-05-31,12.39193
2020-06-01,39.76945
2020-06-02,40.05763
2020-06-03,41.49855
2020-06-04,35.73487
2020-06-05,36.02305
2020-06-06,14.40922
2020-06-07,11.23919
2020-06-08,36.8876
2020-06-09,43.80403
2020-06-10,46.39769
2020-06-11,43.80403
2020-06-12,40.05763
2020-06-13,16.13832
2020-06-14,17.57925
2020-06-15,51.29682
2020-06-16,49.56772
2020-06-17,40.05763
2020-06-18,39.76945
2020-06-19,33.71757
2020-06-20,18.4438
2020-06-21,13.54466
2020-06-22,38.61671
2020-06-23,41.21037
2020-06-24,43.51585
2020-06-25,39.48126
2020-06-26,37.75216
2020-06-27,17.86743
2020-06-28,13.83285
2020-06-29,38.61671
2020-06-30,35.1585
2020-07-01,30.54755
2020-07-02,38.90489
2020-07-03,38.04034
2020-07-04,18.73198
2020-07-05,17.29106
2020-07-06,35.1585
2020-07-07,36.8876
2020-07-08,46.97406
2020-07-09,50.72046
2020-07-10,34.58213
2020-07-11,16.13832
2020-07-12,14.98559
2020-07-13,47.55043
2020-07-14,41.78674
2020-07-15,47.26224
2020-07-16,38.90489
2020-07-17,42.93948
2020-07-18,20.74927
2020-07-19,12.96829
2020-07-20,55.33141
2020-07-21,48.1268
2020-07-22,48.1268
2020-07-23,42.93948
2020-07-24,41.21037
2020-07-25,17.57925
2020-07-26,20.74927
2020-07-27,48.41498
2020-07-28,41.21037
2020-07-29,43.51585
2020-07-30,36.31123
2020-07-31,34.00576
2020-08-01,18.15561
2020-08-02,15.56195
2020-08-03,44.3804
2020-08-04,48.70317
2020-08-05,47.26224
2020-08-06,41.78674
2020-08-07,38.04034
2020-08-08,19.02017
2020-08-09,19.02017
2020-08-10,51.29682
2020-08-11,48.99135
2020-08-12,53.02593
2020-08-13,42.65129
2020-08-14,35.44668
2020-08-15,15.56195
2020-08-16,14.98559
2020-08-17,33.42939
2020-08-18,43.22766
2020-08-19,40.05763
2020-08-20,37.75216
2020-08-21,38.32853
2020-08-22,24.20749
2020-08-23,18.15561
2020-08-24,56.19596
2020-08-25,53.02593
2020-08-26,38.90489
2020-08-27,43.51585
2020-08-28,44.3804
2020-08-29,15.27377
2020-08-30,14.12103
2020-08-31,42.93948
2020-09-01,41.49855
2020-09-02,31.98847
2020-09-03,36.8876
2020-09-04,52.44956
2020-09-05,16.71469
2020-09-06,10.37463
2020-09-07,40.92219
2020-09-08,38.90489
2020-09-09,44.66858
2020-09-10,37.17579
2020-09-11,38.90489
2020-09-12,13.25648
2020-09-13,12.10374
2020-09-14,40.634
2020-09-15,34.00576
2020-09-16,38.90489
2020-09-17,40.634
2020-09-18,31.4121
2020-09-19,19.59654
2020-09-20,18.4438
2020-09-21,40.34582
2020-09-22,40.34582
2020-09-23,31.70028
2020-09-24,40.92219
2020-09-25,44.3804
2020-09-26,19.88472
2020-09-27,11.81556
2020-09-28,36.02305
2020-09-29,35.73487
2020-09-30,9.51008
2020-10-01,8.35734
2020-10-02,10.08645
2020-10-03,12.96829
2020-10-04,18.73198
2020-10-05,41.49855
2020-10-06,37.17579
2020-10-07,42.36311
2020-10-08,31.70028
2020-10-09,14.98559
2020-10-10,16.42651
2020-10-11,11.81556
2020-10-12,35.73487
2020-10-13,40.05763
2020-10-14,43.80403
2020-10-15,35.1585
2020-10-16,36.31123
2020-10-17,16.71469
2020-10-18,17.29106
2020-10-19,40.634
2020-10-20,32.27665
2020-10-21,37.46397
2020-10-22,38.61671
2020-10-23,35.73487
2020-10-24,14.40922
2020-10-25,16.71469
2020-10-26,41.49855
2020-10-27,42.65129
2020-10-28,44.09221
2020-10-29,46.10951
2020-10-30,37.46397
2020-10-31,16.71469
2020-11-01,14.12103
2020-11-02,42.07492
2020-11-03,43.22766
2020-11-04,42.36311
2020-11-05,44.66858
2020-11-06,41.21037
2020-11-07,17.57925
2020-11-08,10.08645
2020-11-09,40.634
2020-11-10,33.14121
2020-11-11,38.32853
2020-11-12,36.02305
2020-11-13,32.56484
2020-11-14,14.12103
2020-11-15,10.37463
2020-11-16,36.59942
2020-11-17,41.49855
2020-11-18,39.19308
2020-11-19,38.32853
2020-11-20,32.85302
2020-11-21,21.61383
2020-11-22,16.13832
2020-11-23,36.59942
2020-11-24,29.97118
2020-11-25,38.61671
2020-11-26,37.46397
2020-11-27,34.58213
2020-11-28,19.88472
2020-11-29,10.66282
2020-11-30,33.14121
2020-12-01,39.76945
2020-12-02,31.12391
2020-12-03,35.73487
2020-12-04,37.46397
2020-12-05,20.74927
2020-12-06,10.37463
2020-12-07,42.93948
2020-12-08,40.634
2020-12-09,34.00576
2020-12-10,52.44956
2020-12-11,40.634
2020-12-12,20.74927
2020-12-13,17.29106
2020-12-14,40.34582
2020-12-15,38.32853
2020-12-16,35.73487
2020-12-17,34.29394
2020-12-18,41.21037
2020-12-19,23.05475
2020-12-20,13.83285
2020-12-21,35.44668
2020-12-22,40.92219
2020-12-23,42.65129
2020-12-24,24.20749
2020-12-25,12.10374
2020-12-26,13.83285
2020-12-27,18.4438
2020-12-28,42.65129
2020-12-29,41.21037
2020-12-30,39.48126
2020-12-31,28.24207
2021-01-01,13.54466
2021-01-02,20.46109
2021-01-03,13.25648
2021-01-04,34.58213
2021-01-05,44.95677
2021-01-06,42.65129
2021-01-07,36.59942
2021-01-08,34.00576
2021-01-09,20.17291
2021-01-10,19.59654
2021-01-11,38.04034
2021-01-12,36.02305
2021-01-13,47.26224
2021-01-14,38.61671
2021-01-15,37.46397
2021-01-16,25.64841
2021-01-17,12.10374
2021-01-18,34.00576
2021-01-19,45.24495
2021-01-20,41.49855
2021-01-21,36.59942
2021-01-22,36.02305
2021-01-23,18.73198
2021-01-24,17.29106
2021-01-25,40.634
2021-01-26,43.22766
2021-01-27,48.1268
2021-01-28,36.02305
2021-01-29,35.1585
2021-01-30,19.88472
2021-01-31,16.42651
2021-02-01,47.26224
2021-02-02,42.93948
2021-02-03,45.24495
2021-02-04,41.78674
2021-02-05,38.90489
2021-02-06,20.74927
2021-02-07,16.71469
2021-02-08,44.3804
2021-02-09,46.39769
2021-02-10,29.97118
2021-02-11,12.68011
2021-02-12,9.2219
2021-02-13,13.25648
2021-02-14,14.12103
2021-02-15,46.39769
2021-02-16,42.65129
2021-02-17,38.04034
2021-02-18,41.21037
2021-02-19,32.85302
2021-02-20,19.59654
2021-02-21,10.951
2021-02-22,57.92507
2021-02-23,40.92219
2021-02-24,42.93948
2021-02-25,45.53314
2021-02-26,31.4121
2021-02-27,19.30835
2021-02-28,12.10374
2021-03-01,12.96829
2021-03-02,38.04034
2021-03-03,45.82132
2021-03-04,43.22766
2021-03-05,38.32853
2021-03-06,17.29106
2021-03-07,14.40922
2021-03-08,40.634
2021-03-09,43.22766
2021-03-10,45.24495
2021-03-11,48.1268
2021-03-12,33.71757
2021-03-13,18.73198
2021-03-14,16.13832
2021-03-15,48.1268
2021-03-16,44.09221
2021-03-17,38.32853
2021-03-18,46.39769
2021-03-19,44.95677
2021-03-20,24.78386
2021-03-21,10.37463
2021-03-22,44.09221
2021-03-23,46.68587
2021-03-24,33.71757
2021-03-25,35.44668
2021-03-26,36.02305
2021-03-27,16.42651
2021-03-28,19.02017
2021-03-29,45.53314
2021-03-30,50.72046
2021-03-31,40.34582
2021-04-01,36.8876
2021-04-02,31.4121
2021-04-03,17.00288
2021-04-04,10.951
2021-04-05,36.31123
2021-04-06,36.31123
2021-04-07,38.90489
2021-04-08,34.58213
2021-04-09,27.37752
2021-04-10,15.85014
2021-04-11,15.85014
2021-04-12,46.39769
2021-04-13,38.04034
2021-04-14,52.44956
2021-04-15,40.05763
2021-04-16,34.29394
2021-04-17,19.02017
2021-04-18,11.23919
2021-04-19,48.99135
2021-04-20,51.29682
2021-04-21,40.92219
