date,FX
2020-03-20,4.2575
2020-03-21,2.9591
2020-03-22,2.40623
2020-03-23,4.35383
2020-03-24,4.29519
2020-03-25,4.7266
2020-03-26,4.8711
2020-03-27,4.85225
2020-03-28,3.60411
2020-03-29,3.67531
2020-03-30,5.87841
2020-03-31,5.66899
2020-04-01,7.56633
2020-04-02,7.42602
2020-04-03,5.76323
2020-04-04,3.69416
2020-04-05,4.89413
2020-04-06,7.52444
2020-04-07,8.39563
2020-04-08,6.17578
2020-04-09,5.87422
2020-04-10,5.09308
2020-04-11,3.50568
2020-04-12,3.57688
2020-04-13,5.61035
2020-04-14,5.72344
2020-04-15,4.75382
2020-04-16,5.6292
2020-04-17,5.80301
2020-04-18,3.86379
2020-04-19,3.1015
2020-04-20,5.3381
2020-04-21,5.72344
2020-04-22,5.4826
2020-04-23,5.76323
2020-04-24,11.10343
2020-04-25,5.3381
2020-04-26,3.95174
2020-04-27,7.1077
2020-04-28,6.99042
2020-04-29,5.89516
2020-04-30,4.7622
2020-05-01,4.13813
2020-05-02,3.74861
2020-05-03,4.21143
2020-05-04,4.70566
2020-05-05,3.72348
2020-05-06,4.40828
2020-05-07,3.63133
2020-05-08,3.56851
2020-05-09,2.82507
2020-05-10,2.88789
2020-05-11,3.73185
2020-05-12,3.58107
2020-05-13,3.03867
2020-05-14,2.90674
2020-05-15,3.23762
2020-05-16,2.26382
2020-05-17,2.15492
2020-05-18,2.96957
2020-05-19,2.96119
2020-05-20,2.79575
2020-05-21,3.01354
2020-05-22,2.8481
2020-05-23,4.70775
2020-05-24,100.0
2020-05-25,4.06274
2020-05-26,2.98632
2020-05-27,2.68894
2020-05-28,2.56539
2020-05-29,2.13398
2020-05-30,1.79263
2020-05-31,1.83032
2020-06-01,2.33293
2020-06-02,2.64915
2020-06-03,2.43764
2020-06-04,2.07744
2020-06-05,2.00205
2020-06-06,1.6209
2020-06-07,1.51201
2020-06-08,2.23241
2020-06-09,2.24707
2020-06-10,2.15074
2020-06-11,2.11095
2020-06-12,1.79891
2020-06-13,1.83032
2020-06-14,2.32455
2020-06-15,1.97063
2020-06-16,2.06697
2020-06-17,1.9099
2020-06-18,2.08582
2020-06-19,1.72352
2020-06-20,1.61672
2020-06-21,1.41567
2020-06-22,1.98529
2020-06-23,1.77169
2020-06-24,1.86802
2020-06-25,1.88896
2020-06-26,1.73399
2020-06-27,1.40939
2020-06-28,1.43661
2020-06-29,1.73818
2020-06-30,1.85127
2020-07-01,1.76331
2020-07-02,1.76331
2020-07-03,1.88268
2020-07-04,1.44709
2020-07-05,1.41567
2020-07-06,1.56017
2020-07-07,1.72352
2020-07-08,1.58949
2020-07-09,1.98948
2020-07-10,1.623
2020-07-11,1.20416
2020-07-12,1.37169
2020-07-13,1.44918
2020-07-14,1.6565
2020-07-15,1.44918
2020-07-16,1.40939
2020-07-17,1.4785
2020-07-18,1.24185
2020-07-19,1.07432
2020-07-20,1.48059
2020-07-21,1.37798
2020-07-22,1.37379
2020-07-23,1.4408
2020-07-24,1.38635
2020-07-25,1.19997
2020-07-26,1.09107
2020-07-27,1.20835
2020-07-28,1.38426
2020-07-29,1.46174
2020-07-30,1.48269
2020-07-31,1.42614
2020-08-01,1.23557
2020-08-02,1.31724
2020-08-03,1.46174
2020-08-04,1.41777
2020-08-05,1.72771
2020-08-06,1.8764
2020-08-07,1.64394
2020-08-08,1.54761
2020-08-09,1.57274
2020-08-10,1.75284
2020-08-11,1.95807
2020-08-12,1.75703
2020-08-13,1.37169
2020-08-14,1.37798
2020-08-15,1.20835
2020-08-16,1.17275
2020-08-17,1.24814
2020-08-18,3.55804
2020-08-19,1.97063
2020-08-20,1.93294
2020-08-21,1.34866
2020-08-22,1.35913
2020-08-23,1.24604
2020-08-24,1.35075
2020-08-25,1.42824
2020-08-26,1.41567
2020-08-27,1.4429
2020-08-28,1.30259
2020-08-29,1.24604
2020-08-30,1.17065
2020-08-31,1.26489
2020-09-01,1.53295
2020-09-02,1.42195
2020-09-03,1.36541
2020-09-04,1.41986
2020-09-05,2.01461
2020-09-06,1.9476
2020-09-07,1.48687
2020-09-08,1.51201
2020-09-09,1.90362
2020-09-10,5.55171
2020-09-11,7.17262
2020-09-12,4.10253
2020-09-13,3.46589
2020-09-14,2.33502
2020-09-15,1.90781
2020-09-16,1.59787
2020-09-17,1.67116
2020-09-18,1.65022
2020-09-19,1.23976
2020-09-20,1.26489
2020-09-21,1.38217
2020-09-22,1.29002
2020-09-23,1.19997
2020-09-24,1.19788
2020-09-25,1.08688
2020-09-26,1.01568
2020-09-27,1.29421
2020-09-28,1.1518
2020-09-29,1.07432
2020-09-30,1.03662
2020-10-01,1.04709
2020-10-02,1.10783
2020-10-03,1.48478
2020-10-04,1.23138
2020-10-05,1.11201
2020-10-06,1.08898
2020-10-07,1.06385
2020-10-08,1.13296
2020-10-09,1.16856
2020-10-10,1.4785
2020-10-11,1.35075
2020-10-12,2.49837
2020-10-13,1.53295
2020-10-14,1.70467
2020-10-15,1.40311
2020-10-16,1.33609
2020-10-17,4.98418
2020-10-18,3.13291
2020-10-19,1.86592
2020-10-20,1.70677
2020-10-21,1.44499
2020-10-22,1.44918
2020-10-23,1.46803
2020-10-24,1.79053
2020-10-25,1.9832
2020-10-26,2.50047
2020-10-27,1.7298
2020-10-28,1.69001
2020-10-29,1.4785
2020-10-30,1.3319
2020-10-31,1.46384
2020-11-01,1.48059
2020-11-02,1.54551
2020-11-03,1.47222
2020-11-04,1.33609
2020-11-05,1.21882
2020-11-06,1.39054
2020-11-07,1.22091
2020-11-08,1.19159
2020-11-09,1.12039
2020-11-10,1.13086
2020-11-11,1.19788
2020-11-12,1.25861
2020-11-13,1.04919
2020-11-14,1.38635
2020-11-15,1.23138
2020-11-16,1.28583
2020-11-17,1.45965
2020-11-18,1.4764
2020-11-19,1.30468
2020-11-20,1.1539
2020-11-21,1.04291
2020-11-22,1.09526
2020-11-23,1.09107
2020-11-24,1.08898
2020-11-25,1.07851
