date,CMG
2020-03-20,12.15469
2020-03-21,5.08287
2020-03-22,3.31491
2020-03-23,12.37569
2020-03-24,12.70718
2020-03-25,12.59668
2020-03-26,12.81767
2020-03-27,24.41988
2020-03-28,6.29834
2020-03-29,4.41988
2020-03-30,16.79558
2020-03-31,11.9337
2020-04-01,13.48066
2020-04-02,13.70165
2020-04-03,12.26519
2020-04-04,5.52486
2020-04-05,5.63535
2020-04-06,18.78453
2020-04-07,15.02762
2020-04-08,16.02209
2020-04-09,13.70165
2020-04-10,14.47513
2020-04-11,3.42541
2020-04-12,4.30939
2020-04-13,10.05524
2020-04-14,14.47513
2020-04-15,5.08287
2020-04-16,12.15469
2020-04-17,12.15469
2020-04-18,5.74585
2020-04-19,4.08839
2020-04-20,17.45856
2020-04-21,11.8232
2020-04-22,9.72375
2020-04-23,12.04419
2020-04-24,10.93922
2020-04-25,3.53591
2020-04-26,4.41988
2020-04-27,8.83977
2020-04-28,12.92817
2020-04-29,10.49723
2020-04-30,4.30939
2020-05-01,2.76243
2020-05-02,2.09944
2020-05-03,4.30939
2020-05-04,8.39779
2020-05-05,2.87292
2020-05-06,12.81767
2020-05-07,7.07182
2020-05-08,51.6022
2020-05-09,16.02209
2020-05-10,13.48066
2020-05-11,39.11602
2020-05-12,25.74585
2020-05-13,20.77348
2020-05-14,14.58563
2020-05-15,20.77348
2020-05-16,10.82872
2020-05-17,10.05524
2020-05-18,31.38121
2020-05-19,15.6906
2020-05-20,10.60773
2020-05-21,12.37569
2020-05-22,10.93922
2020-05-23,3.42541
2020-05-24,3.42541
2020-05-25,8.28729
2020-05-26,9.72375
2020-05-27,8.95027
2020-05-28,9.28176
2020-05-29,7.8453
2020-05-30,3.42541
2020-05-31,3.7569
2020-06-01,8.39779
2020-06-02,34.91712
2020-06-03,20.33149
2020-06-04,10.93922
2020-06-05,11.8232
2020-06-06,3.20441
2020-06-07,5.41436
2020-06-08,12.37569
2020-06-09,14.80662
2020-06-10,19.55801
2020-06-11,25.63535
2020-06-12,13.25966
2020-06-13,5.41436
2020-06-14,3.20441
2020-06-15,12.04419
2020-06-16,9.83425
2020-06-17,23.9779
2020-06-18,12.70718
2020-06-19,14.14364
2020-06-20,4.53038
2020-06-21,5.08287
2020-06-22,13.03867
2020-06-23,11.8232
2020-06-24,12.81767
