date,전원주택조경
2020-03-20,48.87218
2020-03-21,75.93984
2020-03-22,60.90225
2020-03-23,59.39849
2020-03-24,55.63909
2020-03-25,70.67669
2020-03-26,59.39849
2020-03-27,46.61654
2020-03-28,59.39849
2020-03-29,79.69924
2020-03-30,78.19548
2020-03-31,39.09774
2020-04-01,50.37593
2020-04-02,57.89473
2020-04-03,77.4436
2020-04-04,63.90977
2020-04-05,90.97744
2020-04-06,87.96992
2020-04-07,53.38345
2020-04-08,67.66917
2020-04-09,47.36842
2020-04-10,48.1203
2020-04-11,57.14285
2020-04-12,69.92481
2020-04-13,79.69924
2020-04-14,70.67669
2020-04-15,57.14285
2020-04-16,54.88721
2020-04-17,69.17293
2020-04-18,57.14285
2020-04-19,100.0
2020-04-20,72.93233
2020-04-21,63.90977
2020-04-22,45.11278
2020-04-23,51.87969
2020-04-24,45.11278
2020-04-25,60.90225
2020-04-26,48.1203
2020-04-27,59.39849
2020-04-28,42.85714
2020-04-29,49.62406
2020-04-30,51.87969
2020-05-01,57.14285
2020-05-02,52.63157
2020-05-03,73.68421
2020-05-04,73.68421
2020-05-05,78.19548
2020-05-06,40.6015
2020-05-07,47.36842
2020-05-08,39.84962
2020-05-09,44.3609
2020-05-10,45.86466
2020-05-11,44.3609
2020-05-12,52.63157
2020-05-13,40.6015
2020-05-14,27.81954
2020-05-15,50.37593
2020-05-16,60.15037
2020-05-17,63.15789
2020-05-18,75.18796
2020-05-19,62.40601
2020-05-20,54.13533
2020-05-21,43.60902
2020-05-22,37.59398
2020-05-23,32.33082
2020-05-24,57.14285
2020-05-25,48.87218
2020-05-26,53.38345
2020-05-27,44.3609
2020-05-28,44.3609
2020-05-29,33.83458
2020-05-30,21.80451
2020-05-31,60.90225
2020-06-01,65.41353
2020-06-02,36.8421
2020-06-03,42.10526
2020-06-04,36.8421
2020-06-05,30.82706
2020-06-06,38.34586
2020-06-07,57.14285
2020-06-08,40.6015
2020-06-09,36.8421
2020-06-10,43.60902
2020-06-11,37.59398
2020-06-12,39.09774
2020-06-13,42.10526
2020-06-14,30.82706
2020-06-15,46.61654
2020-06-16,37.59398
2020-06-17,28.57142
2020-06-18,33.83458
2020-06-19,29.3233
2020-06-20,22.55639
2020-06-21,32.33082
2020-06-22,51.87969
2020-06-23,42.10526
2020-06-24,37.59398
2020-06-25,33.0827
2020-06-26,30.07518
2020-06-27,36.09022
2020-06-28,42.10526
2020-06-29,64.66165
2020-06-30,37.59398
2020-07-01,39.84962
2020-07-02,37.59398
2020-07-03,46.61654
2020-07-04,48.87218
2020-07-05,49.62406
2020-07-06,45.86466
2020-07-07,31.57894
2020-07-08,41.35338
2020-07-09,39.84962
2020-07-10,33.83458
2020-07-11,39.84962
2020-07-12,51.12781
2020-07-13,59.39849
2020-07-14,52.63157
2020-07-15,36.09022
2020-07-16,36.8421
2020-07-17,36.09022
2020-07-18,36.09022
2020-07-19,30.82706
2020-07-20,37.59398
2020-07-21,54.13533
2020-07-22,30.07518
2020-07-23,49.62406
2020-07-24,29.3233
2020-07-25,36.09022
2020-07-26,43.60902
2020-07-27,48.1203
2020-07-28,33.0827
2020-07-29,46.61654
2020-07-30,30.82706
2020-07-31,47.36842
2020-08-01,27.06766
2020-08-02,37.59398
2020-08-03,31.57894
2020-08-04,39.84962
2020-08-05,37.59398
2020-08-06,35.33834
2020-08-07,27.81954
2020-08-08,27.06766
2020-08-09,27.06766
2020-08-10,31.57894
2020-08-11,31.57894
2020-08-12,33.83458
2020-08-13,23.30827
2020-08-14,24.81203
2020-08-15,19.54887
2020-08-16,29.3233
2020-08-17,30.07518
2020-08-18,33.0827
2020-08-19,38.34586
2020-08-20,24.81203
2020-08-21,29.3233
2020-08-22,41.35338
2020-08-23,43.60902
2020-08-24,27.81954
2020-08-25,50.37593
2020-08-26,36.8421
2020-08-27,30.07518
2020-08-28,36.8421
2020-08-29,33.83458
2020-08-30,57.14285
2020-08-31,45.86466
2020-09-01,45.11278
2020-09-02,38.34586
2020-09-03,28.57142
2020-09-04,36.09022
2020-09-05,18.04511
2020-09-06,60.90225
2020-09-07,44.3609
2020-09-08,44.3609
2020-09-09,45.86466
2020-09-10,27.06766
2020-09-11,43.60902
2020-09-12,30.82706
2020-09-13,29.3233
2020-09-14,46.61654
2020-09-15,42.85714
2020-09-16,42.10526
2020-09-17,48.1203
2020-09-18,32.33082
2020-09-19,37.59398
2020-09-20,60.90225
2020-09-21,37.59398
2020-09-22,27.06766
2020-09-23,27.06766
2020-09-24,41.35338
2020-09-25,33.83458
2020-09-26,27.06766
2020-09-27,33.0827
2020-09-28,40.6015
2020-09-29,21.80451
2020-09-30,20.30075
2020-10-01,27.81954
2020-10-02,36.09022
2020-10-03,22.55639
2020-10-04,47.36842
2020-10-05,41.35338
2020-10-06,25.5639
2020-10-07,36.09022
2020-10-08,32.33082
2020-10-09,37.59398
