date,유류분
2020-03-20,6.15224
2020-03-21,4.14494
2020-03-22,10.66214
2020-03-23,11.47028
2020-03-24,8.91553
2020-03-25,5.47445
2020-03-26,6.15224
2020-03-27,5.31803
2020-03-28,4.14494
2020-03-29,5.81334
2020-03-30,7.71637
2020-03-31,5.55265
2020-04-01,5.91762
2020-04-02,5.73514
2020-04-03,6.02189
2020-04-04,3.93639
2020-04-05,3.93639
2020-04-06,5.05735
2020-04-07,5.99582
2020-04-08,6.1001
2020-04-09,5.50052
2020-04-10,6.83003
2020-04-11,4.58811
2020-04-12,4.95307
2020-04-13,6.54327
2020-04-14,5.39624
2020-04-15,4.37956
2020-04-16,5.91762
2020-04-17,6.5172
2020-04-18,4.0928
2020-04-19,4.17101
2020-04-20,5.63086
2020-04-21,6.1001
2020-04-22,6.98644
2020-04-23,6.96037
2020-04-24,6.64754
2020-04-25,4.37956
2020-04-26,4.27528
2020-04-27,5.81334
2020-04-28,6.64754
2020-04-29,5.83941
2020-04-30,4.01459
2020-05-01,4.37956
2020-05-02,3.80604
2020-05-03,3.49322
2020-05-04,6.20437
2020-05-05,5.23983
2020-05-06,5.683
2020-05-07,12.30448
2020-05-08,10.66214
2020-05-09,8.65484
2020-05-10,7.01251
2020-05-11,7.42961
2020-05-12,7.42961
2020-05-13,6.72575
2020-05-14,7.50782
2020-05-15,6.59541
2020-05-16,4.40563
2020-05-17,4.87486
2020-05-18,6.77789
2020-05-19,5.99582
2020-05-20,6.96037
2020-05-21,17.10114
2020-05-22,26.30344
2020-05-23,10.68821
2020-05-24,11.00104
2020-05-25,9.85401
2020-05-26,10.01042
2020-05-27,9.15015
2020-05-28,9.98435
2020-05-29,8.1074
2020-05-30,6.98644
2020-05-31,6.83003
2020-06-01,8.44629
2020-06-02,7.40354
2020-06-03,8.99374
2020-06-04,8.62877
2020-06-05,6.69968
2020-06-06,5.13555
2020-06-07,5.05735
2020-06-08,6.72575
2020-06-09,6.83003
2020-06-10,6.62148
2020-06-11,6.98644
2020-06-12,6.43899
2020-06-13,5.55265
2020-06-14,6.07403
2020-06-15,12.66944
2020-06-16,8.36809
2020-06-17,8.75912
2020-06-18,6.07403
2020-06-19,7.58602
2020-06-20,5.60479
2020-06-21,5.42231
2020-06-22,7.58602
2020-06-23,8.1074
2020-06-24,7.19499
2020-06-25,7.58602
2020-06-26,7.09071
2020-06-27,4.58811
2020-06-28,3.93639
2020-06-29,6.15224
2020-06-30,7.24713
2020-07-01,5.42231
2020-07-02,5.65693
2020-07-03,5.57872
2020-07-04,3.80604
2020-07-05,5.05735
2020-07-06,6.62148
2020-07-07,5.78727
2020-07-08,6.75182
2020-07-09,8.23774
2020-07-10,4.927
2020-07-11,5.10948
2020-07-12,4.61418
2020-07-13,6.07403
2020-07-14,6.20437
2020-07-15,5.2659
2020-07-16,5.89155
2020-07-17,5.7612
2020-07-18,4.53597
2020-07-19,4.64025
2020-07-20,5.81334
2020-07-21,5.86548
2020-07-22,5.65693
2020-07-23,5.83941
2020-07-24,5.50052
2020-07-25,4.04066
2020-07-26,3.62356
2020-07-27,5.7612
2020-07-28,5.96976
2020-07-29,5.78727
2020-07-30,6.56934
2020-07-31,5.44838
2020-08-01,3.91032
2020-08-02,4.30135
2020-08-03,6.38686
2020-08-04,5.70907
2020-08-05,5.81334
2020-08-06,7.2732
2020-08-07,6.12617
2020-08-08,4.19708
2020-08-09,3.18039
2020-08-10,5.39624
2020-08-11,5.81334
2020-08-12,5.3441
2020-08-13,4.90093
2020-08-14,4.48383
2020-08-15,4.58811
2020-08-16,3.38894
2020-08-17,3.83211
2020-08-18,4.87486
2020-08-19,4.11887
2020-08-20,4.82273
2020-08-21,5.78727
2020-08-22,3.36287
2020-08-23,3.80604
2020-08-24,4.97914
2020-08-25,5.00521
2020-08-26,5.18769
2020-08-27,5.50052
2020-08-28,4.71845
2020-08-29,3.28467
2020-08-30,3.23253
2020-08-31,5.63086
2020-09-01,5.18769
2020-09-02,4.06673
2020-09-03,4.40563
2020-09-04,4.56204
2020-09-05,3.98852
2020-09-06,3.91032
2020-09-07,5.23983
2020-09-08,4.8488
2020-09-09,5.16162
2020-09-10,7.82064
2020-09-11,7.50782
2020-09-12,4.37956
2020-09-13,5.3441
2020-09-14,5.91762
2020-09-15,6.33472
2020-09-16,5.60479
2020-09-17,14.78102
2020-09-18,13.86861
2020-09-19,4.71845
2020-09-20,5.16162
2020-09-21,7.48175
2020-09-22,6.1001
2020-09-23,6.62148
2020-09-24,7.22106
2020-09-25,5.42231
2020-09-26,4.74452
2020-09-27,5.50052
2020-09-28,6.12617
2020-09-29,6.67361
