date,일본엔화환율
2020-03-20,21.95051
2020-03-21,8.40046
2020-03-22,7.30724
2020-03-23,20.97238
2020-03-24,17.28998
2020-03-25,15.76524
2020-03-26,15.79401
2020-03-27,14.38434
2020-03-28,7.04833
2020-03-29,6.09896
2020-03-30,15.27617
2020-03-31,15.01726
2020-04-01,12.83084
2020-04-02,11.93901
2020-04-03,10.78826
2020-04-04,6.27157
2020-04-05,4.43037
2020-04-06,11.91024
2020-04-07,13.55005
2020-04-08,12.28423
2020-04-09,10.70195
2020-04-10,10.06904
2020-04-11,4.34407
2020-04-12,4.14269
2020-04-13,10.18411
2020-04-14,8.6306
2020-04-15,6.18527
2020-04-16,10.32796
2020-04-17,11.70886
2020-04-18,6.38665
2020-04-19,5.46605
2020-04-20,11.13348
2020-04-21,14.47065
2020-04-22,12.51438
2020-04-23,12.34177
2020-04-24,13.03222
2020-04-25,5.6962
2020-04-26,4.94821
2020-04-27,9.81012
2020-04-28,9.06214
2020-04-29,6.58803
2020-04-30,4.60299
2020-05-01,5.09205
2020-05-02,3.88377
2020-05-03,3.48101
2020-05-04,7.42232
2020-05-05,4.80437
2020-05-06,8.11277
2020-05-07,9.32105
2020-05-08,8.97583
2020-05-09,4.63176
2020-05-10,4.28653
2020-05-11,10.9321
2020-05-12,9.83889
2020-05-13,8.94706
2020-05-14,10.32796
2020-05-15,9.78135
2020-05-16,4.63176
2020-05-17,4.37284
2020-05-18,11.21979
2020-05-19,10.58688
2020-05-20,11.10471
2020-05-21,9.37859
2020-05-22,9.57997
2020-05-23,5.46605
2020-05-24,4.20023
2020-05-25,12.48561
2020-05-26,11.93901
2020-05-27,11.13348
2020-05-28,9.95397
2020-05-29,9.95397
2020-05-30,4.7756
2020-05-31,5.00575
2020-06-01,11.13348
2020-06-02,10.27042
2020-06-03,12.62945
2020-06-04,9.4649
2020-06-05,10.24165
2020-06-06,5.55235
2020-06-07,6.04142
2020-06-08,12.68699
2020-06-09,12.16915
2020-06-10,11.47871
2020-06-11,10.96087
2020-06-12,10.87456
2020-06-13,5.46605
2020-06-14,5.98388
2020-06-15,12.8596
2020-06-16,12.48561
2020-06-17,11.44994
2020-06-18,11.01841
2020-06-19,10.50057
2020-06-20,5.09205
2020-06-21,3.73993
2020-06-22,10.70195
2020-06-23,11.21979
2020-06-24,10.09781
2020-06-25,11.42117
2020-06-26,9.57997
2020-06-27,4.45914
2020-06-28,4.05638
2020-06-29,10.70195
2020-06-30,11.36363
2020-07-01,12.05408
2020-07-02,11.8527
2020-07-03,8.71691
2020-07-04,4.7756
2020-07-05,4.7756
2020-07-06,10.0115
2020-07-07,8.14154
2020-07-08,8.45799
2020-07-09,9.11967
2020-07-10,7.71001
2020-07-11,4.17146
2020-07-12,3.71116
2020-07-13,10.32796
2020-07-14,8.57307
2020-07-15,8.48676
2020-07-16,8.48676
2020-07-17,7.10586
2020-07-18,4.25776
2020-07-19,3.36593
2020-07-20,6.90448
2020-07-21,6.67433
2020-07-22,8.60184
2020-07-23,8.68814
2020-07-24,8.25661
2020-07-25,4.25776
2020-07-26,3.65362
2020-07-27,9.37859
2020-07-28,8.88952
2020-07-29,9.5512
2020-07-30,8.34292
2020-07-31,9.78135
2020-08-01,5.00575
2020-08-02,4.43037
2020-08-03,9.14844
2020-08-04,7.45109
2020-08-05,8.25661
2020-08-06,7.01956
2020-08-07,6.78941
2020-08-08,3.94131
2020-08-09,3.3947
2020-08-10,7.65247
2020-08-11,7.56616
2020-08-12,7.39355
2020-08-13,7.1634
2020-08-14,6.84695
2020-08-15,4.17146
2020-08-16,3.59608
2020-08-17,7.01956
2020-08-18,8.05523
2020-08-19,8.94706
2020-08-20,7.79631
2020-08-21,7.33601
2020-08-22,5.00575
2020-08-23,3.82623
2020-08-24,9.37859
2020-08-25,8.28538
2020-08-26,8.40046
2020-08-27,8.68814
2020-08-28,10.15535
2020-08-29,5.37974
2020-08-30,4.25776
2020-08-31,9.89643
2020-09-01,9.17721
2020-09-02,8.94706
2020-09-03,7.96892
2020-09-04,9.43613
2020-09-05,4.86191
2020-09-06,3.88377
2020-09-07,8.5443
2020-09-08,8.25661
2020-09-09,9.03337
2020-09-10,8.5443
2020-09-11,7.39355
2020-09-12,4.37284
2020-09-13,4.14269
2020-09-14,7.47986
2020-09-15,7.59493
2020-09-16,7.76754
2020-09-17,7.0771
2020-09-18,7.82508
2020-09-19,3.99884
2020-09-20,3.13578
2020-09-21,8.22784
2020-09-22,8.91829
2020-09-23,7.71001
2020-09-24,8.80322
2020-09-25,5.63866
2020-09-26,3.97008
2020-09-27,3.45224
2020-09-28,7.13463
2020-09-29,6.96202
2020-09-30,2.90563
2020-10-01,4.66052
2020-10-02,4.54545
2020-10-03,3.73993
2020-10-04,3.97008
2020-10-05,8.37169
2020-10-06,8.22784
2020-10-07,8.28538
2020-10-08,8.14154
2020-10-09,5.2359
2020-10-10,4.74683
2020-10-11,4.25776
2020-10-12,9.63751
2020-10-13,8.45799
2020-10-14,9.75258
2020-10-15,8.86075
2020-10-16,7.22094
2020-10-17,4.40161
2020-10-18,4.08515
2020-10-19,9.23475
2020-10-20,9.72382
2020-10-21,10.64441
2020-10-22,10.09781
2020-10-23,8.91829
2020-10-24,4.02761
2020-10-25,3.59608
2020-10-26,7.47986
2020-10-27,7.53739
2020-10-28,8.084
2020-10-29,7.56616
2020-10-30,7.68124
2020-10-31,3.99884
2020-11-01,4.11392
2020-11-02,8.6306
2020-11-03,7.85385
2020-11-04,9.57997
2020-11-05,9.29228
2020-11-06,8.57307
2020-11-07,4.17146
2020-11-08,4.34407
2020-11-09,10.35673
2020-11-10,13.3199
2020-11-11,10.81703
2020-11-12,10.4718
2020-11-13,9.23475
2020-11-14,5.40851
2020-11-15,4.63176
2020-11-16,10.32796
2020-11-17,9.63751
2020-11-18,10.27042
2020-11-19,9.60874
2020-11-20,10.58688
2020-11-21,4.80437
2020-11-22,4.66052
2020-11-23,9.86766
2020-11-24,9.5512
2020-11-25,9.95397
2020-11-26,9.52243
2020-11-27,8.51553
2020-11-28,4.57422
2020-11-29,4.11392
2020-11-30,10.12658
2020-12-01,9.57997
2020-12-02,9.52243
2020-12-03,12.94591
2020-12-04,14.01035
2020-12-05,6.81818
2020-12-06,5.26467
2020-12-07,11.07594
2020-12-08,10.29919
2020-12-09,9.26352
2020-12-10,9.5512
2020-12-11,8.91829
2020-12-12,4.45914
2020-12-13,4.43037
2020-12-14,9.5512
2020-12-15,8.40046
2020-12-16,8.37169
2020-12-17,9.49367
2020-12-18,8.65937
2020-12-19,5.43728
2020-12-20,5.58112
2020-12-21,8.77445
2020-12-22,8.37169
2020-12-23,9.81012
2020-12-24,7.6237
2020-12-25,4.60299
2020-12-26,5.29344
2020-12-27,5.29344
2020-12-28,7.79631
2020-12-29,7.68124
2020-12-30,7.39355
2020-12-31,5.98388
2021-01-01,4.20023
2021-01-02,4.25776
2021-01-03,4.40161
2021-01-04,8.80322
2021-01-05,8.6306
2021-01-06,7.45109
2021-01-07,8.11277
2021-01-08,8.51553
2021-01-09,4.83314
2021-01-10,4.51668
2021-01-11,9.40736
2021-01-12,11.59378
2021-01-13,10.15535
2021-01-14,9.26352
2021-01-15,8.25661
2021-01-16,5.17836
2021-01-17,4.68929
2021-01-18,9.9252
2021-01-19,8.68814
2021-01-20,8.25661
2021-01-21,8.5443
2021-01-22,8.91829
2021-01-23,4.80437
2021-01-24,3.10701
2021-01-25,8.34292
2021-01-26,7.36478
2021-01-27,7.85385
2021-01-28,7.42232
2021-01-29,8.02646
2021-01-30,4.40161
2021-01-31,3.56731
2021-02-01,7.47986
2021-02-02,7.0771
2021-02-03,6.7031
2021-02-04,6.30034
2021-02-05,7.04833
2021-02-06,4.37284
2021-02-07,3.50978
2021-02-08,7.91139
2021-02-09,6.84695
2021-02-10,6.7031
2021-02-11,3.73993
2021-02-12,3.94131
2021-02-13,4.22899
2021-02-14,4.66052
