date,큐알코드만들기
2020-03-20,1.92273
2020-03-21,1.07111
2020-03-22,0.97453
2020-03-23,1.66812
2020-03-24,1.7647
2020-03-25,1.99297
2020-03-26,1.98419
2020-03-27,1.8964
2020-03-28,1.04477
2020-03-29,0.89552
2020-03-30,1.83494
2020-03-31,1.31694
2020-04-01,1.90517
2020-04-02,2.2388
2020-04-03,2.23002
2020-04-04,0.86918
2020-04-05,0.8604
2020-04-06,2.16856
2020-04-07,2.29148
2020-04-08,1.98419
2020-04-09,2.24758
2020-04-10,2.6251
2020-04-11,1.05355
2020-04-12,1.00965
2020-04-13,2.8007
2020-04-14,3.0992
2020-04-15,1.65057
2020-04-16,2.39683
2020-04-17,2.00175
2020-04-18,0.95697
2020-04-19,1.07989
2020-04-20,2.42317
2020-04-21,2.96751
2020-04-22,2.76558
2020-04-23,3.08165
2020-04-24,2.45829
2020-04-25,0.95697
2020-04-26,0.98331
2020-04-27,2.39683
2020-04-28,2.26514
2020-04-29,2.2388
2020-04-30,1.01843
2020-05-01,1.2906
2020-05-02,0.89552
2020-05-03,0.68481
2020-05-04,1.47497
2020-05-05,1.00965
2020-05-06,2.56365
2020-05-07,2.52853
2020-05-08,2.31782
2020-05-09,1.08867
2020-05-10,1.01843
2020-05-11,2.20368
2020-05-12,3.24846
2020-05-13,3.30992
2020-05-14,3.30114
2020-05-15,2.53731
2020-05-16,1.51009
2020-05-17,1.61545
2020-05-18,2.74802
2020-05-19,3.01141
2020-05-20,2.85338
2020-05-21,2.97629
2020-05-22,3.52063
2020-05-23,1.47497
2020-05-24,1.8964
2020-05-25,5.40825
2020-05-26,4.66198
2020-05-27,3.59964
2020-05-28,4.02985
2020-05-29,3.22212
2020-05-30,1.75592
2020-05-31,2.42317
2020-06-01,10.4741
2020-06-02,22.47585
2020-06-03,20.7726
2020-06-04,8.20895
2020-06-05,5.72431
2020-06-06,4.44249
2020-06-07,4.93415
2020-06-08,8.12115
2020-06-09,26.98858
2020-06-10,67.77875
2020-06-11,61.8086
2020-06-12,43.16066
2020-06-13,28.11237
2020-06-14,19.11325
2020-06-15,29.03424
2020-06-16,24.1352
2020-06-17,22.8446
2020-06-18,22.99385
2020-06-19,24.23178
2020-06-20,14.98683
2020-06-21,12.57243
2020-06-22,19.70149
2020-06-23,28.63915
2020-06-24,33.42405
2020-06-25,31.22914
2020-06-26,26.9359
2020-06-27,21.79982
2020-06-28,16.62862
2020-06-29,23.73134
2020-06-30,30.51799
2020-07-01,87.57682
2020-07-02,57.63827
2020-07-03,40.42142
2020-07-04,28.82352
2020-07-05,21.8525
2020-07-06,30.35118
2020-07-07,27.43634
2020-07-08,30.33362
2020-07-09,28.964
2020-07-10,27.74363
2020-07-11,21.3345
2020-07-12,20.33362
2020-07-13,22.07199
2020-07-14,23.62598
2020-07-15,24.33713
2020-07-16,23.38015
2020-07-17,22.3266
2020-07-18,18.20895
2020-07-19,19.06057
2020-07-20,23.88937
2020-07-21,22.54609
2020-07-22,20.89552
2020-07-23,19.23617
2020-07-24,21.98419
2020-07-25,16.86567
2020-07-26,15.46971
2020-07-27,18.84108
2020-07-28,19.62247
2020-07-29,17.98068
2020-07-30,16.52326
2020-07-31,16.58472
2020-08-01,14.05618
2020-08-02,11.92273
2020-08-03,14.61808
2020-08-04,15.80333
2020-08-05,16.06672
2020-08-06,17.26953
2020-08-07,17.81387
2020-08-08,13.52063
2020-08-09,9.8683
2020-08-10,13.13432
2020-08-11,14.79367
2020-08-12,17.33977
2020-08-13,16.67251
2020-08-14,16.88323
2020-08-15,12.38805
2020-08-16,10.84284
2020-08-17,11.16769
2020-08-18,14.59174
2020-08-19,12.96751
2020-08-20,13.59086
2020-08-21,11.94907
2020-08-22,11.16769
2020-08-23,9.28884
2020-08-24,18.42844
2020-08-25,15.44337
2020-08-26,15.9877
2020-08-27,15.86479
2020-08-28,14.33713
2020-08-29,13.09043
2020-08-30,16.12818
2020-08-31,20.91308
2020-09-01,20.33362
2020-09-02,15.13608
2020-09-03,14.35469
2020-09-04,14.44249
2020-09-05,11.92273
2020-09-06,9.32396
2020-09-07,12.51975
2020-09-08,14.38103
2020-09-09,16.62862
2020-09-10,17.15539
2020-09-11,17.12028
2020-09-12,11.8086
2020-09-13,13.16066
2020-09-14,16.98858
2020-09-15,13.89815
2020-09-16,14.86391
2020-09-17,14.55662
2020-09-18,13.77524
2020-09-19,13.15188
2020-09-20,9.66637
2020-09-21,13.69622
2020-09-22,13.55575
2020-09-23,11.87006
2020-09-24,13.47673
2020-09-25,12.04565
2020-09-26,7.87532
2020-09-27,8.446
2020-09-28,13.16066
2020-09-29,11.8086
2020-09-30,5.29411
2020-10-01,4.07374
2020-10-02,5.31167
2020-10-03,6.69007
2020-10-04,6.81299
2020-10-05,10.57067
2020-10-06,11.45741
2020-10-07,12.09833
2020-10-08,11.70324
2020-10-09,7.48024
2020-10-10,8.80597
2020-10-11,7.70851
2020-10-12,12.05443
2020-10-13,12.73046
2020-10-14,13.38893
2020-10-15,14.02985
2020-10-16,11.66812
2020-10-17,10.64091
2020-10-18,8.92888
2020-10-19,12.54609
2020-10-20,13.17822
2020-10-21,12.94995
2020-10-22,12.86215
2020-10-23,11.15013
2020-10-24,9.56979
2020-10-25,9.02546
2020-10-26,12.77436
2020-10-27,12.44073
2020-10-28,12.55487
2020-10-29,12.58999
2020-10-30,12.17734
2020-10-31,10.85162
2020-11-01,10.05267
2020-11-02,14.27568
2020-11-03,13.34503
2020-11-04,12.79192
2020-11-05,12.59877
2020-11-06,13.24846
2020-11-07,16.54082
