date,SPDRS&P500
2020-11-07,16.3701
2020-11-08,12.45551
2020-11-09,28.82562
2020-11-10,34.87544
2020-11-11,23.13167
2020-11-12,17.79359
2020-11-13,20.28469
2020-11-14,11.74377
2020-11-15,12.81138
2020-11-16,25.97864
2020-11-17,35.94306
2020-11-18,33.80782
2020-11-19,19.92882
2020-11-20,27.04626
2020-11-21,24.19928
2020-11-22,16.72597
2020-11-23,28.46975
2020-11-24,45.19572
2020-11-25,63.34519
2020-11-26,48.75444
2020-11-27,32.74021
2020-11-28,25.62277
2020-11-29,23.13167
2020-11-30,30.60498
2020-12-01,39.85765
2020-12-02,42.34875
2020-12-03,45.19572
2020-12-04,40.56939
2020-12-05,22.41992
2020-12-06,29.89323
2020-12-07,44.12811
2020-12-08,47.33096
2020-12-09,32.74021
2020-12-10,46.26334
2020-12-11,35.23131
2020-12-12,29.89323
2020-12-13,23.13167
2020-12-14,38.43416
2020-12-15,43.77224
2020-12-16,43.41637
2020-12-17,37.36654
2020-12-18,36.6548
2020-12-19,40.56939
2020-12-20,25.62277
2020-12-21,59.07473
2020-12-22,58.71886
2020-12-23,57.29537
2020-12-24,54.80427
2020-12-25,28.11387
2020-12-26,25.2669
2020-12-27,35.23131
2020-12-28,51.24555
2020-12-29,53.73665
2020-12-30,46.61921
2020-12-31,35.23131
2021-01-01,40.21352
2021-01-02,31.67259
2021-01-03,28.82562
2021-01-04,63.34519
2021-01-05,71.17437
2021-01-06,71.88612
2021-01-07,57.65124
2021-01-08,66.19217
2021-01-09,50.17793
2021-01-10,26.33451
2021-01-11,47.68683
2021-01-12,55.16014
2021-01-13,54.44839
2021-01-14,48.75444
2021-01-15,45.5516
2021-01-16,27.40213
2021-01-17,23.84341
2021-01-18,30.24911
2021-01-19,38.43416
2021-01-20,47.68683
2021-01-21,66.19217
2021-01-22,60.49822
2021-01-23,35.58718
2021-01-24,33.45195
2021-01-25,54.80427
2021-01-26,56.58362
2021-01-27,50.5338
2021-01-28,60.49822
2021-01-29,38.07829
2021-01-30,28.82562
2021-01-31,23.48754
2021-02-01,36.29893
2021-02-02,53.38078
2021-02-03,45.90747
2021-02-04,47.33096
2021-02-05,55.16014
2021-02-06,34.51957
2021-02-07,28.11387
2021-02-08,40.21352
2021-02-09,47.68683
2021-02-10,49.46619
2021-02-11,51.24555
2021-02-12,40.92526
2021-02-13,31.67259
2021-02-14,25.2669
2021-02-15,37.72241
2021-02-16,53.73665
2021-02-17,44.83985
2021-02-18,41.28113
2021-02-19,34.87544
2021-02-20,23.84341
2021-02-21,15.30249
2021-02-22,23.48754
2021-02-23,35.58718
2021-02-24,37.72241
2021-02-25,37.36654
2021-02-26,24.91103
2021-02-27,20.64056
2021-02-28,13.879
2021-03-01,18.50533
2021-03-02,25.97864
2021-03-03,24.19928
2021-03-04,23.48754
2021-03-05,25.2669
2021-03-06,18.14946
2021-03-07,13.879
2021-03-08,18.8612
2021-03-09,24.19928
2021-03-10,33.45195
2021-03-11,35.23131
2021-03-12,30.60498
2021-03-13,17.79359
2021-03-14,20.28469
2021-03-15,25.97864
2021-03-16,29.89323
2021-03-17,34.51957
2021-03-18,32.74021
2021-03-19,33.45195
2021-03-20,17.79359
2021-03-21,13.52313
2021-03-22,24.91103
2021-03-23,23.48754
2021-03-24,27.40213
2021-03-25,25.97864
2021-03-26,28.11387
2021-03-27,20.64056
2021-03-28,19.21708
2021-03-29,25.62277
2021-03-30,29.89323
2021-03-31,29.89323
2021-04-01,27.40213
2021-04-02,27.758
2021-04-03,14.59074
2021-04-04,18.50533
2021-04-05,30.60498
2021-04-06,47.33096
2021-04-07,28.82562
2021-04-08,30.24911
2021-04-09,36.6548
