date,선물옵션
2020-03-20,78.01544
2020-03-21,53.23826
2020-03-22,34.64052
2020-03-23,61.49732
2020-03-24,61.55674
2020-03-25,47.71241
2020-03-26,44.26619
2020-03-27,43.3155
2020-03-28,36.2448
2020-03-29,26.73796
2020-03-30,36.06654
2020-03-31,32.62032
2020-04-01,33.98692
2020-04-02,36.12596
2020-04-03,30.48128
2020-04-04,25.90612
2020-04-05,25.78728
2020-04-06,37.78966
2020-04-07,40.99821
2020-04-08,51.33689
2020-04-09,50.20796
2020-04-10,26.79738
2020-04-11,16.81521
2020-04-12,15.98336
2020-04-13,22.87581
2020-04-14,24.42067
2020-04-15,15.21093
2020-04-16,22.22222
2020-04-17,26.55971
2020-04-18,18.24123
2020-04-19,14.37908
2020-04-20,25.8467
2020-04-21,49.6732
2020-04-22,38.97801
2020-04-23,31.13487
2020-04-24,21.1527
2020-04-25,14.4385
2020-04-26,12.7748
2020-04-27,18.89483
2020-04-28,22.1628
2020-04-29,19.07308
2020-04-30,15.50802
2020-05-01,13.72549
2020-05-02,11.05169
2020-05-03,12.00237
2020-05-04,15.86452
2020-05-05,15.56743
2020-05-06,19.66726
2020-05-07,18.1224
2020-05-08,14.08199
2020-05-09,11.52703
2020-05-10,10.16042
2020-05-11,13.7849
2020-05-12,18.4789
2020-05-13,21.86571
2020-05-14,22.34105
2020-05-15,15.50802
2020-05-16,9.38799
2020-05-17,9.68508
2020-05-18,15.86452
2020-05-19,17.58764
2020-05-20,14.795
2020-05-21,16.4587
2020-05-22,13.84432
2020-05-23,9.98217
2020-05-24,10.10101
2020-05-25,15.21093
2020-05-26,17.82531
2020-05-27,16.16161
2020-05-28,16.16161
2020-05-29,14.97326
2020-05-30,11.05169
2020-05-31,9.44741
2020-06-01,16.33986
2020-06-02,15.32976
2020-06-03,27.27272
2020-06-04,27.56981
2020-06-05,26.8568
2020-06-06,18.77599
2020-06-07,17.94414
2020-06-08,27.03505
2020-06-09,37.2549
2020-06-10,44.86036
2020-06-11,74.45038
2020-06-12,34.75935
2020-06-13,15.74569
2020-06-14,15.56743
2020-06-15,31.96672
2020-06-16,28.63933
2020-06-17,20.91503
2020-06-18,22.40047
2020-06-19,21.86571
2020-06-20,12.24004
2020-06-21,12.4183
2020-06-22,14.91384
2020-06-23,17.05288
2020-06-24,19.72667
2020-06-25,17.94414
2020-06-26,12.89364
2020-06-27,10.10101
2020-06-28,9.03149
2020-06-29,16.33986
2020-06-30,18.95424
2020-07-01,14.26024
2020-07-02,13.66607
2020-07-03,13.01247
2020-07-04,9.62566
2020-07-05,8.67498
2020-07-06,17.11229
2020-07-07,21.56862
2020-07-08,26.2032
2020-07-09,22.81639
2020-07-10,14.73559
2020-07-11,11.22994
2020-07-12,11.17052
2020-07-13,16.04278
2020-07-14,14.4385
2020-07-15,17.11229
2020-07-16,14.67617
2020-07-17,15.4486
2020-07-18,8.61556
2020-07-19,11.52703
2020-07-20,14.02257
2020-07-21,16.93404
2020-07-22,18.4789
2020-07-23,19.90493
2020-07-24,16.16161
2020-07-25,10.69518
2020-07-26,11.70528
2020-07-27,16.81521
2020-07-28,18.00356
2020-07-29,17.52822
2020-07-30,17.17171
2020-07-31,16.81521
2020-08-01,12.24004
2020-08-02,10.81402
2020-08-03,15.68627
2020-08-04,17.76589
2020-08-05,20.43969
2020-08-06,17.11229
2020-08-07,21.98455
2020-08-08,13.36898
2020-08-09,13.36898
2020-08-10,21.39037
2020-08-11,28.99584
2020-08-12,45.87046
2020-08-13,49.49494
2020-08-14,30.71895
2020-08-15,14.26024
2020-08-16,12.35888
2020-08-17,15.21093
2020-08-18,20.02376
2020-08-19,19.66726
2020-08-20,28.69875
2020-08-21,24.8366
2020-08-22,24.71776
2020-08-23,16.87462
2020-08-24,21.27153
2020-08-25,20.97445
2020-08-26,22.28163
2020-08-27,23.05407
2020-08-28,18.59774
2020-08-29,12.71538
2020-08-30,13.4284
2020-08-31,31.49138
2020-09-01,25.96553
2020-09-02,23.94533
2020-09-03,25.31194
2020-09-04,32.5609
2020-09-05,21.80629
