date,공시
2020-03-20,1.3169
2020-03-21,0.55473
2020-03-22,0.5524
2020-03-23,1.15724
2020-03-24,1.17589
2020-03-25,1.05119
2020-03-26,1.28311
2020-03-27,1.36119
2020-03-28,0.52443
2020-03-29,0.48014
2020-03-30,1.3204
2020-03-31,1.4719
2020-04-01,1.43927
2020-04-02,1.13976
2020-04-03,1.04536
2020-04-04,0.50112
2020-04-05,0.46732
2020-04-06,1.18405
2020-04-07,1.26446
2020-04-08,1.22484
2020-04-09,1.1654
2020-04-10,0.86706
2020-04-11,0.11537
2020-04-12,0.15849
2020-04-13,0.48947
2020-04-14,0.53025
2020-04-15,0.4918
2020-04-16,0.62349
2020-04-17,1.15375
2020-04-18,0.53375
2020-04-19,0.53025
2020-04-20,1.23999
2020-04-21,1.071
2020-04-22,1.22484
2020-04-23,1.08149
2020-04-24,1.2563
2020-04-25,0.61416
2020-04-26,0.46965
2020-04-27,1.09431
2020-04-28,1.27611
2020-04-29,1.1992
2020-04-30,0.47198
2020-05-01,0.47315
2020-05-02,0.42187
2020-05-03,0.41838
2020-05-04,0.8251
2020-05-05,0.4848
2020-05-06,1.0745
2020-05-07,0.96262
2020-05-08,0.87521
2020-05-09,0.48247
2020-05-10,0.41721
2020-05-11,1.01739
2020-05-12,1.12461
2020-05-13,1.32623
2020-05-14,1.58029
2020-05-15,2.21776
2020-05-16,0.6398
2020-05-17,0.53025
2020-05-18,1.04536
2020-05-19,1.01506
2020-05-20,1.09431
2020-05-21,1.0407
2020-05-22,0.98127
2020-05-23,0.43236
2020-05-24,0.4848
2020-05-25,1.10597
2020-05-26,1.071
2020-05-27,1.10014
2020-05-28,1.00924
2020-05-29,0.89736
2020-05-30,0.55356
2020-05-31,0.5221
2020-06-01,0.98709
2020-06-02,0.97777
2020-06-03,1.01506
2020-06-04,0.99875
2020-06-05,0.97427
2020-06-06,0.55123
2020-06-07,0.57221
2020-06-08,1.00807
2020-06-09,0.96262
2020-06-10,1.00807
2020-06-11,1.13976
2020-06-12,1.36702
2020-06-13,1.83201
2020-06-14,0.75168
2020-06-15,1.09781
2020-06-16,1.04653
2020-06-17,1.08266
2020-06-18,1.078
2020-06-19,0.98593
2020-06-20,0.4545
2020-06-21,0.49529
2020-06-22,1.06867
2020-06-23,1.16773
2020-06-24,1.18987
2020-06-25,1.06051
2020-06-26,0.99525
2020-06-27,0.44168
2020-06-28,0.49646
2020-06-29,0.9836
2020-06-30,1.18172
2020-07-01,0.96961
2020-07-02,0.88104
2020-07-03,0.85307
2020-07-04,0.41838
2020-07-05,0.43586
2020-07-06,1.00224
2020-07-07,1.03138
2020-07-08,0.95563
2020-07-09,1.07566
2020-07-10,0.99176
2020-07-11,0.8892
2020-07-12,0.49995
2020-07-13,0.98826
2020-07-14,0.97194
2020-07-15,1.10363
2020-07-16,0.93815
2020-07-17,0.89736
2020-07-18,0.50229
2020-07-19,0.41838
2020-07-20,1.02206
2020-07-21,1.03021
2020-07-22,1.15608
2020-07-23,1.15142
2020-07-24,1.04187
2020-07-25,0.458
2020-07-26,0.46616
2020-07-27,1.16074
2020-07-28,1.01157
2020-07-29,1.03721
2020-07-30,1.21435
2020-07-31,1.01739
2020-08-01,0.41721
2020-08-02,0.46383
2020-08-03,1.04886
2020-08-04,1.22251
2020-08-05,1.1689
2020-08-06,1.19337
2020-08-07,1.05469
2020-08-08,0.50229
2020-08-09,0.43819
2020-08-10,1.29709
2020-08-11,1.37168
2020-08-12,1.52202
2020-08-13,1.76908
2020-08-14,2.22242
2020-08-15,0.59319
2020-08-16,0.44518
2020-08-17,0.66195
2020-08-18,1.09781
2020-08-19,1.07916
2020-08-20,1.0745
2020-08-21,1.03954
2020-08-22,0.49063
2020-08-23,0.50112
2020-08-24,0.96845
2020-08-25,1.07566
2020-08-26,1.11878
2020-08-27,1.1048
2020-08-28,1.03488
2020-08-29,0.45334
2020-08-30,0.43935
2020-08-31,1.11296
2020-09-01,1.23066
2020-09-02,1.17822
2020-09-03,1.38683
2020-09-04,1.20736
2020-09-05,0.53375
2020-09-06,0.57571
2020-09-07,1.62923
2020-09-08,1.62107
2020-09-09,1.66769
2020-09-10,1.57329
2020-09-11,1.54999
2020-09-12,0.68059
2020-09-13,0.63281
2020-09-14,1.35769
2020-09-15,1.48705
2020-09-16,1.54532
2020-09-17,1.40897
2020-09-18,1.21784
2020-09-19,0.56289
2020-09-20,0.49296
2020-09-21,1.27611
2020-09-22,1.19337
2020-09-23,1.18405
2020-09-24,1.09664
2020-09-25,1.05469
2020-09-26,0.5489
2020-09-27,0.47082
2020-09-28,1.27029
2020-09-29,1.13976
2020-09-30,0.41371
2020-10-01,0.40439
2020-10-02,0.4242
2020-10-03,0.458
2020-10-04,0.47781
2020-10-05,1.06867
2020-10-06,1.20036
2020-10-07,1.19454
2020-10-08,1.17589
2020-10-09,0.51044
2020-10-10,0.48364
2020-10-11,0.48014
2020-10-12,1.071
2020-10-13,1.2633
2020-10-14,1.13976
2020-10-15,1.29476
2020-10-16,1.03371
2020-10-17,0.56988
2020-10-18,0.50578
2020-10-19,1.04886
2020-10-20,1.17589
2020-10-21,1.19687
2020-10-22,1.02439
2020-10-23,0.91717
2020-10-24,0.47315
2020-10-25,0.50578
2020-10-26,1.02089
2020-10-27,1.32506
2020-10-28,1.34021
2020-10-29,1.17472
2020-10-30,1.03954
2020-10-31,0.42537
2020-11-01,0.59435
2020-11-02,1.0477
2020-11-03,1.33555
2020-11-04,1.08732
2020-11-05,1.09315
2020-11-06,1.01273
2020-11-07,0.43935
2020-11-08,0.50229
