date,환율전망
2020-03-20,22.43317
2020-03-21,6.40644
2020-03-22,6.10946
2020-03-23,17.80865
2020-03-24,15.09333
2020-03-25,14.90241
2020-03-26,11.07339
2020-03-27,12.16588
2020-03-28,4.126
2020-03-29,3.36232
2020-03-30,8.2308
2020-03-31,6.38523
2020-04-01,6.27916
2020-04-02,6.62918
2020-04-03,5.13364
2020-04-04,2.71531
2020-04-05,2.36529
2020-04-06,6.04582
2020-04-07,7.14891
2020-04-08,5.53669
2020-04-09,4.98515
2020-04-10,5.91854
2020-04-11,1.88799
2020-04-12,2.3865
2020-04-13,5.8549
2020-04-14,4.63512
2020-04-15,2.08952
2020-04-16,5.89732
2020-04-17,4.85787
2020-04-18,1.54857
2020-04-19,1.50615
2020-04-20,4.2745
2020-04-21,5.36699
2020-04-22,4.57148
2020-04-23,4.2851
2020-04-24,4.53966
2020-04-25,1.60161
2020-04-26,1.52736
2020-04-27,4.4442
2020-04-28,3.97751
2020-04-29,4.4336
2020-04-30,1.49554
2020-05-01,1.44251
2020-05-02,1.24098
2020-05-03,1.36826
2020-05-04,2.93805
2020-05-05,1.55918
2020-05-06,3.24565
2020-05-07,3.37293
2020-05-08,3.47899
2020-05-09,1.03945
2020-05-10,0.96521
2020-05-11,3.59567
2020-05-12,2.99109
2020-05-13,2.83198
2020-05-14,3.08655
2020-05-15,3.29868
2020-05-16,1.45311
2020-05-17,1.66525
2020-05-18,4.42299
2020-05-19,3.77598
2020-05-20,3.30929
2020-05-21,3.1714
2020-05-22,4.53966
2020-05-23,1.49554
2020-05-24,1.50615
2020-05-25,5.62155
2020-05-26,4.94272
2020-05-27,5.84429
2020-05-28,4.67755
2020-05-29,3.38353
2020-05-30,1.16673
2020-05-31,1.4319
2020-06-01,5.53669
2020-06-02,4.61391
2020-06-03,6.32159
2020-06-04,4.03054
2020-06-05,6.27916
2020-06-06,2.0683
2020-06-07,2.10012
2020-06-08,7.18073
2020-06-09,8.2308
2020-06-10,7.09588
2020-06-11,5.5473
2020-06-12,4.83665
2020-06-13,1.05006
2020-06-14,1.21977
2020-06-15,4.50784
2020-06-16,3.41535
2020-06-17,3.07594
2020-06-18,3.16079
2020-06-19,2.41832
2020-06-20,0.76368
2020-06-21,0.85914
2020-06-22,3.16079
2020-06-23,2.87441
2020-06-24,4.09418
2020-06-25,2.59864
2020-06-26,4.01994
2020-06-27,1.00763
2020-06-28,1.07127
2020-06-29,3.39414
2020-06-30,3.68052
2020-07-01,2.78956
2020-07-02,2.32286
2020-07-03,2.17437
2020-07-04,0.76368
2020-07-05,0.81671
2020-07-06,3.44717
2020-07-07,3.31989
2020-07-08,2.42893
2020-07-09,2.99109
2020-07-10,2.5456
2020-07-11,0.88035
2020-07-12,0.84853
2020-07-13,2.5456
2020-07-14,2.75774
2020-07-15,2.26983
2020-07-16,2.23801
2020-07-17,2.12134
2020-07-18,0.65761
2020-07-19,0.8061
2020-07-20,2.32286
2020-07-21,3.41535
2020-07-22,3.68052
2020-07-23,2.26983
2020-07-24,2.42893
2020-07-25,0.90156
2020-07-26,0.88035
