date,신용카드발급
2020-03-20,28.3417
2020-03-21,21.30653
2020-03-22,22.41206
2020-03-23,40.40201
2020-03-24,40.40201
2020-03-25,36.68341
2020-03-26,29.44723
2020-03-27,32.2613
2020-03-28,18.29145
2020-03-29,23.21608
2020-03-30,39.89949
2020-03-31,33.26633
2020-04-01,38.59296
2020-04-02,37.48743
2020-04-03,31.75879
2020-04-04,21.40703
2020-04-05,19.49748
2020-04-06,35.27638
2020-04-07,33.76884
2020-04-08,35.97989
2020-04-09,48.94472
2020-04-10,56.0804
2020-04-11,25.62814
2020-04-12,27.63819
2020-04-13,55.77889
2020-04-14,46.63316
2020-04-15,32.66331
2020-04-16,56.88442
2020-04-17,51.15577
2020-04-18,23.91959
2020-04-19,28.74371
2020-04-20,57.88944
2020-04-21,55.87939
2020-04-22,53.86934
2020-04-23,42.11055
2020-04-24,32.1608
2020-04-25,21.00502
2020-04-26,26.13065
2020-04-27,54.37185
2020-04-28,45.92964
2020-04-29,44.2211
2020-04-30,24.0201
2020-05-01,24.2211
2020-05-02,16.78391
2020-05-03,20.1005
2020-05-04,42.21105
2020-05-05,24.42211
2020-05-06,40.0
2020-05-07,40.80402
2020-05-08,36.0804
2020-05-09,20.40201
2020-05-10,19.69849
2020-05-11,43.31658
2020-05-12,35.27638
2020-05-13,36.58291
2020-05-14,30.65326
2020-05-15,26.63316
2020-05-16,19.49748
2020-05-17,14.27135
2020-05-18,39.39698
2020-05-19,32.46231
2020-05-20,29.04522
2020-05-21,30.55276
2020-05-22,26.03015
2020-05-23,14.17085
2020-05-24,15.97989
2020-05-25,28.94472
2020-05-26,30.15075
2020-05-27,27.53768
2020-05-28,26.53266
2020-05-29,28.0402
2020-05-30,15.67839
2020-05-31,14.87437
2020-06-01,32.2613
2020-06-02,28.64321
2020-06-03,30.45226
2020-06-04,29.84924
2020-06-05,25.62814
2020-06-06,18.19095
2020-06-07,16.68341
2020-06-08,36.78391
2020-06-09,31.45728
2020-06-10,30.15075
2020-06-11,28.0402
