date,니콜라주가
2020-06-04,0.00632
2020-06-05,0.02022
2020-06-06,0.02907
2020-06-07,0.01137
2020-06-08,0.42978
2020-06-09,10.5816
2020-06-10,8.49208
2020-06-11,7.03965
2020-06-12,4.79591
2020-06-13,2.58124
2020-06-14,1.53079
2020-06-15,2.41059
2020-06-16,2.96426
2020-06-17,2.79993
2020-06-18,2.0339
2020-06-19,1.93404
2020-06-20,1.02769
2020-06-21,0.58906
2020-06-22,1.35256
2020-06-23,3.83268
2020-06-24,4.54815
2020-06-25,2.68111
2020-06-26,1.90117
2020-06-27,1.59653
2020-06-28,0.8583
2020-06-29,1.57377
2020-06-30,2.58377
2020-07-01,2.24626
2020-07-02,4.40025
2020-07-03,7.57562
2020-07-04,2.49655
2020-07-05,2.11353
2020-07-06,4.08803
2020-07-07,8.45415
2020-07-08,6.802
2020-07-09,9.99127
2020-07-10,5.45197
2020-07-11,3.26005
2020-07-12,2.32337
2020-07-13,4.30418
2020-07-14,3.96667
2020-07-15,3.12227
2020-07-16,2.4384
2020-07-17,2.24879
2020-07-18,3.90221
2020-07-19,1.51057
2020-07-20,4.68341
2020-07-21,6.28499
2020-07-22,3.36876
2020-07-23,4.41289
2020-07-24,4.06148
2020-07-25,2.98575
2020-07-26,1.63318
2020-07-27,2.76959
2020-07-28,3.73282
2020-07-29,2.85428
2020-07-30,2.73546
2020-07-31,2.97311
2020-08-01,1.4461
2020-08-02,1.10986
2020-08-03,1.82027
2020-08-04,5.50379
2020-08-05,4.66571
2020-08-06,2.99081
2020-08-07,2.54332
2020-08-08,1.73684
2020-08-09,1.18064
2020-08-10,4.67835
2020-08-11,7.0978
2020-08-12,5.03103
2020-08-13,4.17651
2020-08-14,4.2473
2020-08-15,2.02631
2020-08-16,1.19455
2020-08-17,2.20328
2020-08-18,3.68226
2020-08-19,3.54953
2020-08-20,3.47368
2020-08-21,3.54574
2020-08-22,2.5231
2020-08-23,1.64962
2020-08-24,2.68995
2020-08-25,3.94645
2020-08-26,3.85038
2020-08-27,4.0678
2020-08-28,3.58113
2020-08-29,2.896
2020-08-30,1.2527
2020-08-31,2.55596
2020-09-01,4.23087
2020-09-02,3.9869
2020-09-03,4.06527
2020-09-04,4.20811
2020-09-05,2.87704
2020-09-06,1.04792
2020-09-07,1.67616
2020-09-08,9.06976
2020-09-09,44.72942
2020-09-10,39.70597
2020-09-11,22.69779
2020-09-12,33.73446
2020-09-13,5.88175
2020-09-14,18.94348
2020-09-15,74.96239
2020-09-16,33.57519
2020-09-17,28.58713
2020-09-18,19.00289
2020-09-19,12.1756
2020-09-20,4.34843
2020-09-21,41.98005
2020-09-22,94.43805
2020-09-23,38.08669
2020-09-24,37.12851
2020-09-25,29.73745
2020-09-26,17.62504
2020-09-27,6.34061
2020-09-28,14.74926
2020-09-29,18.19009
2020-09-30,15.24352
2020-10-01,25.85546
2020-10-02,29.44797
2020-10-03,20.44394
2020-10-04,5.86406
2020-10-05,13.91497
2020-10-06,41.54141
2020-10-07,19.54518
2020-10-08,19.39981
2020-10-09,14.97806
2020-10-10,10.51839
2020-10-11,3.39531
2020-10-12,8.00667
2020-10-13,16.54931
2020-10-14,13.50668
2020-10-15,11.81028
2020-10-16,11.0215
2020-10-17,11.80775
2020-10-18,2.79867
2020-10-19,7.23937
2020-10-20,12.62561
2020-10-21,12.88348
2020-10-22,13.85683
2020-10-23,9.62975
2020-10-24,5.80085
2020-10-25,1.75833
2020-10-26,4.05263
2020-10-27,8.30752
2020-10-28,8.58309
2020-10-29,9.10515
2020-10-30,7.59584
2020-10-31,5.30913
2020-11-01,1.54723
2020-11-02,3.65065
2020-11-03,7.74627
2020-11-04,7.96116
2020-11-05,8.40991
2020-11-06,8.16847
2020-11-07,4.51149
2020-11-08,1.55608
2020-11-09,4.3143
2020-11-10,8.66399
2020-11-11,7.21283
