date,트레이딩
2020-03-20,35.33834
2020-03-21,18.98496
2020-03-22,18.79699
2020-03-23,33.0827
2020-03-24,28.94736
2020-03-25,37.78195
2020-03-26,40.78947
2020-03-27,33.83458
2020-03-28,16.72932
2020-03-29,21.42857
2020-03-30,42.4812
2020-03-31,40.97744
2020-04-01,38.53383
2020-04-02,35.15037
2020-04-03,31.57894
2020-04-04,24.06015
2020-04-05,23.30827
2020-04-06,36.65413
2020-04-07,37.03007
2020-04-08,30.82706
2020-04-09,32.70676
2020-04-10,27.63157
2020-04-11,22.93233
2020-04-12,22.36842
2020-04-13,31.203
2020-04-14,39.47368
2020-04-15,22.74436
2020-04-16,29.51127
2020-04-17,32.89473
2020-04-18,17.29323
2020-04-19,18.04511
2020-04-20,31.39097
2020-04-21,27.81954
2020-04-22,29.69924
2020-04-23,25.0
2020-04-24,25.5639
2020-04-25,13.90977
2020-04-26,18.60902
2020-04-27,34.02255
2020-04-28,30.63909
2020-04-29,27.25563
2020-04-30,16.35338
2020-05-01,12.78195
2020-05-02,14.09774
2020-05-03,15.03759
2020-05-04,18.79699
2020-05-05,15.6015
2020-05-06,21.05263
2020-05-07,25.5639
2020-05-08,23.1203
2020-05-09,15.41353
2020-05-10,13.7218
2020-05-11,21.61654
2020-05-12,24.62406
2020-05-13,26.87969
2020-05-14,27.06766
2020-05-15,21.61654
2020-05-16,12.96992
2020-05-17,13.15789
2020-05-18,26.87969
2020-05-19,23.49624
2020-05-20,25.5639
2020-05-21,27.63157
2020-05-22,20.67669
2020-05-23,13.90977
2020-05-24,17.29323
2020-05-25,23.87218
2020-05-26,21.05263
2020-05-27,22.36842
2020-05-28,21.80451
2020-05-29,21.61654
2020-05-30,12.78195
2020-05-31,14.66165
2020-06-01,22.55639
2020-06-02,29.69924
2020-06-03,31.76691
2020-06-04,27.25563
2020-06-05,20.67669
2020-06-06,13.53383
2020-06-07,14.28571
2020-06-08,15.22556
2020-06-09,23.87218
2020-06-10,26.87969
2020-06-11,28.19548
2020-06-12,26.31578
2020-06-13,15.03759
2020-06-14,16.16541
2020-06-15,23.1203
2020-06-16,27.06766
2020-06-17,24.43609
2020-06-18,30.26315
2020-06-19,27.25563
2020-06-20,12.40601
2020-06-21,12.03007
2020-06-22,26.31578
2020-06-23,27.63157
2020-06-24,25.93984
2020-06-25,22.18045
2020-06-26,22.18045
2020-06-27,11.65413
2020-06-28,11.65413
2020-06-29,26.31578
2020-06-30,24.24812
2020-07-01,22.74436
2020-07-02,24.62406
2020-07-03,18.79699
2020-07-04,9.21052
2020-07-05,12.78195
2020-07-06,24.62406
2020-07-07,20.67669
2020-07-08,26.87969
2020-07-09,20.11278
2020-07-10,22.93233
2020-07-11,13.34586
2020-07-12,12.40601
2020-07-13,23.87218
2020-07-14,24.24812
2020-07-15,25.18796
2020-07-16,28.75939
2020-07-17,24.81203
2020-07-18,14.09774
2020-07-19,11.46616
2020-07-20,25.93984
2020-07-21,25.0
2020-07-22,26.50375
2020-07-23,22.93233
2020-07-24,24.81203
2020-07-25,11.46616
2020-07-26,19.73684
2020-07-27,22.74436
2020-07-28,25.37593
2020-07-29,28.00751
2020-07-30,28.38345
2020-07-31,23.1203
2020-08-01,14.66165
2020-08-02,13.90977
2020-08-03,29.69924
2020-08-04,23.68421
2020-08-05,26.87969
2020-08-06,23.30827
2020-08-07,25.18796
2020-08-08,14.28571
2020-08-09,15.78947
2020-08-10,27.63157
2020-08-11,28.38345
2020-08-12,25.0
2020-08-13,28.00751
2020-08-14,22.18045
2020-08-15,14.09774
2020-08-16,12.40601
2020-08-17,20.30075
2020-08-18,23.30827
2020-08-19,27.63157
2020-08-20,26.12781
2020-08-21,31.203
2020-08-22,15.6015
2020-08-23,20.67669
2020-08-24,32.51879
2020-08-25,31.39097
2020-08-26,39.47368
2020-08-27,40.03759
2020-08-28,40.22556
2020-08-29,22.36842
2020-08-30,22.93233
2020-08-31,32.51879
2020-09-01,36.27819
2020-09-02,44.3609
2020-09-03,36.8421
2020-09-04,31.95488
2020-09-05,18.98496
2020-09-06,22.74436
2020-09-07,44.17293
2020-09-08,37.59398
2020-09-09,38.34586
2020-09-10,36.09022
2020-09-11,34.39849
2020-09-12,19.92481
2020-09-13,18.79699
2020-09-14,40.6015
2020-09-15,42.29323
2020-09-16,32.70676
2020-09-17,35.15037
2020-09-18,28.75939
2020-09-19,24.24812
2020-09-20,15.78947
2020-09-21,30.26315
2020-09-22,23.68421
2020-09-23,27.25563
2020-09-24,28.94736
2020-09-25,27.63157
2020-09-26,13.34586
2020-09-27,24.81203
2020-09-28,29.51127
2020-09-29,22.93233
2020-09-30,15.97744
2020-10-01,13.53383
2020-10-02,12.78195
2020-10-03,15.41353
2020-10-04,17.29323
2020-10-05,25.93984
2020-10-06,31.203
2020-10-07,29.13533
2020-10-08,28.00751
2020-10-09,17.10526
2020-10-10,18.60902
2020-10-11,15.41353
2020-10-12,23.68421
2020-10-13,25.0
2020-10-14,25.5639
2020-10-15,30.07518
2020-10-16,24.62406
2020-10-17,16.91729
2020-10-18,17.66917
