date,레인보우로보틱스주가
2020-03-30,0.03523
2020-09-03,0.04804
2020-09-04,0.04484
2020-09-11,0.02242
2020-12-16,0.07367
2020-12-17,0.04484
2020-12-18,0.02882
2020-12-19,0.03523
2020-12-22,0.01601
2020-12-28,0.01921
2021-01-04,0.01921
2021-01-11,0.01601
2021-01-15,0.01601
2021-01-18,0.02242
2021-01-20,0.03843
2021-01-21,0.06406
2021-01-22,0.15374
2021-01-23,0.08007
2021-01-24,0.05765
2021-01-25,0.2178
2021-01-26,0.18577
2021-01-27,0.15374
2021-01-28,0.13773
2021-01-29,0.07046
2021-01-30,0.02562
2021-01-31,0.05124
2021-02-01,0.16015
2021-02-02,0.45803
2021-02-03,9.30172
2021-02-04,8.20627
2021-02-05,7.54324
2021-02-06,1.66559
2021-02-07,1.23959
2021-02-08,12.77706
2021-02-09,10.95131
2021-02-10,7.69058
2021-02-11,1.09224
2021-02-12,0.80076
2021-02-13,0.836
2021-02-14,0.85522
2021-02-15,5.91607
2021-02-16,5.05765
2021-02-17,7.02434
2021-02-18,5.2114
2021-02-19,4.26329
2021-02-20,0.69506
2021-02-21,0.56694
2021-02-22,4.24727
2021-02-23,4.01345
2021-02-24,3.28315
2021-02-25,3.3408
2021-02-26,3.04612
2021-02-27,0.51249
2021-02-28,0.30749
2021-03-01,0.40999
2021-03-02,3.21909
2021-03-03,2.74823
2021-03-04,2.44714
2021-03-05,2.28699
2021-03-06,0.34593
2021-03-07,0.29468
2021-03-08,4.39782
2021-03-09,2.77065
2021-03-10,3.22869
2021-03-11,3.17745
2021-03-12,2.69378
2021-03-13,0.38757
2021-03-14,0.27226
2021-03-15,2.44714
2021-03-16,2.91159
2021-03-17,2.06598
2021-03-18,2.04676
2021-03-19,1.82895
2021-03-20,0.24663
2021-03-21,0.18898
2021-03-22,1.84497
2021-03-23,1.78411
2021-03-24,1.69762
2021-03-25,1.60794
2021-03-26,1.51185
2021-03-27,0.19859
2021-03-28,0.17616
2021-03-29,1.79051
2021-03-30,1.57591
2021-03-31,1.5727
2021-04-01,1.39974
2021-04-02,1.44138
2021-04-03,0.35874
2021-04-04,0.24023
2021-04-05,2.44074
2021-04-06,4.29852
2021-04-07,2.55285
2021-04-08,3.3344
2021-04-09,2.65214
2021-04-10,0.27866
2021-04-11,0.23062
2021-04-12,3.2383
2021-04-13,2.51121
2021-04-14,2.23574
2021-04-15,1.74247
2021-04-16,1.61434
2021-04-17,0.32991
2021-04-18,0.22421
2021-04-19,1.62075
2021-04-20,1.44458
2021-04-21,1.70403
2021-04-22,1.69122
2021-04-23,1.39974
2021-04-24,0.22421
2021-04-25,0.16335
2021-04-26,1.29404
2021-04-27,1.18834
2021-04-28,1.47021
2021-04-29,2.47597
2021-04-30,1.40614
2021-05-01,0.16655
2021-05-02,0.09929
2021-05-03,1.79051
2021-05-04,1.48622
2021-05-05,0.16655
2021-05-06,1.58231
2021-05-07,1.17873
2021-05-08,0.14734
2021-05-09,0.1121
2021-05-10,1.44778
2021-05-11,1.23959
2021-05-12,1.1531
2021-05-13,1.15631
2021-05-14,1.24919
2021-05-15,0.25944
2021-05-16,0.31069
2021-05-17,1.4606
2021-05-18,1.37732
2021-05-19,0.38436
2021-05-20,1.53427
2021-05-21,1.43497
2021-05-22,0.17296
2021-05-23,0.13452
2021-05-24,1.10826
2021-05-25,1.2588
2021-05-26,1.61434
2021-05-27,1.37411
2021-05-28,1.26841
2021-05-29,0.13452
2021-05-30,0.14734
2021-05-31,1.12748
2021-06-01,1.11787
2021-06-02,1.01537
2021-06-03,1.24919
2021-06-04,0.9449
2021-06-05,0.14734
2021-06-06,0.09288
2021-06-07,1.21076
2021-06-08,1.36771
2021-06-09,1.13388
2021-06-10,0.90006
2021-06-11,0.98654
2021-06-12,0.10249
2021-06-13,0.07367
2021-06-14,0.91928
2021-06-15,0.92889
2021-06-16,1.16591
2021-06-17,1.09865
2021-06-18,1.03139
2021-06-19,0.09288
2021-06-20,0.10249
2021-06-21,0.85842
2021-06-22,1.18193
2021-06-23,1.0442
2021-06-24,2.53363
2021-06-25,1.94426
2021-06-26,0.16655
2021-06-27,0.23702
2021-06-28,1.81294
2021-06-29,1.71364
2021-06-30,1.68161
2021-07-01,1.47661
2021-07-02,1.11787
2021-07-03,0.29468
2021-07-04,0.14734
2021-07-05,1.28122
2021-07-06,1.4606
2021-07-07,1.20115
2021-07-08,1.11146
2021-07-09,0.96732
2021-07-10,0.27546
2021-07-11,0.22741
2021-07-12,1.03779
2021-07-13,1.07943
2021-07-14,0.92248
2021-07-15,0.95131
