date,앱
2020-03-20,19.31649
2020-03-21,13.91778
2020-03-22,14.21495
2020-03-23,18.12778
2020-03-24,19.21743
2020-03-25,18.47449
2020-03-26,19.56414
2020-03-27,17.63249
2020-03-28,14.4626
2020-03-29,13.1253
2020-03-30,16.69143
2020-03-31,18.62308
2020-04-01,20.20802
2020-04-02,18.3259
2020-04-03,19.46508
2020-04-04,14.80931
2020-04-05,16.69143
2020-04-06,19.41555
2020-04-07,22.5359
2020-04-08,23.08073
2020-04-09,21.19861
2020-04-10,19.86131
2020-04-11,14.11589
2020-04-12,15.05695
2020-04-13,20.45567
2020-04-14,19.41555
2020-04-15,12.97672
2020-04-16,20.8519
2020-04-17,19.71272
2020-04-18,13.6206
2020-04-19,16.19613
2020-04-20,16.39425
2020-04-21,19.91084
2020-04-22,19.31649
2020-04-23,19.41555
2020-04-24,23.77414
2020-04-25,10.2526
2020-04-26,13.42248
2020-04-27,16.49331
2020-04-28,18.22684
2020-04-29,14.90837
2020-04-30,13.07578
2020-05-01,13.52154
2020-05-02,9.50965
2020-05-03,12.33283
2020-05-04,17.33531
2020-05-05,12.13472
2020-05-06,18.37543
2020-05-07,18.02872
2020-05-08,17.58296
2020-05-09,13.6206
2020-05-10,12.38236
2020-05-11,18.67261
2020-05-12,20.25755
2020-05-13,17.53343
2020-05-14,19.21743
2020-05-15,19.36602
2020-05-16,11.4413
2020-05-17,12.58048
2020-05-18,17.97919
2020-05-19,18.82119
2020-05-20,17.08766
2020-05-21,15.20554
2020-05-22,15.75037
2020-05-23,12.63001
2020-05-24,12.43189
2020-05-25,17.43437
2020-05-26,18.92025
2020-05-27,18.02872
2020-05-28,17.03813
2020-05-29,13.67013
2020-05-30,11.98613
2020-05-31,39.72263
2020-06-01,15.45319
2020-06-02,18.17731
2020-06-03,17.43437
2020-06-04,17.63249
2020-06-05,15.20554
2020-06-06,12.63001
2020-06-07,11.04507
2020-06-08,14.85884
2020-06-09,16.93907
2020-06-10,19.56414
2020-06-11,17.33531
2020-06-12,28.62803
2020-06-13,11.0946
2020-06-14,12.18424
2020-06-15,15.7999
2020-06-16,15.70084
2020-06-17,16.84001
2020-06-18,14.4626
2020-06-19,15.25507
2020-06-20,9.95542
2020-06-21,10.30212
2020-06-22,15.55225
2020-06-23,16.24566
2020-06-24,17.4839
2020-06-25,16.19613
2020-06-26,14.61119
2020-06-27,10.64883
2020-06-28,11.29271
2020-06-29,17.18672
2020-06-30,17.03813
2020-07-01,17.4839
2020-07-02,15.94848
2020-07-03,13.47201
2020-07-04,10.00495
2020-07-05,11.34224
2020-07-06,15.65131
2020-07-07,15.65131
2020-07-08,16.54284
2020-07-09,15.75037
2020-07-10,17.53343
2020-07-11,9.55918
2020-07-12,12.18424
2020-07-13,17.23625
2020-07-14,18.02872
2020-07-15,18.3259
2020-07-16,14.4626
2020-07-17,13.42248
2020-07-18,12.03566
2020-07-19,18.87072
2020-07-20,14.95789
2020-07-21,17.43437
2020-07-22,16.44378
2020-07-23,18.87072
2020-07-24,14.80931
2020-07-25,10.5993
2020-07-26,10.54977
2020-07-27,17.78107
2020-07-28,14.80931
2020-07-29,15.75037
2020-07-30,15.84943
2020-07-31,14.21495
2020-08-01,10.30212
2020-08-02,10.94601
2020-08-03,14.61119
2020-08-04,13.42248
2020-08-05,14.80931
2020-08-06,14.31401
2020-08-07,14.06636
2020-08-08,10.79742
2020-08-09,11.0946
2020-08-10,15.00742
2020-08-11,14.4626
2020-08-12,16.24566
2020-08-13,16.59237
2020-08-14,13.27389
2020-08-15,10.99554
2020-08-16,9.16295
2020-08-17,11.39177
2020-08-18,14.41307
2020-08-19,14.51213
2020-08-20,16.24566
2020-08-21,14.01684
2020-08-22,10.5993
2020-08-23,11.63942
2020-08-24,14.56166
2020-08-25,15.75037
