date,보험상담
2020-03-20,20.51792
2020-03-21,12.5498
2020-03-22,11.95219
2020-03-23,23.90438
2020-03-24,23.70517
2020-03-25,25.2988
2020-03-26,24.90039
2020-03-27,20.11952
2020-03-28,12.5498
2020-03-29,10.55776
2020-03-30,26.29482
2020-03-31,22.90836
2020-04-01,17.92828
2020-04-02,19.3227
2020-04-03,19.72111
2020-04-04,8.76494
2020-04-05,10.75697
2020-04-06,19.3227
2020-04-07,16.53386
2020-04-08,27.09163
2020-04-09,17.52988
2020-04-10,20.11952
2020-04-11,8.36653
2020-04-12,9.36254
2020-04-13,24.90039
2020-04-14,22.90836
2020-04-15,11.95219
2020-04-16,18.9243
2020-04-17,20.31872
2020-04-18,13.34661
2020-04-19,11.95219
2020-04-20,24.50199
2020-04-21,19.1235
2020-04-22,22.11155
2020-04-23,20.11952
2020-04-24,20.11952
2020-04-25,14.54183
2020-04-26,6.5737
2020-04-27,27.29083
2020-04-28,16.93227
2020-04-29,24.90039
2020-04-30,14.14342
2020-05-01,13.34661
2020-05-02,13.54581
2020-05-03,9.36254
2020-05-04,20.31872
2020-05-05,11.35458
2020-05-06,22.90836
2020-05-07,19.92031
2020-05-08,14.94023
2020-05-09,11.35458
2020-05-10,8.96414
2020-05-11,26.69322
2020-05-12,30.07968
2020-05-13,19.3227
2020-05-14,22.31075
2020-05-15,21.51394
2020-05-16,13.34661
2020-05-17,15.13944
2020-05-18,29.28286
2020-05-19,30.27888
2020-05-20,18.9243
2020-05-21,23.10756
2020-05-22,22.50996
2020-05-23,13.54581
2020-05-24,6.5737
2020-05-25,21.31474
2020-05-26,21.51394
2020-05-27,24.30278
2020-05-28,18.72509
2020-05-29,16.73306
2020-05-30,13.54581
2020-05-31,10.55776
2020-06-01,17.92828
2020-06-02,24.10358
2020-06-03,22.31075
2020-06-04,16.53386
2020-06-05,17.33067
2020-06-06,10.55776
2020-06-07,13.54581
2020-06-08,26.49402
2020-06-09,23.50597
2020-06-10,22.31075
2020-06-11,19.92031
2020-06-12,18.32669
2020-06-13,11.35458
2020-06-14,7.56972
2020-06-15,24.70119
2020-06-16,23.70517
2020-06-17,22.31075
2020-06-18,19.3227
2020-06-19,18.72509
2020-06-20,13.14741
2020-06-21,11.55378
2020-06-22,17.52988
2020-06-23,19.3227
2020-06-24,22.70916
2020-06-25,19.1235
