date,AIG손해보험
2020-03-20,53.87415
2020-03-21,19.13676
2020-03-22,10.92043
2020-03-23,60.84243
2020-03-24,61.51846
2020-03-25,67.81071
2020-03-26,60.47841
2020-03-27,56.78627
2020-03-28,14.87259
2020-03-29,15.54862
2020-03-30,66.66666
2020-03-31,68.95475
2020-04-01,52.99011
2020-04-02,52.36609
2020-04-03,48.20592
2020-04-04,13.88455
2020-04-05,10.76443
2020-04-06,55.0182
2020-04-07,54.23816
2020-04-08,51.48205
2020-04-09,47.84191
2020-04-10,46.90587
2020-04-11,15.86063
2020-04-12,12.01248
2020-04-13,55.43421
2020-04-14,53.40613
2020-04-15,17.05668
2020-04-16,59.85439
2020-04-17,53.87415
2020-04-18,14.92459
2020-04-19,13.98855
2020-04-20,63.65054
2020-04-21,61.72646
2020-04-22,57.77431
2020-04-23,55.33021
2020-04-24,50.70202
2020-04-25,13.62454
2020-04-26,12.01248
2020-04-27,66.09464
2020-04-28,61.05044
2020-04-29,55.74622
2020-04-30,17.00468
2020-05-01,23.71294
2020-05-02,12.42849
2020-05-03,13.41653
2020-05-04,70.51482
2020-05-05,15.28861
2020-05-06,63.59854
2020-05-07,55.90223
2020-05-08,47.32189
2020-05-09,14.97659
2020-05-10,13.41653
2020-05-11,56.68226
2020-05-12,55.95423
2020-05-13,57.6703
2020-05-14,55.74622
2020-05-15,56.78627
2020-05-16,13.72854
2020-05-17,13.83255
2020-05-18,60.63442
2020-05-19,57.5143
2020-05-20,51.89807
2020-05-21,53.30213
2020-05-22,49.14196
2020-05-23,15.65262
2020-05-24,14.24856
2020-05-25,64.79459
2020-05-26,55.53822
2020-05-27,51.79407
2020-05-28,52.78211
2020-05-29,49.40197
2020-05-30,14.61258
2020-05-31,14.30057
2020-06-01,57.93031
2020-06-02,48.20592
2020-06-03,45.96983
2020-06-04,47.84191
2020-06-05,44.92979
2020-06-06,12.5325
2020-06-07,10.71242
2020-06-08,51.53406
2020-06-09,50.65002
2020-06-10,49.14196
2020-06-11,44.72178
2020-06-12,42.79771
2020-06-13,10.92043
2020-06-14,11.64846
2020-06-15,53.35413
2020-06-16,50.49401
2020-06-17,49.08996
2020-06-18,47.47789
2020-06-19,41.75767
2020-06-20,11.07644
2020-06-21,12.32449
2020-06-22,54.86219
2020-06-23,53.04212
2020-06-24,47.84191
2020-06-25,52.93811
2020-06-26,42.38169
2020-06-27,12.37649
2020-06-28,11.75247
2020-06-29,57.46229
2020-06-30,70.35881
2020-07-01,51.01404
2020-07-02,47.5299
2020-07-03,45.50182
2020-07-04,12.7405
