date,대주전자재료주가
2020-03-20,2.62478
2020-03-21,0.37421
2020-03-22,0.22136
2020-03-23,2.33489
2020-03-24,2.81979
2020-03-25,2.87777
2020-03-26,2.79344
2020-03-27,3.05697
2020-03-28,0.27407
2020-03-29,0.28988
2020-03-30,2.47193
2020-03-31,2.13988
2020-04-01,2.41922
2020-04-02,1.95541
2020-04-03,2.20313
2020-04-04,0.41111
2020-04-05,0.22663
2020-04-06,2.21894
2020-04-07,2.22948
2020-04-08,2.68275
2020-04-09,2.298
2020-04-10,6.83075
2020-04-11,0.58504
2020-04-12,0.55341
2020-04-13,3.895
2020-04-14,4.03731
2020-04-15,0.47435
2020-04-16,4.54856
2020-04-17,4.87534
2020-04-18,0.64828
2020-04-19,0.47962
2020-04-20,3.41537
2020-04-21,3.36794
2020-04-22,2.89358
2020-04-23,2.91993
2020-04-24,2.30854
2020-04-25,0.27407
2020-04-26,0.3584
2020-04-27,2.76181
2020-04-28,2.80398
2020-04-29,3.61039
2020-04-30,0.33732
2020-05-01,0.38475
2020-05-02,0.21609
2020-05-03,0.20028
2020-05-04,3.46808
2020-05-05,0.52179
2020-05-06,5.4762
2020-05-07,11.11052
2020-05-08,8.63332
2020-05-09,1.09102
2020-05-10,0.8064
2020-05-11,7.04685
2020-05-12,6.25098
2020-05-13,7.60554
2020-05-14,7.31038
2020-05-15,5.01238
2020-05-16,0.71153
2020-05-17,0.51125
2020-05-18,7.35255
2020-05-19,9.52406
2020-05-20,9.96152
2020-05-21,14.44684
2020-05-22,17.40367
2020-05-23,3.21509
2020-05-24,3.87919
2020-05-25,21.97333
2020-05-26,31.30237
2020-05-27,30.65935
2020-05-28,28.8199
2020-05-29,24.96178
2020-05-30,3.8423
2020-05-31,3.61039
2020-06-01,21.25652
2020-06-02,19.62789
2020-06-03,21.76777
2020-06-04,29.38913
2020-06-05,21.93643
2020-06-06,3.85811
2020-06-07,2.98845
2020-06-08,18.63173
2020-06-09,17.53017
2020-06-10,15.98587
2020-06-11,20.60296
2020-06-12,18.86364
2020-06-13,2.37706
2020-06-14,2.32962
2020-06-15,16.54983
2020-06-16,14.44157
2020-06-17,18.83729
2020-06-18,19.31692
2020-06-19,25.89469
2020-06-20,5.46039
2020-06-21,5.19158
2020-06-22,29.96363
2020-06-23,31.05992
2020-06-24,25.23059
2020-06-25,21.62019
2020-06-26,20.90865
2020-06-27,2.90412
2020-06-28,3.02008
2020-06-29,20.32361
2020-06-30,23.91819
2020-07-01,21.92062
2020-07-02,21.16165
2020-07-03,19.58572
2020-07-04,2.91993
2020-07-05,2.55099
2020-07-06,23.00637
2020-07-07,23.42275
2020-07-08,21.10894
2020-07-09,20.3974
2020-07-10,18.22589
2020-07-11,2.14515
2020-07-12,1.88689
2020-07-13,18.41037
2020-07-14,15.91735
2020-07-15,16.42333
2020-07-16,14.28345
2020-07-17,13.15026
2020-07-18,2.57734
2020-07-19,2.38233
2020-07-20,14.9212
2020-07-21,15.44826
2020-07-22,16.19142
2020-07-23,30.79112
2020-07-24,21.87318
2020-07-25,2.61424
2020-07-26,2.19258
2020-07-27,19.09555
2020-07-28,17.90439
2020-07-29,16.02803
2020-07-30,15.16892
2020-07-31,20.75054
2020-08-01,4.12691
2020-08-02,6.61466
2020-08-03,32.77815
2020-08-04,29.42602
2020-08-05,28.38243
2020-08-06,28.84625
2020-08-07,31.97174
2020-08-08,9.77178
2020-08-09,9.45027
2020-08-10,47.31987
2020-08-11,40.49438
2020-08-12,35.81405
2020-08-13,31.23385
2020-08-14,26.43756
2020-08-15,5.39714
2020-08-16,3.5366
2020-08-17,4.25868
2020-08-18,27.83956
2020-08-19,30.88599
2020-08-20,26.16876
2020-08-21,28.68286
2020-08-22,3.80013
2020-08-23,3.25198
2020-08-24,32.91519
2020-08-25,40.77373
2020-08-26,37.98028
2020-08-27,38.69709
2020-08-28,30.27987
2020-08-29,3.2678
2020-08-30,3.51552
2020-08-31,29.04126
2020-09-01,24.56648
2020-09-02,23.47019
2020-09-03,22.26848
2020-09-04,20.89284
2020-09-05,2.67748
2020-09-06,2.4772
2020-09-07,22.87988
2020-09-08,23.85495
2020-09-09,20.1286
2020-09-10,22.1578
2020-09-11,18.3682
2020-09-12,3.63147
2020-09-13,5.02292
2020-09-14,32.18257
2020-09-15,28.06619
2020-09-16,22.81663
2020-09-17,20.18131
2020-09-18,29.20992
2020-09-19,4.34828
2020-09-20,4.5064
2020-09-21,29.82132
2020-09-22,24.87218
2020-09-23,27.22816
2020-09-24,29.0887
2020-09-25,24.91962
2020-09-26,2.47193
2020-09-27,1.93959
2020-09-28,22.50039
2020-09-29,20.42376
2020-09-30,1.65498
2020-10-01,1.63917
2020-10-02,1.53375
2020-10-03,1.44942
2020-10-04,1.53902
2020-10-05,18.13629
2020-10-06,16.56037
2020-10-07,13.99356
2020-10-08,17.40367
2020-10-09,2.63532
