date,R&D
2020-03-20,14.76263
2020-03-21,11.75221
2020-03-22,10.09262
2020-03-23,18.73793
2020-03-24,18.1976
2020-03-25,17.50289
2020-03-26,18.33269
2020-03-27,15.8433
2020-03-28,10.03473
2020-03-29,10.76804
2020-03-30,15.8433
2020-03-31,19.89579
2020-04-01,17.03975
2020-04-02,17.81165
2020-04-03,16.5959
2020-04-04,11.34697
2020-04-05,11.15399
2020-04-06,18.71864
2020-04-07,18.50636
2020-04-08,19.39405
2020-04-09,23.54303
2020-04-10,20.80277
2020-04-11,9.88035
2020-04-12,12.48552
2020-04-13,17.07834
2020-04-14,22.9834
2020-04-15,12.08027
2020-04-16,15.88189
2020-04-17,15.57313
2020-04-18,10.53647
2020-04-19,11.25048
2020-04-20,17.29062
2020-04-21,16.15206
2020-04-22,15.88189
2020-04-23,15.78541
2020-04-24,15.824
2020-04-25,10.90312
2020-04-26,10.69085
2020-04-27,15.14859
2020-04-28,18.2169
2020-04-29,15.72751
2020-04-30,10.69085
2020-05-01,11.0575
2020-05-02,9.05055
2020-05-03,9.39791
2020-05-04,18.9695
2020-05-05,13.00656
2020-05-06,17.46429
2020-05-07,17.21343
2020-05-08,14.64685
2020-05-09,8.76109
2020-05-10,9.41721
2020-05-11,15.22578
2020-05-12,15.92049
2020-05-13,16.15206
2020-05-14,13.97143
2020-05-15,13.489
2020-05-16,8.45233
2020-05-17,7.9313
2020-05-18,13.81705
2020-05-19,16.44152
2020-05-20,16.34504
2020-05-21,14.02933
2020-05-22,13.33461
2020-05-23,7.64183
2020-05-24,9.39791
2020-05-25,15.0328
2020-05-26,14.66615
2020-05-27,14.43458
2020-05-28,14.37668
2020-05-29,14.08722
2020-05-30,8.14357
2020-05-31,8.74179
2020-06-01,13.85565
2020-06-02,14.35739
2020-06-03,14.87842
2020-06-04,16.51871
2020-06-05,10.92242
2020-06-06,8.00849
2020-06-07,9.66808
2020-06-08,17.73446
2020-06-09,16.42223
2020-06-10,14.82053
2020-06-11,13.77846
2020-06-12,12.6399
2020-06-13,7.85411
2020-06-14,8.97336
2020-06-15,14.66615
2020-06-16,13.489
2020-06-17,12.31184
2020-06-18,13.72057
2020-06-19,12.40833
2020-06-20,7.04361
2020-06-21,8.16287
2020-06-22,14.39598
2020-06-23,14.18371
2020-06-24,12.6978
2020-06-25,12.54341
2020-06-26,11.28907
2020-06-27,6.52257
2020-06-28,6.3103
2020-06-29,10.98031
2020-06-30,10.57506
2020-07-01,10.43998
2020-07-02,9.28213
2020-07-03,8.74179
2020-07-04,4.76649
2020-07-05,4.67001
2020-07-06,10.49787
2020-07-07,10.96101
2020-07-08,10.84523
2020-07-09,10.47857
2020-07-10,8.16287
2020-07-11,4.61211
2020-07-12,5.42261
2020-07-13,10.18911
2020-07-14,11.0575
2020-07-15,10.69085
2020-07-16,10.63296
2020-07-17,9.20494
2020-07-18,5.32612
2020-07-19,4.41914
2020-07-20,10.01543
2020-07-21,10.38209
2020-07-22,10.09262
2020-07-23,10.40138
2020-07-24,8.29795
2020-07-25,4.7472
2020-07-26,4.95947
2020-07-27,9.68737
2020-07-28,10.40138
2020-07-29,9.89965
2020-07-30,9.37861
2020-07-31,8.83828
2020-08-01,3.78232
2020-08-02,5.01736
2020-08-03,10.40138
2020-08-04,9.78386
2020-08-05,9.88035
2020-08-06,9.80316
2020-08-07,8.18216
2020-08-08,4.84368
2020-08-09,4.39984
2020-08-10,9.57159
2020-08-11,8.93477
2020-08-12,9.4944
2020-08-13,10.05403
2020-08-14,8.24006
2020-08-15,4.7472
2020-08-16,4.16827
2020-08-17,5.96294
2020-08-18,9.64878
2020-08-19,9.61018
2020-08-20,11.53994
2020-08-21,8.52952
2020-08-22,4.65071
2020-08-23,5.07526
2020-08-24,9.78386
2020-08-25,9.41721
2020-08-26,10.72944
2020-08-27,10.22771
2020-08-28,9.12774
2020-08-29,4.86298
2020-08-30,6.15592
2020-08-31,10.69085
2020-09-01,12.42763
2020-09-02,12.98726
2020-09-03,11.65573
2020-09-04,11.81011
2020-09-05,6.71555
2020-09-06,6.2717
2020-09-07,13.18023
2020-09-08,14.78193
2020-09-09,13.73986
2020-09-10,11.81011
2020-09-11,9.72597
2020-09-12,6.98571
2020-09-13,7.1208
2020-09-14,12.56271
2020-09-15,12.25395
2020-09-16,12.85218
2020-09-17,11.94519
2020-09-18,11.0768
2020-09-19,5.73137
2020-09-20,6.81204
2020-09-21,12.25395
2020-09-22,12.00308
2020-09-23,12.21536
2020-09-24,12.35044
2020-09-25,9.72597
2020-09-26,6.38749
2020-09-27,5.67348
2020-09-28,10.98031
2020-09-29,8.22076
2020-09-30,4.12967
2020-10-01,4.14897
2020-10-02,4.24546
2020-10-03,4.94017
2020-10-04,7.42956
2020-10-05,10.90312
2020-10-06,11.46275
2020-10-07,12.6206
