date,KODEX인버스
2020-03-20,72.67
2020-03-21,20.84466
2020-03-22,20.31496
2020-03-23,79.15533
2020-03-24,68.76163
2020-03-25,72.0544
2020-03-26,68.2176
2020-03-27,68.96206
2020-03-28,21.15962
2020-03-29,19.4846
2020-03-30,63.00644
2020-03-31,45.29706
2020-04-01,57.48031
2020-04-02,59.78525
2020-04-03,39.75662
2020-04-04,11.72512
2020-04-05,13.32856
2020-04-06,40.85898
2020-04-07,45.36864
2020-04-08,39.88546
2020-04-09,38.1675
2020-04-10,38.02433
2020-04-11,11.85397
2020-04-12,10.60844
2020-04-13,38.36793
2020-04-14,37.49463
2020-04-15,12.24051
2020-04-16,33.801
2020-04-17,41.47458
2020-04-18,11.0093
2020-04-19,10.89477
2020-04-20,31.38153
2020-04-21,45.66929
2020-04-22,41.2312
2020-04-23,25.03937
2020-04-24,24.05153
2020-04-25,6.57122
2020-04-26,5.96993
2020-04-27,21.17394
2020-04-28,20.84466
2020-04-29,17.98138
2020-04-30,6.19899
2020-05-01,5.72655
2020-05-02,5.81245
2020-05-03,4.35218
2020-05-04,25.12526
2020-05-05,7.602
2020-05-06,15.83392
2020-05-07,14.37365
2020-05-08,13.17108
2020-05-09,4.58124
2020-05-10,4.59556
2020-05-11,15.33285
2020-05-12,18.32498
2020-05-13,16.10594
2020-05-14,16.87902
2020-05-15,12.72727
2020-05-16,2.41947
2020-05-17,2.80601
2020-05-18,11.58196
2020-05-19,15.47602
2020-05-20,12.9277
2020-05-21,12.42662
2020-05-22,14.73156
2020-05-23,3.20687
2020-05-24,3.22118
2020-05-25,11.58196
2020-05-26,14.17322
2020-05-27,14.13027
2020-05-28,17.0365
2020-05-29,12.15461
2020-05-30,3.16392
2020-05-31,2.60558
2020-06-01,13.14244
2020-06-02,13.32856
2020-06-03,24.76735
2020-06-04,25.13958
2020-06-05,22.4481
2020-06-06,7.5161
2020-06-07,7.00071
2020-06-08,23.50751
2020-06-09,27.05798
2020-06-10,21.24552
2020-06-11,28.43235
2020-06-12,43.45025
2020-06-13,5.81245
2020-06-14,4.50966
2020-06-15,40.50107
2020-06-16,34.28775
2020-06-17,27.15819
2020-06-18,20.58697
2020-06-19,18.2534
2020-06-20,4.2806
