date,분양권
2020-03-20,6.58394
2020-03-21,6.86249
2020-03-22,6.78652
2020-03-23,8.58445
2020-03-24,8.33122
2020-03-25,8.12864
2020-03-26,6.86249
2020-03-27,6.93846
2020-03-28,4.93795
2020-03-29,5.36844
2020-03-30,7.36895
2020-03-31,7.52089
2020-04-01,7.29298
2020-04-02,6.17877
2020-04-03,5.64699
2020-04-04,5.19118
2020-04-05,4.96328
2020-04-06,6.50797
2020-04-07,8.15396
2020-04-08,7.3183
2020-04-09,6.38136
2020-04-10,5.82425
2020-04-11,5.08989
2020-04-12,6.35603
2020-04-13,8.12864
2020-04-14,7.06507
2020-04-15,5.5457
2020-04-16,7.6475
2020-04-17,7.21701
2020-04-18,6.12813
2020-04-19,7.06507
2020-04-20,6.71055
2020-04-21,7.67282
2020-04-22,8.05267
2020-04-23,7.03975
2020-04-24,7.41959
2020-04-25,5.77361
2020-04-26,6.25474
2020-04-27,8.45783
2020-04-28,8.28057
2020-04-29,7.11572
2020-04-30,6.28007
2020-05-01,6.432
2020-05-02,5.16586
2020-05-03,6.78652
2020-05-04,6.53329
2020-05-05,7.39427
2020-05-06,7.95138
2020-05-07,7.72347
2020-05-08,6.48265
2020-05-09,6.33071
2020-05-10,6.63459
2020-05-11,100.0
2020-05-12,48.13876
2020-05-13,25.17092
2020-05-14,15.0671
2020-05-15,11.92707
2020-05-16,9.7493
2020-05-17,9.79994
2020-05-18,13.54773
2020-05-19,12.20562
2020-05-20,14.58597
2020-05-21,11.62319
2020-05-22,10.33172
2020-05-23,8.25525
2020-05-24,9.4201
2020-05-25,9.85059
2020-05-26,10.61028
2020-05-27,10.25576
2020-05-28,9.77462
2020-05-29,8.63509
2020-05-30,6.93846
2020-05-31,7.57153
2020-06-01,9.4201
2020-06-02,12.15497
2020-06-03,11.31932
2020-06-04,9.57204
2020-06-05,7.87541
2020-06-06,7.82476
2020-06-07,8.58445
2020-06-08,10.73689
2020-06-09,11.82577
2020-06-10,13.14256
2020-06-11,11.62319
2020-06-12,11.11673
2020-06-13,7.85008
2020-06-14,9.79994
2020-06-15,10.6356
2020-06-16,11.59787
2020-06-17,23.65155
2020-06-18,19.80248
2020-06-19,15.67485
2020-06-20,9.69865
2020-06-21,10.71157
2020-06-22,13.8516
2020-06-23,14.1808
2020-06-24,12.78804
2020-06-25,10.48366
2020-06-26,11.14206
2020-06-27,8.93897
2020-06-28,9.7493
2020-06-29,11.49658
2020-06-30,11.92707
2020-07-01,9.85059
2020-07-02,10.78754
2020-07-03,9.52139
2020-07-04,7.90073
2020-07-05,8.28057
2020-07-06,11.31932
2020-07-07,12.43352
2020-07-08,15.80146
2020-07-09,14.15548
2020-07-10,27.44998
2020-07-11,15.42162
2020-07-12,13.90225
2020-07-13,17.24487
2020-07-14,29.29855
2020-07-15,22.05621
2020-07-16,16.48518
