date,데이터라벨링
2020-03-24,0.06153
2020-03-31,0.04475
2020-04-02,0.02797
2020-04-03,0.03356
2020-04-09,0.04475
2020-04-13,0.02797
2020-04-16,0.03356
2020-04-21,0.12307
2020-04-23,0.0895
2020-04-24,0.10069
2020-04-27,0.03915
2020-05-06,0.03356
2020-05-07,0.02797
2020-05-11,0.02797
2020-05-13,0.78317
2020-05-14,0.13985
2020-05-15,0.12307
2020-05-18,0.19019
2020-05-19,0.06153
2020-05-20,0.0895
2020-05-21,0.03915
2020-05-22,0.02797
2020-05-23,0.02797
2020-05-25,0.03356
2020-06-01,0.05594
2020-06-03,0.10069
2020-06-04,0.08391
2020-06-05,0.13425
2020-06-06,0.03356
2020-06-08,0.03915
2020-06-09,0.07272
2020-06-10,0.1846
2020-06-11,0.11747
2020-06-12,0.10628
2020-06-13,0.07272
2020-06-14,0.07831
2020-06-15,0.22935
2020-06-16,0.14544
2020-06-17,0.13425
2020-06-18,2.57887
2020-06-19,1.75095
2020-06-20,0.51465
2020-06-21,1.76213
2020-06-22,4.9228
2020-06-23,2.15931
2020-06-24,1.05168
2020-06-25,0.90624
2020-06-26,1.49362
2020-06-27,0.68247
2020-06-28,0.62094
2020-06-29,0.67129
2020-06-30,0.74401
2020-07-01,0.91743
2020-07-02,2.27679
2020-07-03,1.39852
2020-07-04,0.45871
2020-07-05,0.41396
2020-07-06,0.59297
2020-07-07,0.62653
2020-07-08,0.565
2020-07-09,0.54822
2020-07-10,0.39718
2020-07-11,0.28529
2020-07-12,0.29648
2020-07-13,0.49228
2020-07-14,0.61535
2020-07-15,100.0
2020-07-16,84.47639
2020-07-17,5.42626
2020-07-18,3.48511
2020-07-19,3.15506
2020-07-20,2.09219
2020-07-21,1.75095
2020-07-22,1.7006
2020-07-23,1.34258
2020-07-24,1.00134
2020-07-25,3.41239
2020-07-26,1.24748
2020-07-27,1.3202
2020-07-28,1.12441
2020-07-29,1.05168
2020-07-30,0.95658
2020-07-31,0.69926
2020-08-01,0.38039
2020-08-02,0.40836
2020-08-03,0.5594
2020-08-04,0.70485
2020-08-05,0.54262
2020-08-06,0.57619
2020-08-07,0.36921
2020-08-08,0.24614
2020-08-09,0.26292
2020-08-10,0.59856
2020-08-11,0.54822
2020-08-12,0.43633
2020-08-13,0.40277
2020-08-14,0.31326
2020-08-15,0.29089
2020-08-16,0.25173
2020-08-17,0.25173
2020-08-18,0.43074
2020-08-19,0.31886
2020-08-20,0.4699
2020-08-21,0.40836
2020-08-22,0.29089
2020-08-23,0.25173
2020-08-24,1.53278
2020-08-25,0.57059
2020-08-26,0.39158
2020-08-27,0.63213
2020-08-28,0.4643
2020-08-29,0.33564
2020-08-30,0.25173
2020-08-31,0.38039
2020-09-01,0.44193
2020-09-02,0.52584
2020-09-03,0.48668
2020-09-04,3.2166
2020-09-05,1.7901
2020-09-06,2.22644
2020-09-07,1.28104
2020-09-08,0.8503
2020-09-09,0.76079
2020-09-10,0.6601
2020-09-11,0.41955
2020-09-12,0.40277
2020-09-13,0.33564
2020-09-14,0.68247
2020-09-15,0.5594
2020-09-16,0.4699
2020-09-17,0.6545
2020-09-18,0.64332
2020-09-19,0.40277
2020-09-20,0.4699
2020-09-21,0.76639
2020-09-22,0.87827
2020-09-23,0.97337
2020-09-24,0.81114
2020-09-25,0.66569
2020-09-26,0.44752
2020-09-27,0.33005
2020-09-28,0.82233
2020-09-29,0.67129
2020-09-30,0.29089
2020-10-01,0.20698
2020-10-02,0.26851
2020-10-03,0.21257
