date,생명
2020-03-20,11.99306
2020-03-21,11.6811
2020-03-22,10.57192
2020-03-23,13.55285
2020-03-24,13.06759
2020-03-25,11.85441
2020-03-26,12.09705
2020-03-27,12.58232
2020-03-28,9.63604
2020-03-29,7.41767
2020-03-30,10.60658
2020-03-31,10.32928
2020-04-01,10.46793
2020-04-02,10.36395
2020-04-03,10.88388
2020-04-04,9.18544
2020-04-05,9.56672
2020-04-06,11.40381
2020-04-07,11.2305
2020-04-08,10.50259
2020-04-09,11.9584
2020-04-10,13.37954
2020-04-11,7.45233
2020-04-12,9.60138
2020-04-13,11.64644
2020-04-14,10.50259
2020-04-15,8.14558
2020-04-16,17.46967
2020-04-17,16.04852
2020-04-18,7.27902
2020-04-19,9.28942
2020-04-20,13.27556
2020-04-21,11.57712
2020-04-22,12.13171
2020-04-23,13.06759
2020-04-24,12.9636
2020-04-25,6.65511
2020-04-26,8.83882
2020-04-27,12.40901
2020-04-28,12.16637
2020-04-29,13.76083
2020-04-30,9.67071
2020-05-01,8.45753
2020-05-02,6.34315
2020-05-03,6.68977
2020-05-04,10.39861
2020-05-05,8.04159
2020-05-06,12.58232
2020-05-07,10.77989
2020-05-08,10.60658
2020-05-09,6.9324
2020-05-10,7.14038
2020-05-11,11.47313
2020-05-12,11.05719
2020-05-13,11.57712
2020-05-14,10.57192
2020-05-15,12.33968
2020-05-16,6.75909
2020-05-17,8.76949
2020-05-18,10.6759
2020-05-19,10.25996
2020-05-20,10.6759
2020-05-21,8.97746
2020-05-22,10.12131
2020-05-23,7.07105
2020-05-24,9.56672
2020-05-25,10.50259
2020-05-26,12.44367
2020-05-27,11.57712
2020-05-28,11.81975
2020-05-29,14.03812
2020-05-30,7.9376
2020-05-31,10.46793
2020-06-01,15.28596
2020-06-02,11.47313
2020-06-03,11.16117
2020-06-04,10.39861
2020-06-05,10.25996
2020-06-06,9.11611
2020-06-07,10.43327
2020-06-08,10.53726
2020-06-09,9.46273
2020-06-10,10.32928
2020-06-11,9.948
2020-06-12,9.67071
2020-06-13,6.03119
2020-06-14,9.08145
2020-06-15,10.19064
2020-06-16,9.77469
2020-06-17,11.92374
2020-06-18,13.93414
2020-06-19,11.36915
2020-06-20,8.00693
2020-06-21,8.80415
2020-06-22,12.02772
2020-06-23,12.75563
2020-06-24,12.33968
2020-06-25,14.10745
2020-06-26,13.37954
2020-06-27,7.69497
2020-06-28,10.12131
2020-06-29,12.30502
2020-06-30,11.12651
2020-07-01,12.6863
2020-07-02,11.05719
2020-07-03,12.02772
2020-07-04,7.31369
2020-07-05,9.98266
2020-07-06,12.44367
2020-07-07,10.81455
2020-07-08,12.33968
2020-07-09,11.78509
2020-07-10,10.98786
2020-07-11,5.30329
2020-07-12,9.70537
2020-07-13,10.77989
2020-07-14,10.57192
2020-07-15,11.29982
2020-07-16,8.63084
2020-07-17,8.24956
2020-07-18,6.51646
2020-07-19,7.2097
2020-07-20,12.06239
2020-07-21,9.46273
2020-07-22,9.948
