date,태국환율
2020-03-20,32.51873
2020-03-21,16.82542
2020-03-22,14.52217
2020-03-23,27.74047
2020-03-24,26.61617
2020-03-25,31.23828
2020-03-26,28.34946
2020-03-27,26.25702
2020-03-28,15.59962
2020-03-29,14.73297
2020-03-30,25.32792
2020-03-31,24.2895
2020-04-01,26.47564
2020-04-02,22.97001
2020-04-03,22.00968
2020-04-04,13.00749
2020-04-05,11.53966
2020-04-06,21.57245
2020-04-07,21.82229
2020-04-08,21.34603
2020-04-09,20.94003
2020-04-10,21.86914
2020-04-11,13.4291
2020-04-12,12.27357
2020-04-13,22.75921
2020-04-14,19.97189
2020-04-15,15.10774
2020-04-16,19.97189
2020-04-17,20.54184
2020-04-18,12.16427
2020-04-19,12.20331
2020-04-20,20.26858
2020-04-21,21.4241
2020-04-22,19.38632
2020-04-23,18.58213
2020-04-24,17.98094
2020-04-25,12.1955
2020-04-26,10.48563
2020-04-27,20.28419
2020-04-28,18.87101
2020-04-29,17.85602
2020-04-30,13.88975
2020-05-01,13.56183
2020-05-02,10.8682
2020-05-03,10.75109
2020-05-04,18.27763
2020-05-05,13.90537
2020-05-06,19.10524
2020-05-07,17.48126
2020-05-08,15.26389
2020-05-09,10.36851
2020-05-10,10.52467
2020-05-11,16.21642
2020-05-12,14.93597
2020-05-13,14.6549
2020-05-14,15.14678
2020-05-15,14.85009
2020-05-16,10.22798
2020-05-17,10.27482
2020-05-18,16.43504
2020-05-19,17.77014
2020-05-20,17.05965
2020-05-21,15.53716
2020-05-22,15.35758
2020-05-23,10.03279
2020-05-24,9.87663
2020-05-25,16.55215
2020-05-26,16.51311
2020-05-27,16.30231
2020-05-28,15.584
2020-05-29,14.71736
2020-05-30,10.62617
2020-05-31,10.46221
2020-06-01,16.44284
2020-06-02,16.87226
2020-06-03,16.38038
2020-06-04,15.18582
2020-06-05,16.27888
2020-06-06,9.8376
2020-06-07,9.27545
2020-06-08,16.62242
2020-06-09,17.00499
2020-06-10,16.11492
2020-06-11,15.05309
2020-06-12,15.45128
2020-06-13,9.30668
2020-06-14,9.29887
2020-06-15,16.59119
2020-06-16,16.41942
2020-06-17,15.30293
2020-06-18,14.28013
2020-06-19,14.28794
2020-06-20,9.38475
