date,상장
2020-03-20,29.13057
2020-03-21,20.2759
2020-03-22,20.30798
2020-03-23,30.09303
2020-03-24,25.60153
2020-03-25,28.13602
2020-03-26,28.7135
2020-03-27,24.99197
2020-03-28,20.14757
2020-03-29,17.19602
2020-03-30,25.95444
2020-03-31,24.70324
2020-04-01,27.87937
2020-04-02,24.06159
2020-04-03,21.20628
2020-04-04,14.82194
2020-04-05,15.11068
2020-04-06,21.75168
2020-04-07,24.99197
2020-04-08,24.67115
2020-04-09,23.22746
2020-04-10,21.78376
2020-04-11,14.08405
2020-04-12,15.17484
2020-04-13,21.91209
2020-04-14,20.8213
2020-04-15,15.7844
2020-04-16,22.04042
2020-04-17,22.9708
2020-04-18,14.30863
2020-04-19,14.72569
2020-04-20,21.81584
2020-04-21,22.87455
2020-04-22,31.37632
2020-04-23,26.14693
2020-04-24,23.77285
2020-04-25,15.4315
2020-04-26,14.34071
2020-04-27,24.4145
2020-04-28,29.70805
2020-04-29,25.34488
2020-04-30,14.59736
2020-05-01,16.65062
2020-05-02,14.08405
2020-05-03,16.10522
2020-05-04,22.26499
2020-05-05,16.65062
2020-05-06,26.98107
2020-05-07,30.60635
2020-05-08,33.71831
2020-05-09,14.85402
2020-05-10,14.24446
2020-05-11,21.91209
2020-05-12,19.12094
2020-05-13,23.06705
2020-05-14,22.90664
2020-05-15,22.10458
2020-05-16,10.55502
2020-05-17,12.22329
2020-05-18,23.61244
2020-05-19,21.49502
2020-05-20,23.00288
2020-05-21,24.222
2020-05-22,28.10394
2020-05-23,11.99871
2020-05-24,13.92364
2020-05-25,24.79948
2020-05-26,24.63907
2020-05-27,23.48411
2020-05-28,30.47802
2020-05-29,25.02406
2020-05-30,21.07795
2020-05-31,18.09432
2020-06-01,24.15784
2020-06-02,22.71414
2020-06-03,22.32916
2020-06-04,21.7196
2020-06-05,20.6288
2020-06-06,12.12704
2020-06-07,15.01443
2020-06-08,21.94417
2020-06-09,21.94417
2020-06-10,20.94963
2020-06-11,20.88546
2020-06-12,19.89092
2020-06-13,13.73115
2020-06-14,16.3298
2020-06-15,22.55373
2020-06-16,23.96535
2020-06-17,27.20564
2020-06-18,24.15784
2020-06-19,24.99197
2020-06-20,15.75232
2020-06-21,13.47449
2020-06-22,24.89573
2020-06-23,22.52165
2020-06-24,28.80975
2020-06-25,25.89027
2020-06-26,23.13121
2020-06-27,12.80076
2020-06-28,14.95027
2020-06-29,23.35579
2020-06-30,25.40904
2020-07-01,25.92236
2020-07-02,48.98941
2020-07-03,36.95861
2020-07-04,13.69906
2020-07-05,14.66153
2020-07-06,32.40295
2020-07-07,28.87391
2020-07-08,26.49983
2020-07-09,25.72986
2020-07-10,23.3237
2020-07-11,12.70452
2020-07-12,14.75777
2020-07-13,28.55309
2020-07-14,26.30734
2020-07-15,26.66025
2020-07-16,33.205
2020-07-17,22.81039
2020-07-18,12.70452
2020-07-19,13.282
2020-07-20,22.45749
2020-07-21,25.40904
2020-07-22,33.30125
2020-07-23,33.58999
2020-07-24,24.38241
2020-07-25,12.03079
2020-07-26,16.49021
2020-07-27,25.1203
2020-07-28,24.99197
2020-07-29,27.07731
2020-07-30,34.48829
2020-07-31,24.67115
2020-08-01,12.28745
2020-08-02,12.96118
2020-08-03,25.63362
2020-08-04,36.09239
2020-08-05,30.99133
2020-08-06,32.8521
2020-08-07,67.56496
2020-08-08,25.72986
2020-08-09,17.70933
2020-08-10,32.21045
2020-08-11,28.42476
2020-08-12,29.00224
2020-08-13,29.74013
2020-08-14,27.20564
2020-08-15,15.33525
2020-08-16,13.79531
2020-08-17,17.86974
2020-08-18,24.4145
2020-08-19,24.99197
2020-08-20,28.68142
2020-08-21,28.3606
2020-08-22,19.53801
2020-08-23,20.08341
2020-08-24,28.10394
2020-08-25,27.59063
2020-08-26,32.01796
2020-08-27,29.29098
2020-08-28,26.94898
2020-08-29,17.64517
2020-08-30,16.77895
2020-08-31,29.06641
2020-09-01,44.08084
2020-09-02,76.74045
2020-09-03,59.0632
2020-09-04,40.16682
2020-09-05,24.31825
2020-09-06,28.87391
2020-09-07,47.06448
2020-09-08,37.34359
2020-09-09,46.16618
2020-09-10,77.06127
2020-09-11,41.12929
2020-09-12,19.21719
2020-09-13,18.44722
2020-09-14,32.46711
2020-09-15,33.01251
2020-09-16,38.24189
2020-09-17,34.16746
2020-09-18,28.74558
2020-09-19,17.32435
2020-09-20,17.38851
2020-09-21,24.83156
2020-09-22,28.77767
2020-09-23,58.06865
2020-09-24,31.4084
2020-09-25,24.99197
2020-09-26,14.75777
2020-09-27,15.9769
2020-09-28,31.15174
2020-09-29,27.07731
2020-09-30,15.46358
2020-10-01,11.77414
2020-10-02,13.15367
2020-10-03,46.06993
2020-10-04,51.20307
2020-10-05,50.04812
2020-10-06,44.85081
2020-10-07,34.71286
2020-10-08,28.03978
2020-10-09,18.41514
2020-10-10,19.12094
2020-10-11,18.51138
2020-10-12,29.19473
2020-10-13,30.41385
2020-10-14,29.00224
2020-10-15,100.0
2020-10-16,67.75745
2020-10-17,26.564
2020-10-18,24.15784
2020-10-19,33.84664
2020-10-20,27.1094
2020-10-21,28.7135
2020-10-22,30.63843
2020-10-23,28.7135
2020-10-24,16.74687
2020-10-25,16.07314
2020-10-26,24.79948
2020-10-27,26.9169
2020-10-28,27.87937
2020-10-29,29.41931
2020-10-30,29.48347
2020-10-31,14.30863
2020-11-01,15.39942
2020-11-02,23.29162
2020-11-03,24.222
2020-11-04,29.80429
2020-11-05,29.09849
2020-11-06,26.69233
2020-11-07,15.84857
2020-11-08,14.46904
2020-11-09,27.97561
2020-11-10,26.40359
2020-11-11,27.07731
2020-11-12,65.99294
2020-11-13,32.14629
2020-11-14,17.26018
2020-11-15,15.33525
2020-11-16,31.0555
2020-11-17,35.32242
2020-11-18,32.91626
2020-11-19,29.64388
2020-11-20,33.17292
2020-11-21,16.10522
