date,고배당ETF
2020-03-20,1.70118
2020-03-21,2.29289
2020-03-22,2.47781
2020-03-23,1.88609
2020-03-24,1.59023
2020-03-25,1.47928
2020-03-26,2.36686
2020-03-27,2.071
2020-03-28,2.14497
2020-03-29,1.59023
2020-03-30,1.99704
2020-03-31,1.88609
2020-04-01,1.59023
2020-04-02,1.47928
2020-04-03,6.10207
2020-04-04,3.06952
2020-04-05,2.03402
2020-04-06,2.03402
2020-04-07,1.88609
2020-04-08,1.88609
2020-04-09,2.25591
2020-04-10,2.62573
2020-04-11,1.84911
2020-04-12,2.10798
2020-04-13,2.62573
2020-04-14,2.66272
2020-04-15,3.29142
2020-04-16,6.95266
2020-04-17,5.25147
2020-04-18,3.58727
2020-04-19,4.47485
2020-04-20,3.21745
2020-04-21,1.99704
2020-04-22,2.29289
2020-04-23,2.99556
2020-04-24,3.03254
2020-04-25,2.18195
2020-04-26,1.92307
2020-04-27,2.88461
2020-04-28,2.44082
2020-04-29,2.21893
2020-04-30,1.77514
2020-05-01,1.81213
2020-05-02,1.22041
2020-05-03,1.62721
2020-05-04,1.40532
2020-05-05,1.84911
2020-05-06,2.21893
2020-05-07,1.88609
2020-05-08,1.59023
2020-05-09,1.70118
2020-05-10,1.96005
2020-05-11,1.33136
2020-05-12,1.51627
2020-05-13,1.22041
2020-05-14,1.0355
2020-05-15,1.29437
2020-05-16,1.07248
2020-05-17,1.88609
2020-05-18,1.22041
2020-05-19,1.4423
2020-05-20,1.22041
2020-05-21,1.47928
2020-05-22,0.85059
2020-05-23,0.8136
2020-05-24,1.51627
2020-05-25,1.18343
2020-05-26,1.36834
2020-05-27,1.4423
2020-05-28,1.18343
2020-05-29,1.29437
2020-05-30,1.25739
2020-05-31,1.25739
2020-06-01,1.4423
2020-06-02,1.47928
2020-06-03,1.62721
2020-06-04,1.22041
2020-06-05,1.70118
2020-06-06,1.84911
2020-06-07,1.14644
2020-06-08,1.40532
2020-06-09,2.03402
2020-06-10,1.36834
2020-06-11,1.6642
2020-06-12,1.29437
2020-06-13,0.73964
2020-06-14,1.59023
2020-06-15,0.96153
2020-06-16,1.25739
2020-06-17,1.18343
2020-06-18,1.4423
2020-06-19,0.66568
2020-06-20,0.29585
2020-06-21,0.8136
2020-06-22,1.40532
2020-06-23,1.33136
2020-06-24,1.18343
2020-06-25,1.51627
2020-06-26,0.96153
2020-06-27,0.55473
2020-06-28,0.88757
2020-06-29,0.59171
2020-06-30,0.73964
2020-07-01,1.33136
2020-07-02,1.07248
2020-07-03,1.14644
2020-07-04,0.85059
2020-07-05,1.07248
2020-07-06,0.73964
2020-07-07,1.70118
2020-07-08,0.73964
2020-07-09,0.92455
2020-07-10,0.99852
2020-07-11,1.29437
2020-07-12,1.10946
2020-07-13,1.0355
2020-07-14,1.0355
2020-07-15,1.47928
2020-07-16,0.73964
2020-07-17,0.77662
2020-07-18,0.85059
2020-07-19,1.36834
2020-07-20,1.18343
2020-07-21,1.36834
2020-07-22,1.6642
2020-07-23,1.70118
2020-07-24,1.14644
2020-07-25,0.4068
2020-07-26,0.92455
2020-07-27,1.0355
2020-07-28,0.62869
2020-07-29,1.18343
2020-07-30,1.25739
2020-07-31,1.40532
2020-08-01,0.73964
