date,증시
2020-03-20,68.00534
2020-03-21,15.96809
2020-03-22,6.94832
2020-03-23,62.50097
2020-03-24,61.94135
2020-03-25,55.32922
2020-03-26,53.8957
2020-03-27,49.41818
2020-03-28,12.94444
2020-03-29,5.89224
2020-03-30,46.28805
2020-03-31,39.8153
2020-04-01,46.17946
2020-04-02,45.90435
2020-04-03,35.11905
2020-04-04,8.8856
2020-04-05,4.3658
2020-04-06,32.48067
2020-04-07,36.92895
2020-04-08,34.09115
2020-04-09,30.62012
2020-04-10,30.96885
2020-04-11,6.70714
2020-04-12,3.88657
2020-04-13,29.01642
2020-04-14,25.56993
2020-04-15,11.37416
2020-04-16,27.26029
2020-04-17,26.53518
2020-04-18,6.2775
2020-04-19,3.45536
2020-04-20,24.25022
2020-04-21,37.34084
2020-04-22,31.97116
2020-04-23,25.1998
2020-04-24,24.91425
2020-04-25,5.66776
2020-04-26,3.13013
2020-04-27,20.22896
2020-04-28,22.99106
2020-04-29,19.73302
2020-04-30,7.70788
2020-05-01,9.10486
2020-05-02,4.76881
2020-05-03,2.87173
2020-05-04,21.63898
2020-05-05,8.08114
2020-05-06,20.01701
2020-05-07,18.93274
2020-05-08,16.45097
2020-05-09,4.24573
2020-05-10,2.41338
2020-05-11,17.4632
2020-05-12,19.54614
2020-05-13,19.14521
2020-05-14,20.61109
2020-05-15,17.92312
2020-05-16,4.03848
2020-05-17,2.24267
2020-05-18,15.66478
2020-05-19,19.90947
2020-05-20,18.47387
2020-05-21,17.76755
2020-05-22,20.10263
2020-05-23,4.26452
2020-05-24,2.37057
2020-05-25,15.89918
2020-05-26,18.91343
2020-05-27,18.40705
2020-05-28,25.95102
2020-05-29,17.72161
2020-05-30,3.93773
2020-05-31,2.10851
2020-06-01,15.62198
2020-06-02,16.20666
2020-06-03,19.47148
2020-06-04,19.52578
2020-06-05,16.95213
2020-06-06,4.10687
2020-06-07,2.30479
2020-06-08,16.84511
2020-06-09,18.75629
2020-06-10,17.3092
2020-06-11,20.30361
2020-06-12,42.47351
2020-06-13,5.71579
2020-06-14,2.66709
2020-06-15,100.0
2020-06-16,35.53407
2020-06-17,27.26238
2020-06-18,21.26155
2020-06-19,18.99173
2020-06-20,4.22171
2020-06-21,2.21396
2020-06-22,16.58409
2020-06-23,18.82781
2020-06-24,16.82684
2020-06-25,23.0156
2020-06-26,17.58484
2020-06-27,5.03505
2020-06-28,2.4969
2020-06-29,20.54949
2020-06-30,18.95519
2020-07-01,18.76464
2020-07-02,16.20614
2020-07-03,15.0989
2020-07-04,3.68976
2020-07-05,1.94876
2020-07-06,15.31815
2020-07-07,18.93692
2020-07-08,17.15938
2020-07-09,15.59588
2020-07-10,16.06414
2020-07-11,3.63703
2020-07-12,1.83496
2020-07-13,13.34172
2020-07-14,17.43084
2020-07-15,16.64256
2020-07-16,18.11471
2020-07-17,14.9214
2020-07-18,3.44597
2020-07-19,1.8052
2020-07-20,14.09658
2020-07-21,14.98613
2020-07-22,15.54889
2020-07-23,15.98323
2020-07-24,16.878
2020-07-25,3.86777
2020-07-26,1.98583
2020-07-27,13.9525
2020-07-28,15.3808
2020-07-29,15.78433
2020-07-30,15.55359
2020-07-31,14.70945
2020-08-01,3.34052
2020-08-02,1.66425
2020-08-03,12.33105
2020-08-04,13.38922
2020-08-05,14.17123
