date,신혼부부특별공급
2020-03-20,6.89364
2020-03-21,4.19245
2020-03-22,4.36128
2020-03-23,8.32864
2020-03-24,6.35903
2020-03-25,5.48677
2020-03-26,4.86775
2020-03-27,4.64265
2020-03-28,4.305
2020-03-29,5.2054
2020-03-30,9.51041
2020-03-31,6.49971
2020-04-01,6.04952
2020-04-02,5.28981
2020-04-03,4.72706
2020-04-04,3.01069
2020-04-05,4.0799
2020-04-06,6.8655
2020-04-07,6.21834
2020-04-08,6.07765
2020-04-09,5.90883
2020-04-10,5.09285
2020-04-11,4.05177
2020-04-12,4.10804
2020-04-13,6.92177
2020-04-14,6.35903
2020-04-15,4.61451
2020-04-16,7.17501
2020-04-17,6.13393
2020-04-18,3.91108
2020-04-19,5.23353
2020-04-20,9.42599
2020-04-21,9.06021
2020-04-22,7.0906
2020-04-23,5.06471
2020-04-24,4.9803
2020-04-25,2.27912
2020-04-26,4.33314
2020-04-27,7.11873
2020-04-28,6.4153
2020-04-29,6.24648
2020-04-30,3.99549
2020-05-01,3.3202
2020-05-02,3.17951
2020-05-03,3.91108
2020-05-04,6.1902
2020-05-05,5.88069
2020-05-06,7.70962
2020-05-07,6.4153
2020-05-08,5.79628
2020-05-09,4.33314
2020-05-10,4.16432
2020-05-11,8.58187
2020-05-12,6.49971
2020-05-13,5.74001
2020-05-14,5.34608
2020-05-15,6.16207
2020-05-16,3.74226
2020-05-17,4.72706
2020-05-18,11.50815
2020-05-19,10.83286
2020-05-20,7.48452
2020-05-21,7.11873
2020-05-22,5.57118
2020-05-23,3.40461
2020-05-24,4.44569
2020-05-25,7.45638
2020-05-26,9.08835
2020-05-27,8.0754
2020-05-28,7.70962
2020-05-29,5.17726
2020-05-30,3.20765
2020-05-31,4.58638
2020-06-01,8.27236
2020-06-02,6.72481
2020-06-03,6.89364
2020-06-04,5.2054
2020-06-05,5.03657
2020-06-06,3.99549
2020-06-07,4.9803
2020-06-08,9.11648
2020-06-09,7.82217
2020-06-10,8.5256
2020-06-11,7.11873
2020-06-12,7.28756
2020-06-13,5.26167
2020-06-14,5.90883
2020-06-15,10.15756
2020-06-16,8.94766
2020-06-17,9.67923
2020-06-18,7.62521
2020-06-19,6.49971
2020-06-20,5.28981
2020-06-21,5.88069
2020-06-22,9.87619
2020-06-23,7.59707
2020-06-24,7.65334
2020-06-25,5.54305
2020-06-26,5.71187
2020-06-27,4.0799
2020-06-28,5.09285
2020-06-29,7.00619
2020-06-30,6.89364
2020-07-01,5.93697
2020-07-02,5.4305
2020-07-03,8.21609
2020-07-04,7.70962
2020-07-05,17.16375
2020-07-06,16.74169
2020-07-07,13.08384
2020-07-08,13.39335
2020-07-09,10.74845
2020-07-10,38.94203
2020-07-11,15.55993
2020-07-12,11.93021
2020-07-13,16.23522
2020-07-14,13.81541
2020-07-15,11.90208
2020-07-16,10.43894
2020-07-17,8.7507
2020-07-18,6.38716
2020-07-19,7.3157
2020-07-20,12.26786
2020-07-21,11.28306
2020-07-22,7.82217
2020-07-23,7.51266
2020-07-24,8.69442
2020-07-25,6.49971
2020-07-26,6.69667
2020-07-27,10.83286
2020-07-28,14.94091
2020-07-29,12.01463
2020-07-30,8.49746
2020-07-31,7.3157
2020-08-01,4.95216
2020-08-02,6.07765
2020-08-03,10.77658
2020-08-04,13.42149
2020-08-05,9.93247
2020-08-06,9.67923
2020-08-07,8.94766
2020-08-08,5.31795
2020-08-09,6.58413
2020-08-10,15.13787
2020-08-11,13.39335
2020-08-12,10.27011
2020-08-13,10.38266
2020-08-14,7.8503
2020-08-15,4.7552
2020-08-16,4.16432
2020-08-17,5.54305
2020-08-18,7.93472
2020-08-19,7.28756
2020-08-20,7.0906
2020-08-21,5.59932
2020-08-22,4.13618
2020-08-23,4.10804
2020-08-24,5.4305
2020-08-25,5.76814
2020-08-26,6.61226
2020-08-27,6.10579
2020-08-28,4.95216
2020-08-29,3.60157
2020-08-30,4.78334
2020-08-31,7.06246
2020-09-01,7.54079
2020-09-02,6.02138
2020-09-03,4.89589
2020-09-04,4.27687
2020-09-05,3.46088
2020-09-06,3.68598
2020-09-07,6.8655
2020-09-08,10.77658
2020-09-09,16.20709
2020-09-10,9.79178
2020-09-11,9.34158
2020-09-12,5.71187
2020-09-13,5.34608
2020-09-14,8.13168
2020-09-15,9.76364
2020-09-16,8.61001
2020-09-17,6.4153
2020-09-18,6.61226
2020-09-19,4.50196
2020-09-20,5.99324
2020-09-21,7.17501
2020-09-22,6.78109
2020-09-23,6.21834
2020-09-24,8.01913
2020-09-25,5.40236
2020-09-26,3.68598
2020-09-27,4.67079
2020-09-28,6.16207
2020-09-29,10.46707
2020-09-30,5.62746
2020-10-01,5.54305
2020-10-02,6.33089
2020-10-03,6.27462
2020-10-04,6.92177
2020-10-05,8.44119
2020-10-06,6.72481
2020-10-07,7.11873
2020-10-08,7.54079
2020-10-09,4.50196
2020-10-10,4.83961
2020-10-11,4.44569
2020-10-12,6.89364
2020-10-13,6.1902
2020-10-14,100.0
2020-10-15,35.79065
2020-10-16,18.37366
2020-10-17,10.80472
2020-10-18,11.39561
2020-10-19,15.98199
2020-10-20,13.87169
2020-10-21,13.08384
2020-10-22,11.59257
2020-10-23,9.67923
2020-10-24,5.34608
2020-10-25,7.40011
2020-10-26,13.19639
2020-10-27,9.9606
2020-10-28,8.86325
2020-10-29,6.27462
2020-10-30,4.78334
2020-10-31,4.41755
2020-11-01,6.02138
2020-11-02,12.09904
2020-11-03,10.04501
2020-11-04,12.0709
2020-11-05,11.17051
2020-11-06,7.20315
2020-11-07,5.28981
2020-11-08,4.41755
2020-11-09,7.48452
2020-11-10,8.32864
2020-11-11,6.69667
2020-11-12,8.01913
2020-11-13,7.11873
2020-11-14,5.90883
2020-11-15,7.00619
2020-11-16,12.57737
2020-11-17,10.32639
2020-11-18,10.1857
2020-11-19,12.60551
2020-11-20,13.59032
2020-11-21,7.62521
2020-11-22,8.5256
2020-11-23,12.23972
2020-11-24,12.94316
2020-11-25,11.81767
2020-11-26,11.76139
2020-11-27,13.30894
2020-11-28,10.91727
2020-11-29,13.47777
2020-11-30,21.63759
2020-12-01,18.09229
2020-12-02,16.88238
2020-12-03,15.22228
2020-12-04,12.57737
2020-12-05,9.87619
2020-12-06,12.60551
2020-12-07,18.28925
2020-12-08,15.08159
2020-12-09,13.75914
