date,다이어트어플
2020-03-20,41.88311
2020-03-21,37.33766
2020-03-22,61.68831
2020-03-23,75.64935
2020-03-24,61.03896
2020-03-25,58.44155
2020-03-26,57.14285
2020-03-27,51.62337
2020-03-28,37.98701
2020-03-29,62.66233
2020-03-30,74.67532
2020-03-31,58.76623
2020-04-01,62.66233
2020-04-02,46.10389
2020-04-03,45.77922
2020-04-04,34.74025
2020-04-05,62.66233
2020-04-06,91.55844
2020-04-07,72.72727
2020-04-08,66.88311
2020-04-09,49.35064
2020-04-10,40.25974
2020-04-11,39.61038
2020-04-12,63.96103
2020-04-13,78.8961
2020-04-14,60.71428
2020-04-15,58.11688
2020-04-16,67.85714
2020-04-17,52.27272
2020-04-18,52.27272
2020-04-19,78.57142
2020-04-20,95.12987
2020-04-21,81.16883
2020-04-22,65.90909
2020-04-23,51.62337
2020-04-24,44.15584
2020-04-25,41.55844
2020-04-26,62.66233
2020-04-27,74.35064
2020-04-28,47.07792
2020-04-29,51.2987
2020-04-30,32.7922
2020-05-01,45.12987
2020-05-02,36.68831
2020-05-03,58.76623
2020-05-04,62.66233
2020-05-05,65.90909
2020-05-06,87.98701
2020-05-07,50.32467
2020-05-08,41.55844
2020-05-09,41.88311
2020-05-10,61.36363
2020-05-11,84.0909
2020-05-12,72.07792
2020-05-13,66.23376
2020-05-14,47.07792
2020-05-15,53.24675
2020-05-16,42.85714
2020-05-17,61.36363
2020-05-18,78.57142
2020-05-19,62.33766
2020-05-20,56.81818
2020-05-21,53.57142
2020-05-22,45.12987
2020-05-23,44.48051
2020-05-24,62.98701
2020-05-25,72.72727
2020-05-26,61.03896
2020-05-27,56.16883
2020-05-28,50.32467
2020-05-29,37.01298
2020-05-30,39.61038
2020-05-31,56.16883
2020-06-01,91.88311
2020-06-02,60.71428
2020-06-03,59.74025
2020-06-04,52.27272
2020-06-05,44.80519
2020-06-06,36.03896
2020-06-07,54.87012
2020-06-08,80.51948
2020-06-09,66.88311
2020-06-10,51.2987
2020-06-11,41.88311
2020-06-12,33.44155
2020-06-13,37.66233
2020-06-14,54.54545
2020-06-15,83.76623
2020-06-16,68.18181
2020-06-17,51.2987
2020-06-18,41.23376
2020-06-19,43.18181
2020-06-20,31.16883
2020-06-21,51.2987
2020-06-22,67.53246
2020-06-23,46.75324
2020-06-24,47.40259
2020-06-25,47.40259
2020-06-26,35.38961
2020-06-27,30.51948
2020-06-28,46.10389
2020-06-29,62.01298
2020-06-30,52.27272
2020-07-01,56.16883
2020-07-02,44.15584
2020-07-03,31.81818
2020-07-04,25.0
2020-07-05,35.38961
2020-07-06,58.11688
2020-07-07,46.75324
2020-07-08,39.28571
2020-07-09,42.20779
2020-07-10,29.22077
2020-07-11,22.72727
2020-07-12,46.10389
2020-07-13,60.71428
2020-07-14,46.10389
2020-07-15,100.0
2020-07-16,43.18181
2020-07-17,54.22077
2020-07-18,35.71428
2020-07-19,57.14285
2020-07-20,62.33766
2020-07-21,56.16883
2020-07-22,38.63636
2020-07-23,46.75324
2020-07-24,27.5974
2020-07-25,31.16883
2020-07-26,41.23376
2020-07-27,45.12987
2020-07-28,45.12987
2020-07-29,44.80519
2020-07-30,34.41558
2020-07-31,27.27272
2020-08-01,29.22077
2020-08-02,41.55844
2020-08-03,56.81818
2020-08-04,41.88311
2020-08-05,47.72727
2020-08-06,48.70129
2020-08-07,37.01298
2020-08-08,33.76623
2020-08-09,49.35064
2020-08-10,69.80519
2020-08-11,47.40259
2020-08-12,49.35064
2020-08-13,42.85714
2020-08-14,40.25974
2020-08-15,24.02597
2020-08-16,43.50649
2020-08-17,50.32467
2020-08-18,64.93506
2020-08-19,54.54545
2020-08-20,48.70129
2020-08-21,36.36363
2020-08-22,31.81818
2020-08-23,48.70129
2020-08-24,63.63636
2020-08-25,52.92207
2020-08-26,59.0909
2020-08-27,49.02597
2020-08-28,31.4935
2020-08-29,33.44155
2020-08-30,64.61038
2020-08-31,69.15584
2020-09-01,63.63636
2020-09-02,57.14285
2020-09-03,51.94805
2020-09-04,33.11688
2020-09-05,32.46753
2020-09-06,53.24675
2020-09-07,69.80519
2020-09-08,63.96103
