date,대부업체조회
2020-03-20,60.85409
2020-03-21,12.45551
2020-03-22,9.96441
2020-03-23,73.3096
2020-03-24,55.51601
2020-03-25,70.10676
2020-03-26,52.66903
2020-03-27,49.11032
2020-03-28,18.8612
2020-03-29,12.09964
2020-03-30,52.66903
2020-03-31,59.78647
2020-04-01,49.82206
2020-04-02,45.19572
2020-04-03,41.99288
2020-04-04,13.16725
2020-04-05,11.03202
2020-04-06,54.44839
2020-04-07,47.68683
2020-04-08,44.83985
2020-04-09,46.61921
2020-04-10,40.92526
2020-04-11,10.67615
2020-04-12,8.54092
2020-04-13,50.17793
2020-04-14,54.80427
2020-04-15,23.13167
2020-04-16,60.49822
2020-04-17,54.80427
2020-04-18,11.74377
2020-04-19,14.59074
2020-04-20,50.17793
2020-04-21,50.17793
2020-04-22,56.22775
2020-04-23,54.44839
2020-04-24,54.09252
2020-04-25,19.21708
2020-04-26,17.79359
2020-04-27,63.70106
2020-04-28,54.80427
2020-04-29,48.75444
2020-04-30,14.59074
2020-05-01,13.52313
2020-05-02,11.74377
2020-05-03,11.03202
2020-05-04,52.31316
2020-05-05,14.94661
2020-05-06,60.14234
2020-05-07,53.02491
2020-05-08,56.9395
2020-05-09,19.92882
2020-05-10,16.01423
2020-05-11,48.39857
2020-05-12,40.21352
2020-05-13,47.33096
2020-05-14,45.90747
2020-05-15,41.63701
2020-05-16,14.23487
2020-05-17,7.4733
2020-05-18,44.12811
2020-05-19,45.5516
2020-05-20,58.00711
2020-05-21,52.66903
2020-05-22,36.6548
2020-05-23,9.96441
2020-05-24,9.96441
2020-05-25,54.09252
2020-05-26,46.61921
2020-05-27,51.95729
2020-05-28,38.79003
2020-05-29,41.28113
2020-05-30,14.59074
2020-05-31,10.32028
2020-06-01,47.68683
2020-06-02,45.19572
2020-06-03,40.56939
2020-06-04,39.50177
2020-06-05,30.96085
2020-06-06,13.16725
2020-06-07,10.67615
2020-06-08,34.51957
2020-06-09,39.50177
2020-06-10,43.06049
2020-06-11,43.41637
2020-06-12,37.72241
2020-06-13,13.52313
2020-06-14,12.45551
2020-06-15,56.58362
2020-06-16,51.95729
2020-06-17,37.01067
2020-06-18,36.6548
2020-06-19,30.24911
2020-06-20,10.67615
2020-06-21,10.32028
2020-06-22,58.00711
2020-06-23,41.63701
2020-06-24,50.5338
2020-06-25,37.72241
2020-06-26,28.11387
2020-06-27,11.74377
2020-06-28,8.18505
2020-06-29,49.11032
2020-06-30,33.45195
2020-07-01,35.58718
2020-07-02,35.58718
2020-07-03,33.45195
2020-07-04,7.11743
2020-07-05,11.03202
2020-07-06,43.06049
2020-07-07,41.99288
2020-07-08,46.61921
2020-07-09,39.50177
2020-07-10,38.43416
2020-07-11,14.59074
2020-07-12,10.67615
2020-07-13,50.5338
2020-07-14,57.65124
2020-07-15,49.46619
2020-07-16,42.34875
2020-07-17,38.43416
2020-07-18,12.45551
2020-07-19,16.3701
2020-07-20,50.17793
2020-07-21,42.34875
2020-07-22,41.28113
2020-07-23,37.01067
2020-07-24,41.28113
2020-07-25,16.3701
2020-07-26,8.54092
2020-07-27,58.71886
2020-07-28,56.9395
2020-07-29,39.50177
2020-07-30,40.56939
2020-07-31,36.6548
2020-08-01,11.03202
2020-08-02,7.11743
2020-08-03,41.99288
2020-08-04,48.39857
2020-08-05,42.70462
2020-08-06,34.1637
2020-08-07,41.63701
2020-08-08,14.23487
2020-08-09,11.03202
2020-08-10,45.19572
2020-08-11,45.90747
2020-08-12,46.97508
2020-08-13,46.97508
2020-08-14,46.26334
2020-08-15,16.01423
2020-08-16,6.40569
2020-08-17,21.70818
