date,비트버니
2021-06-22,0.58823
2023-09-23,0.42016
2023-09-29,0.5042
2023-10-02,0.42016
2023-10-05,1.68067
2023-10-06,0.58823
2023-10-09,0.5042
2023-10-10,0.58823
2023-10-11,0.42016
2023-10-12,0.42016
2023-10-14,0.5042
2023-10-16,1.34453
2023-10-19,1.2605
2023-10-20,0.67226
2023-10-21,0.42016
2023-10-23,0.5042
2023-10-26,2.43697
2023-10-27,2.68907
2023-10-28,0.58823
2023-10-30,0.84033
2023-10-31,1.2605
2023-11-01,2.60504
2023-11-02,0.7563
2023-11-03,1.17647
2023-11-04,0.67226
2023-11-05,1.34453
2023-11-06,1.09243
2023-11-07,1.59663
2023-11-08,2.7731
2023-11-09,1.59663
2023-11-10,2.94117
2023-11-11,1.0084
2023-11-12,1.7647
2023-11-13,2.521
2023-11-14,2.521
2023-11-15,3.52941
2023-11-16,7.31092
2023-11-17,6.63865
2023-11-18,3.94957
2023-11-19,4.36974
2023-11-20,3.78151
2023-11-21,11.17647
2023-11-22,7.47899
2023-11-23,6.55462
2023-11-24,14.53781
2023-11-25,11.2605
2023-11-26,11.2605
2023-11-27,11.7647
2023-11-28,14.20168
2023-11-29,13.94957
2023-11-30,19.91596
2023-12-01,30.58823
2023-12-02,19.49579
2023-12-03,19.41176
2023-12-04,27.05882
2023-12-05,24.87394
2023-12-06,24.45378
2023-12-07,24.87394
2023-12-08,16.72268
2023-12-09,18.31932
2023-12-10,26.80672
2023-12-11,27.39495
2023-12-12,23.86554
2023-12-13,16.30252
2023-12-14,23.27731
2023-12-15,26.47058
2023-12-16,25.21008
2023-12-17,19.07563
2023-12-18,17.31092
2023-12-19,22.68907
2023-12-20,26.97478
2023-12-21,47.89915
2023-12-22,39.49579
2023-12-23,34.20168
2023-12-24,27.39495
2023-12-25,23.02521
2023-12-26,23.36134
2023-12-27,23.61344
2023-12-28,28.23529
2023-12-29,26.55462
2023-12-30,39.57983
2023-12-31,29.24369
2024-01-01,21.17647
2024-01-02,28.57142
2024-01-03,25.46218
2024-01-04,25.79831
2024-01-05,22.68907
2024-01-06,24.95798
2024-01-07,24.78991
2024-01-08,21.09243
2024-01-09,28.15126
2024-01-10,35.37815
2024-01-11,37.31092
2024-01-12,36.63865
2024-01-13,38.06722
2024-01-14,44.78991
2024-01-15,37.81512
2024-01-16,38.40336
2024-01-17,38.31932
2024-01-18,43.61344
2024-01-19,29.07563
2024-01-20,50.67226
2024-01-21,65.21008
2024-01-22,48.31932
2024-01-23,36.63865
2024-01-24,26.80672
2024-01-25,25.71428
2024-01-26,33.10924
2024-01-27,27.14285
2024-01-28,48.40336
2024-01-29,25.71428
2024-01-30,43.86554
2024-01-31,30.7563
2024-02-01,29.74789
2024-02-02,41.93277
2024-02-03,28.73949
2024-02-04,39.57983
2024-02-05,29.24369
2024-02-06,32.85714
2024-02-07,36.72268
2024-02-08,100.0
2024-02-09,78.82352
2024-02-10,32.2689
2024-02-11,30.58823
2024-02-12,26.63865
2024-02-13,41.34453
2024-02-14,56.47058
2024-02-15,33.52941
2024-02-16,33.02521
2024-02-17,35.12605
2024-02-18,38.73949
2024-02-19,36.72268
2024-02-20,34.78991
2024-02-21,35.96638
2024-02-22,31.93277
2024-02-23,48.65546
2024-02-24,30.33613
2024-02-25,28.31932
2024-02-26,35.46218
2024-02-27,34.45378
2024-02-28,34.70588
2024-02-29,37.56302
2024-03-01,32.35294
2024-03-02,46.89075
2024-03-03,47.81512
2024-03-04,42.0168
2024-03-05,35.96638
2024-03-06,44.87394
2024-03-07,40.58823
2024-03-08,40.58823
2024-03-09,57.31092
2024-03-10,45.37815
2024-03-11,43.78151
2024-03-12,46.72268
2024-03-13,54.78991
2024-03-14,46.55462
2024-03-15,45.79831
2024-03-16,51.68067
2024-03-17,58.48739
2024-03-18,53.44537
2024-03-19,59.32773
2024-03-20,71.84873
