date,대출금리비교
2020-03-20,9.17874
2020-03-21,6.18357
2020-03-22,4.34782
2020-03-23,11.88405
2020-03-24,10.0483
2020-03-25,8.11594
2020-03-26,9.56521
2020-03-27,8.9855
2020-03-28,3.38164
2020-03-29,3.67149
2020-03-30,7.82608
2020-03-31,7.43961
2020-04-01,8.21256
2020-04-02,6.66666
2020-04-03,5.89371
2020-04-04,3.1884
2020-04-05,2.80193
2020-04-06,7.53623
2020-04-07,8.11594
2020-04-08,5.21739
2020-04-09,4.73429
2020-04-10,5.60386
2020-04-11,0.96618
2020-04-12,3.38164
2020-04-13,7.24637
2020-04-14,5.02415
2020-04-15,2.02898
2020-04-16,5.7971
2020-04-17,5.7971
2020-04-18,1.64251
2020-04-19,2.80193
2020-04-20,7.9227
2020-04-21,6.47342
2020-04-22,4.92753
2020-04-23,6.95652
2020-04-24,4.15458
2020-04-25,2.22222
2020-04-26,2.41545
2020-04-27,7.24637
2020-04-28,6.8599
2020-04-29,6.28019
2020-04-30,3.28502
2020-05-01,1.93236
2020-05-02,1.83574
2020-05-03,2.41545
2020-05-04,7.72946
2020-05-05,2.89855
2020-05-06,6.95652
2020-05-07,6.37681
2020-05-08,6.47342
2020-05-09,2.51207
2020-05-10,2.80193
2020-05-11,6.28019
2020-05-12,5.12077
2020-05-13,6.8599
2020-05-14,7.34299
2020-05-15,4.54106
2020-05-16,2.89855
2020-05-17,2.70531
2020-05-18,8.11594
2020-05-19,7.9227
2020-05-20,5.7971
2020-05-21,3.67149
2020-05-22,3.96135
2020-05-23,1.64251
2020-05-24,3.1884
2020-05-25,6.47342
2020-05-26,6.18357
2020-05-27,6.08695
2020-05-28,8.50241
2020-05-29,5.60386
2020-05-30,3.09178
2020-05-31,3.09178
2020-06-01,7.05314
2020-06-02,7.9227
2020-06-03,5.41062
2020-06-04,6.57004
2020-06-05,6.8599
2020-06-06,2.70531
2020-06-07,2.31884
2020-06-08,6.95652
2020-06-09,5.89371
2020-06-10,6.28019
2020-06-11,8.69565
2020-06-12,6.95652
2020-06-13,3.76811
2020-06-14,2.41545
2020-06-15,8.59903
2020-06-16,7.9227
2020-06-17,8.11594
2020-06-18,5.99033
2020-06-19,4.54106
2020-06-20,2.80193
2020-06-21,2.89855
2020-06-22,7.63285
2020-06-23,6.37681
2020-06-24,5.60386
2020-06-25,8.01932
2020-06-26,6.37681
2020-06-27,1.54589
2020-06-28,3.38164
2020-06-29,5.99033
2020-06-30,6.66666
2020-07-01,8.30917
2020-07-02,5.60386
2020-07-03,4.2512
2020-07-04,1.73913
2020-07-05,2.22222
2020-07-06,7.43961
2020-07-07,6.08695
2020-07-08,6.76328
2020-07-09,5.41062
2020-07-10,4.44444
2020-07-11,2.02898
2020-07-12,2.80193
2020-07-13,7.82608
2020-07-14,7.24637
2020-07-15,5.7971
2020-07-16,9.46859
2020-07-17,5.70048
2020-07-18,1.73913
2020-07-19,2.31884
2020-07-20,5.89371
2020-07-21,6.18357
2020-07-22,6.47342
2020-07-23,7.43961
2020-07-24,5.60386
2020-07-25,2.1256
2020-07-26,2.60869
2020-07-27,6.47342
2020-07-28,5.314
2020-07-29,4.44444
2020-07-30,5.60386
2020-07-31,5.89371
2020-08-01,2.41545
2020-08-02,2.51207
2020-08-03,6.47342
2020-08-04,6.47342
2020-08-05,7.53623
2020-08-06,5.60386
2020-08-07,3.96135
2020-08-08,2.89855
2020-08-09,2.60869
2020-08-10,7.14975
2020-08-11,5.70048
2020-08-12,4.83091
2020-08-13,5.60386
2020-08-14,5.314
2020-08-15,2.89855
2020-08-16,0.96618
2020-08-17,5.21739
2020-08-18,12.36714
2020-08-19,7.43961
2020-08-20,6.95652
2020-08-21,6.66666
2020-08-22,2.02898
2020-08-23,2.02898
2020-08-24,7.72946
2020-08-25,8.40579
2020-08-26,7.34299
2020-08-27,8.01932
2020-08-28,6.37681
2020-08-29,2.31884
2020-08-30,1.73913
2020-08-31,6.76328
2020-09-01,6.47342
2020-09-02,6.47342
2020-09-03,7.82608
2020-09-04,5.314
2020-09-05,3.28502
2020-09-06,2.22222
2020-09-07,5.89371
2020-09-08,6.18357
2020-09-09,5.314
2020-09-10,5.99033
2020-09-11,7.43961
2020-09-12,2.02898
2020-09-13,2.51207
2020-09-14,7.9227
2020-09-15,7.14975
2020-09-16,8.79227
2020-09-17,9.27536
2020-09-18,4.44444
2020-09-19,2.99516
2020-09-20,3.28502
2020-09-21,8.69565
2020-09-22,4.83091
2020-09-23,4.83091
2020-09-24,3.86473
2020-09-25,3.38164
2020-09-27,2.02898
2020-09-28,4.92753
2020-09-29,4.05797
2020-09-30,0.77294
2020-10-01,1.15942
2020-10-02,1.83574
2020-10-03,1.83574
2020-10-04,3.47826
2020-10-05,7.14975
2020-10-06,7.9227
2020-10-07,5.99033
2020-10-08,4.92753
2020-10-09,2.1256
2020-10-10,2.41545
2020-10-11,2.31884
2020-10-12,7.82608
2020-10-13,5.7971
2020-10-14,5.21739
2020-10-15,7.9227
2020-10-16,6.28019
2020-10-17,1.73913
2020-10-18,2.1256
2020-10-19,5.70048
2020-10-20,5.89371
2020-10-21,5.21739
2020-10-22,5.21739
2020-10-23,5.70048
2020-10-24,1.64251
2020-10-25,3.38164
2020-10-26,6.08695
2020-10-27,4.34782
2020-10-28,5.12077
2020-10-29,6.66666
2020-10-30,4.83091
2020-10-31,2.31884
2020-11-01,2.60869
2020-11-02,6.47342
2020-11-03,5.314
2020-11-04,4.54106
2020-11-05,5.7971
2020-11-06,5.314
2020-11-07,2.22222
2020-11-08,1.35265
2020-11-09,6.08695
2020-11-10,5.21739
2020-11-11,5.50724
2020-11-12,5.7971
2020-11-13,6.18357
2020-11-14,2.89855
2020-11-15,1.25603
2020-11-16,8.50241
2020-11-17,9.66183
2020-11-18,6.37681
2020-11-19,6.47342
2020-11-20,5.21739
2020-11-21,2.31884
2020-11-22,3.76811
2020-11-23,7.43961
2020-11-24,5.70048
2020-11-25,6.37681
2020-11-26,7.53623
2020-11-27,3.96135
2020-11-28,3.28502
2020-11-29,2.22222
2020-11-30,5.7971
2020-12-01,4.92753
2020-12-02,5.21739
2020-12-03,5.02415
2020-12-04,4.83091
2020-12-05,2.70531
2020-12-06,2.1256
2020-12-07,4.83091
2020-12-08,5.60386
2020-12-09,5.89371
2020-12-10,5.21739
2020-12-11,3.28502
2020-12-12,1.64251
2020-12-13,1.44927
2020-12-14,6.66666
2020-12-15,4.73429
2020-12-16,5.41062
2020-12-17,4.2512
2020-12-18,4.34782
2020-12-19,1.83574
2020-12-20,2.41545
2020-12-21,4.15458
2020-12-22,6.37681
2020-12-23,4.63768
2020-12-24,3.1884
2020-12-25,2.80193
2020-12-26,1.73913
2020-12-27,2.41545
2020-12-28,7.43961
2020-12-29,6.57004
2020-12-30,5.70048
2020-12-31,4.44444
2021-01-01,1.54589
2021-01-02,2.99516
2021-01-03,3.86473
2021-01-04,9.37198
2021-01-05,10.24154
2021-01-06,8.79227
2021-01-07,8.69565
2021-01-08,8.21256
2021-01-09,3.67149
2021-01-10,4.2512
2021-01-11,8.88888
2021-01-12,8.9855
2021-01-13,8.59903
2021-01-14,6.37681
2021-01-15,4.44444
2021-01-16,2.60869
2021-01-17,2.89855
2021-01-18,8.21256
2021-01-19,6.57004
2021-01-20,6.66666
2021-01-21,7.24637
2021-01-22,5.50724
2021-01-23,2.60869
2021-01-24,2.41545
2021-01-25,5.99033
2021-01-26,8.01932
2021-01-27,5.21739
2021-01-28,6.47342
2021-01-29,6.18357
2021-01-30,1.54589
2021-01-31,1.93236
2021-02-01,7.53623
2021-02-02,6.76328
2021-02-03,4.63768
2021-02-04,5.99033
2021-02-05,4.54106
2021-02-06,0.67632
2021-02-07,2.89855
2021-02-08,8.01932
2021-02-09,5.50724
2021-02-10,2.89855
2021-02-11,1.0628
2021-02-12,0.48309
2021-02-13,1.15942
2021-02-14,2.70531
2021-02-15,7.34299
2021-02-16,5.70048
2021-02-17,5.21739
2021-02-18,6.95652
2021-02-19,5.89371
2021-02-20,2.60869
2021-02-21,2.70531
2021-02-22,7.82608
2021-02-23,9.08212
2021-02-24,5.99033
2021-02-25,4.83091
2021-02-26,3.96135
2021-02-27,1.54589
2021-02-28,1.93236
2021-03-01,2.41545
2021-03-02,5.99033
2021-03-03,5.21739
2021-03-04,6.57004
2021-03-05,4.92753
2021-03-06,1.64251
2021-03-07,3.1884
2021-03-08,6.76328
2021-03-09,8.88888
2021-03-10,5.99033
2021-03-11,5.89371
2021-03-12,5.89371
2021-03-13,1.0628
2021-03-14,3.47826
2021-03-15,6.95652
2021-03-16,5.50724
2021-03-17,4.92753
2021-03-18,5.89371
2021-03-19,3.28502
2021-03-20,1.83574
2021-03-21,2.22222
2021-03-22,5.50724
2021-03-23,5.7971
2021-03-24,6.47342
2021-03-25,5.60386
2021-03-26,4.83091
2021-03-28,2.80193
2021-03-29,6.28019
2021-03-30,6.95652
2021-03-31,4.44444
2021-04-01,5.99033
2021-04-02,5.41062
2021-04-03,1.73913
2021-04-04,1.64251
2021-04-05,5.99033
2021-04-06,5.41062
2021-04-07,5.99033
2021-04-08,4.63768
2021-04-09,5.02415
2021-04-10,0.67632
2021-04-11,1.93236
2021-04-12,5.70048
2021-04-13,6.08695
2021-04-14,5.21739
2021-04-15,4.92753
2021-04-16,4.15458
2021-04-17,2.60869
2021-04-18,1.64251
2021-04-19,5.41062
2021-04-20,4.73429
2021-04-21,6.18357
2021-04-22,5.70048
2021-04-23,4.54106
2021-04-24,2.31884
2021-04-25,1.83574
2021-04-26,6.18357
2021-04-27,5.314
2021-04-28,4.05797
2021-04-29,6.37681
2021-04-30,4.92753
2021-05-01,1.64251
2021-05-02,1.83574
2021-05-03,7.72946
2021-05-04,3.57487
2021-05-05,2.1256
2021-05-06,6.08695
2021-05-07,3.38164
2021-05-08,1.64251
2021-05-09,2.60869
2021-05-10,5.21739
2021-05-11,3.28502
2021-05-12,4.83091
2021-05-13,3.67149
2021-05-14,5.314
2021-05-15,1.93236
2021-05-16,2.51207
2021-05-17,5.21739
2021-05-18,4.44444
2021-05-19,3.57487
2021-05-20,4.2512
2021-05-21,4.63768
2021-05-22,1.54589
2021-05-23,2.89855
2021-05-24,7.24637
2021-05-25,5.7971
2021-05-26,4.92753
2021-05-27,7.34299
2021-05-28,4.54106
2021-05-29,1.83574
2021-05-30,2.89855
2021-05-31,7.53623
2021-06-01,5.7971
2021-06-02,6.37681
2021-06-03,4.44444
2021-06-04,5.314
2021-06-05,1.93236
2021-06-06,1.64251
2021-06-07,4.05797
2021-06-08,7.53623
2021-06-09,6.76328
2021-06-10,5.60386
2021-06-11,4.63768
2021-06-12,2.31884
2021-06-13,2.22222
2021-06-14,5.89371
2021-06-15,6.47342
2021-06-16,5.7971
2021-06-17,4.34782
2021-06-18,4.92753
2021-06-19,1.83574
2021-06-20,1.15942
2021-06-21,5.50724
2021-06-22,5.60386
2021-06-23,4.63768
2021-06-24,5.21739
2021-06-25,3.67149
