date,대상포진보험
2020-03-20,19.23076
2020-03-21,12.5
2020-03-22,10.57692
2020-03-23,22.11538
2020-03-24,12.5
2020-03-25,18.26923
2020-03-26,18.75
2020-03-27,15.86538
2020-03-28,12.5
2020-03-29,11.05769
2020-03-30,19.23076
2020-03-31,14.90384
2020-04-01,6.25
2020-04-02,14.90384
2020-04-03,8.65384
2020-04-04,10.09615
2020-04-05,10.57692
2020-04-06,23.55769
2020-04-07,11.05769
2020-04-08,12.98076
2020-04-09,17.78846
2020-04-10,20.1923
2020-04-11,15.86538
2020-04-12,11.05769
2020-04-13,16.82692
2020-04-14,13.9423
2020-04-15,18.26923
2020-04-16,12.01923
2020-04-17,15.86538
2020-04-18,14.42307
2020-04-19,10.57692
2020-04-20,16.34615
2020-04-21,22.11538
2020-04-22,17.30769
2020-04-23,13.46153
2020-04-24,17.78846
2020-04-25,20.67307
2020-04-26,10.09615
2020-04-27,17.30769
2020-04-28,20.1923
2020-04-29,19.23076
2020-04-30,10.57692
2020-05-01,22.11538
2020-05-02,15.38461
2020-05-03,5.76923
2020-05-04,23.55769
2020-05-05,15.38461
2020-05-06,19.71153
2020-05-07,14.90384
2020-05-08,17.30769
2020-05-09,13.9423
2020-05-10,11.05769
2020-05-11,19.23076
2020-05-12,13.46153
2020-05-13,11.53846
2020-05-14,22.59615
2020-05-15,17.30769
2020-05-16,12.98076
2020-05-17,8.65384
2020-05-18,20.67307
2020-05-19,13.46153
2020-05-20,18.26923
2020-05-21,18.26923
2020-05-22,14.42307
2020-05-23,13.9423
2020-05-24,10.57692
2020-05-25,23.07692
2020-05-26,17.78846
2020-05-27,23.07692
2020-05-28,16.82692
2020-05-29,11.05769
2020-05-30,15.86538
2020-05-31,10.09615
2020-06-01,21.15384
2020-06-02,20.1923
2020-06-03,17.30769
2020-06-04,7.6923
2020-06-05,13.9423
2020-06-06,11.05769
2020-06-07,11.05769
2020-06-08,20.1923
2020-06-09,14.42307
2020-06-10,19.23076
2020-06-11,13.9423
2020-06-12,15.38461
2020-06-13,12.98076
2020-06-14,10.09615
2020-06-15,19.23076
2020-06-16,17.78846
2020-06-17,9.61538
2020-06-18,13.9423
2020-06-19,18.75
2020-06-20,14.90384
2020-06-21,7.6923
2020-06-22,19.23076
