date,베트남환율
2020-12-11,11.40473
2020-12-12,7.40575
2020-12-13,5.90613
2020-12-14,10.64378
2020-12-15,10.49414
2020-12-16,10.20759
2020-12-17,10.73611
2020-12-18,9.93695
2020-12-19,6.42193
2020-12-20,5.85201
2020-12-21,11.00674
2020-12-22,10.73293
2020-12-23,10.1057
2020-12-24,9.3543
2020-12-25,7.04279
2020-12-26,6.25955
2020-12-27,6.25636
2020-12-28,10.70746
2020-12-29,10.41772
2020-12-30,10.59602
2020-12-31,11.97147
2021-01-01,6.89633
2021-01-02,7.69867
2021-01-03,6.69574
2021-01-04,12.2421
2021-01-05,11.86958
2021-01-06,11.09908
2021-01-07,10.14391
2021-01-08,10.99719
2021-01-09,6.98548
2021-01-10,7.17014
2021-01-11,12.56049
2021-01-12,12.23892
2021-01-13,11.14365
2021-01-14,10.84118
2021-01-15,11.14047
2021-01-16,7.65091
2021-01-17,6.88678
2021-01-18,11.72312
2021-01-19,12.19434
2021-01-20,11.36334
2021-01-21,10.61512
2021-01-22,10.11525
2021-01-23,7.09373
2021-01-24,7.94701
2021-01-25,11.34424
2021-01-26,11.38245
2021-01-27,10.05794
2021-01-28,12.69421
2021-01-29,11.57348
2021-01-30,7.30068
2021-01-31,7.1988
2021-02-01,12.62417
2021-02-02,11.44612
2021-02-03,10.23624
2021-02-04,9.97516
2021-02-05,11.38245
2021-02-06,7.44077
2021-02-07,6.56839
2021-02-08,10.67244
2021-02-09,9.86372
2021-02-10,8.87353
2021-02-11,5.67689
2021-02-12,5.11334
2021-02-13,5.29482
2021-02-14,6.87722
2021-02-15,9.1951
2021-02-16,9.23331
2021-02-17,10.23306
2021-02-18,10.284
2021-02-19,9.60901
2021-02-20,6.65117
2021-02-21,6.6448
2021-02-22,10.93988
2021-02-23,10.44319
2021-02-24,10.48458
2021-02-25,10.49095
2021-02-26,11.97784
2021-02-27,7.47261
2021-02-28,7.14786
2021-03-01,9.7109
2021-03-02,12.12748
2021-03-03,11.27419
2021-03-04,10.94307
2021-03-05,11.34105
2021-03-06,7.83876
2021-03-07,7.2179
2021-03-08,12.20389
2021-03-09,12.86296
2021-03-10,13.88181
2021-03-11,11.67855
2021-03-12,10.9367
2021-03-13,7.07463
2021-03-14,6.78171
2021-03-15,10.88576
2021-03-16,11.25191
2021-03-17,10.15028
2021-03-18,10.42091
2021-03-19,9.8287
2021-03-20,7.15422
