date,증여취득세
2020-03-20,1.94067
2020-03-21,1.24757
2020-03-22,1.08123
2020-03-23,2.4397
2020-03-24,2.02384
2020-03-25,2.02384
2020-03-26,1.88522
2020-03-27,2.24563
2020-03-28,1.10895
2020-03-29,0.97033
2020-03-30,1.88522
2020-03-31,1.77432
2020-04-01,2.05156
2020-04-02,1.71887
2020-04-03,1.96839
2020-04-04,1.21985
2020-04-05,1.10895
2020-04-06,2.46742
2020-04-07,2.60604
2020-04-08,2.52287
2020-04-09,2.07929
2020-04-10,1.69115
2020-04-11,0.99805
2020-04-12,1.21985
2020-04-13,2.66149
2020-04-14,1.85749
2020-04-15,1.10895
2020-04-16,2.49514
2020-04-17,2.77238
2020-04-18,1.10895
2020-04-19,1.46936
2020-04-20,2.96645
2020-04-21,2.55059
2020-04-22,2.49514
2020-04-23,2.41197
2020-04-24,2.77238
2020-04-25,1.46936
2020-04-26,0.77626
2020-04-27,2.3288
2020-04-28,2.35652
2020-04-29,1.94067
2020-04-30,1.0535
2020-05-01,1.49708
2020-05-02,0.77626
2020-05-03,1.58026
2020-05-04,2.10701
2020-05-05,1.41391
2020-05-06,2.63376
2020-05-07,3.18824
2020-05-08,1.96839
2020-05-09,1.41391
2020-05-10,1.30302
2020-05-11,2.96645
2020-05-12,2.55059
2020-05-13,2.68921
2020-05-14,2.24563
2020-05-15,1.7466
2020-05-16,1.52481
2020-05-17,1.27529
2020-05-18,2.63376
2020-05-19,3.07734
2020-05-20,2.46742
2020-05-21,2.38425
2020-05-22,2.16246
2020-05-23,1.35846
2020-05-24,1.66343
2020-05-25,3.04962
2020-05-26,3.07734
2020-05-27,2.77238
2020-05-28,2.02384
2020-05-29,1.85749
2020-05-30,1.24757
2020-05-31,1.13667
2020-06-01,2.07929
2020-06-02,1.96839
2020-06-03,1.99611
2020-06-04,2.10701
2020-06-05,2.10701
2020-06-06,1.08123
2020-06-07,1.58026
2020-06-08,2.24563
2020-06-09,2.24563
2020-06-10,2.16246
2020-06-11,1.88522
2020-06-12,2.30108
2020-06-13,1.69115
2020-06-14,1.52481
2020-06-15,2.66149
2020-06-16,2.71693
2020-06-17,3.0219
2020-06-18,2.99417
2020-06-19,2.2179
2020-06-20,1.24757
2020-06-21,1.35846
2020-06-22,2.85555
2020-06-23,3.29914
2020-06-24,2.80011
2020-06-25,2.68921
2020-06-26,2.10701
2020-06-27,1.41391
2020-06-28,1.46936
2020-06-29,2.2179
2020-06-30,2.19018
2020-07-01,2.46742
2020-07-02,2.60604
2020-07-03,2.49514
2020-07-04,1.6357
2020-07-05,1.99611
2020-07-06,2.46742
2020-07-07,3.63182
2020-07-08,3.38231
2020-07-09,4.13085
2020-07-10,12.7807
2020-07-11,33.79539
2020-07-12,50.7624
2020-07-13,85.50041
2020-07-14,84.50235
2020-07-15,73.74549
2020-07-16,48.23953
2020-07-17,36.62323
2020-07-18,20.682
2020-07-19,22.6504
2020-07-20,37.67673
2020-07-21,32.74189
2020-07-22,39.53423
2020-07-23,34.04491
2020-07-24,29.55364
2020-07-25,20.90379
2020-07-26,17.68782
2020-07-27,34.48849
2020-07-28,60.57665
2020-07-29,87.35791
2020-07-30,100.0
2020-07-31,74.77127
2020-08-01,36.17965
2020-08-02,28.83282
2020-08-03,44.49681
2020-08-04,63.7649
2020-08-05,52.75852
2020-08-06,36.51233
2020-08-07,28.19517
2020-08-08,20.76517
2020-08-09,18.54726
2020-08-10,32.74189
2020-08-11,35.68062
2020-08-12,34.10036
2020-08-13,25.50596
2020-08-14,19.15719
2020-08-15,12.80842
2020-08-16,12.25395
2020-08-17,12.28167
2020-08-18,16.4957
2020-08-19,16.35708
2020-08-20,18.07596
2020-08-21,15.60853
2020-08-22,12.05988
2020-08-23,10.95092
2020-08-24,16.80066
2020-08-25,16.77294
2020-08-26,15.60853
2020-08-27,15.38674
2020-08-28,14.30551
2020-08-29,8.70529
2020-08-30,8.64984
2020-08-31,12.83615
2020-09-01,9.86969
2020-09-02,11.22816
2020-09-03,10.39645
2020-09-04,9.20432
2020-09-05,6.43193
2020-09-06,7.48544
2020-09-07,11.94898
2020-09-08,11.42223
2020-09-09,9.20432
2020-09-10,10.20238
2020-09-11,7.62406
2020-09-12,7.95675
2020-09-13,7.45772
2020-09-14,12.89159
2020-09-15,12.7807
2020-09-16,13.27973
2020-09-17,11.6163
2020-09-18,12.0876
2020-09-19,8.59439
2020-09-20,10.75686
2020-09-21,15.60853
2020-09-22,12.11533
2020-09-23,9.7588
2020-09-24,8.92708
2020-09-25,7.84585
2020-09-26,6.32104
2020-09-27,5.21208
2020-09-28,8.45578
2020-09-29,7.65178
2020-09-30,4.85167
2020-10-01,5.48932
2020-10-02,5.79428
2020-10-03,6.57055
2020-10-04,7.34682
2020-10-05,12.94704
2020-10-06,12.03215
2020-10-07,10.14693
2020-10-08,9.62018
2020-10-09,7.2082
2020-10-10,7.51316
2020-10-11,5.98835
2020-10-12,11.31133
2020-10-13,11.00637
2020-10-14,11.56085
2020-10-15,9.81425
2020-10-16,9.31522
2020-10-17,5.87746
2020-10-18,6.93096
2020-10-19,11.47768
2020-10-20,10.39645
2020-10-21,12.00443
2020-10-22,12.22622
2020-10-23,10.2301
2020-10-24,8.81619
2020-10-25,9.98059
2020-10-26,14.19462
2020-10-27,13.72331
2020-10-28,14.27779
2020-10-29,13.11339
2020-10-30,11.69947
2020-10-31,8.12309
2020-11-01,8.73301
2020-11-02,13.66786
2020-11-03,13.61242
2020-11-04,11.31133
2020-11-05,11.5054
2020-11-06,12.64208
2020-11-07,10.89548
2020-11-08,10.28555
2020-11-09,14.88771
2020-11-10,14.58275
2020-11-11,12.89159
2020-11-12,13.3629
2020-11-13,12.7807
2020-11-14,9.6479
2020-11-15,9.14887
2020-11-16,15.1095
2020-11-17,16.99473
2020-11-18,14.33324
2020-11-19,14.85999
2020-11-20,12.6698
2020-11-21,8.98253
2020-11-22,9.45383
2020-11-23,14.88771
2020-11-24,17.6601
2020-11-25,18.99085
2020-11-26,21.23648
2020-11-27,18.02051
2020-11-28,12.14305
2020-11-29,12.47574
2020-11-30,17.6601
2020-12-01,17.49376
2020-12-02,15.96894
2020-12-03,14.61047
2020-12-04,14.33324
2020-12-05,10.06376
2020-12-06,11.64402
2020-12-07,17.63238
2020-12-08,13.3629
2020-12-09,13.69559
2020-12-10,14.22234
2020-12-11,13.58469
2020-12-12,9.12115
2020-12-13,7.95675
2020-12-14,15.24812
2020-12-15,14.69365
2020-12-16,14.36096
