date,법무사
2020-03-20,57.25
2020-03-21,34.25
2020-03-22,31.4375
2020-03-23,76.09375
2020-03-24,63.09375
2020-03-25,59.375
2020-03-26,58.65625
2020-03-27,55.90625
2020-03-28,31.84375
2020-03-29,29.9375
2020-03-30,70.25
2020-03-31,63.8125
2020-04-01,64.59375
2020-04-02,59.4375
2020-04-03,55.375
2020-04-04,30.59374
2020-04-05,30.09375
2020-04-06,67.96875
2020-04-07,64.78125
2020-04-08,65.6875
2020-04-09,58.53125
2020-04-10,54.96875
2020-04-11,29.65625
2020-04-12,30.9375
2020-04-13,69.5625
2020-04-14,60.6875
2020-04-15,34.59375
2020-04-16,62.46874
2020-04-17,57.21875
2020-04-18,32.875
2020-04-19,35.40625
2020-04-20,78.84375
2020-04-21,69.40625
2020-04-22,65.40625
2020-04-23,60.21875
2020-04-24,63.6875
2020-04-25,34.375
2020-04-26,33.65625
2020-04-27,72.75
2020-04-28,67.5625
2020-04-29,64.71875
2020-04-30,33.0625
2020-05-01,41.25
2020-05-02,30.40625
2020-05-03,30.96875
2020-05-04,66.84375
2020-05-05,34.49999
2020-05-06,70.75
2020-05-07,63.21875
2020-05-08,57.125
2020-05-09,32.21875
2020-05-10,30.96875
2020-05-11,69.0625
2020-05-12,66.28125
2020-05-13,63.875
2020-05-14,60.8125
2020-05-15,61.25
2020-05-16,36.25
2020-05-17,32.1875
2020-05-18,73.71875
2020-05-19,68.0
2020-05-20,65.125
2020-05-21,63.53124
2020-05-22,60.8125
2020-05-23,33.53125
2020-05-24,31.6875
2020-05-25,70.40625
2020-05-26,74.5625
2020-05-27,68.46875
2020-05-28,62.875
2020-05-29,58.1875
2020-05-30,33.28125
2020-05-31,32.375
2020-06-01,63.4375
2020-06-02,63.46875
2020-06-03,62.0
2020-06-04,57.21875
2020-06-05,55.75
2020-06-06,34.625
2020-06-07,31.75
2020-06-08,70.53125
2020-06-09,61.71875
2020-06-10,57.0625
2020-06-11,58.6875
2020-06-12,60.0
2020-06-13,32.46875
2020-06-14,32.5625
2020-06-15,74.4375
2020-06-16,68.21874
2020-06-17,66.25
2020-06-18,68.625
2020-06-19,66.5
2020-06-20,96.59375
2020-06-21,45.53125
2020-06-22,77.09375
2020-06-23,70.875
2020-06-24,64.625
2020-06-25,64.34375
2020-06-26,62.03125
2020-06-27,35.3125
2020-06-28,33.25
2020-06-29,72.4375
2020-06-30,68.96875
2020-07-01,66.21875
2020-07-02,62.375
2020-07-03,59.8125
2020-07-04,34.4375
2020-07-05,30.40625
2020-07-06,71.9375
2020-07-07,67.875
2020-07-08,68.90625
2020-07-09,66.5625
2020-07-10,56.71875
2020-07-11,34.53125
2020-07-12,34.74999
2020-07-13,77.59374
2020-07-14,78.625
2020-07-15,75.5625
2020-07-16,60.78125
2020-07-17,62.53125
2020-07-18,33.21875
2020-07-19,35.125
2020-07-20,79.65624
2020-07-21,70.40625
2020-07-22,67.90625
2020-07-23,63.0
2020-07-24,62.46874
2020-07-25,35.625
2020-07-26,31.71875
2020-07-27,73.96875
2020-07-28,75.24999
2020-07-29,77.28125
2020-07-30,64.5
2020-07-31,60.1875
2020-08-01,32.25
2020-08-02,30.4375
2020-08-03,68.0
2020-08-04,61.84375
2020-08-05,62.96875
2020-08-06,65.5
2020-08-07,58.5
2020-08-08,30.8125
2020-08-09,32.21875
2020-08-10,69.78124
2020-08-11,67.84375
2020-08-12,66.4375
2020-08-13,62.375
2020-08-14,58.1875
2020-08-15,30.75
2020-08-16,30.59374
2020-08-17,43.59375
2020-08-18,69.28125
2020-08-19,63.375
2020-08-20,65.1875
2020-08-21,58.71875
2020-08-22,32.96875
2020-08-23,31.125
2020-08-24,73.25
2020-08-25,67.78125
2020-08-26,64.40625
2020-08-27,62.78125
2020-08-28,57.28124
2020-08-29,31.53125
2020-08-30,31.28125
2020-08-31,70.90625
2020-09-01,63.5625
2020-09-02,63.3125
2020-09-03,61.34375
2020-09-04,57.1875
2020-09-05,33.34375
2020-09-06,33.15625
2020-09-07,64.34375
2020-09-08,61.21875
2020-09-09,68.6875
2020-09-10,62.3125
2020-09-11,58.625
2020-09-12,35.53124
2020-09-13,30.75
2020-09-14,68.375
2020-09-15,64.90625
2020-09-16,62.65625
2020-09-17,58.875
2020-09-18,59.75
2020-09-19,34.78125
2020-09-20,33.09375
2020-09-21,66.6875
2020-09-22,60.46875
2020-09-23,60.3125
2020-09-24,58.65625
2020-09-25,51.34375
2020-09-26,32.71875
2020-09-27,28.625
2020-09-28,60.96875
2020-09-29,48.53125
2020-09-30,25.12499
2020-10-01,22.46875
2020-10-02,25.40625
2020-10-03,29.59375
2020-10-04,34.25
2020-10-05,77.84375
2020-10-06,73.0625
2020-10-07,67.0
2020-10-08,63.1875
2020-10-09,32.375
2020-10-10,31.90625
2020-10-11,32.93749
2020-10-12,69.65625
2020-10-13,69.65625
2020-10-14,62.78125
2020-10-15,62.21875
2020-10-16,58.34375
2020-10-17,32.6875
2020-10-18,32.1875
2020-10-19,72.65625
2020-10-20,69.9375
2020-10-21,66.125
2020-10-22,65.5625
2020-10-23,58.46875
2020-10-24,33.0
2020-10-25,30.25
2020-10-26,72.03125
2020-10-27,68.28125
2020-10-28,64.81249
2020-10-29,58.8125
2020-10-30,60.28125
2020-10-31,44.34375
2020-11-01,50.84375
2020-11-02,77.8125
2020-11-03,72.4375
2020-11-04,64.9375
2020-11-05,62.28125
2020-11-06,59.62499
2020-11-07,37.4375
2020-11-08,37.1875
2020-11-09,74.8125
2020-11-10,68.75
2020-11-11,66.53125
2020-11-12,64.09375
2020-11-13,60.75
2020-11-14,32.25
2020-11-15,34.3125
2020-11-16,78.3125
2020-11-17,68.09375
2020-11-18,64.81249
2020-11-19,65.59374
2020-11-20,61.71875
2020-11-21,32.0
2020-11-22,33.875
2020-11-23,71.59375
2020-11-24,67.40625
2020-11-25,63.15625
2020-11-26,62.9375
2020-11-27,58.21875
2020-11-28,33.71874
2020-11-29,32.03125
2020-11-30,72.8125
2020-12-01,69.8125
2020-12-02,71.15625
2020-12-03,65.8125
2020-12-04,56.84375
2020-12-05,36.90625
2020-12-06,37.78125
2020-12-07,70.34375
2020-12-08,79.90625
2020-12-09,91.40625
2020-12-10,72.5
2020-12-11,70.53125
2020-12-12,35.03125
2020-12-13,35.03125
2020-12-14,75.78125
2020-12-15,74.46874
2020-12-16,66.53125
2020-12-17,67.5
2020-12-18,62.46874
2020-12-19,37.25
2020-12-20,37.125
2020-12-21,76.0625
2020-12-22,74.53125
2020-12-23,68.09375
2020-12-24,57.15625
2020-12-25,32.71875
2020-12-26,38.4375
2020-12-27,38.3125
2020-12-28,85.0
2020-12-29,79.0625
2020-12-30,69.84375
2020-12-31,55.96875
2021-01-01,32.875
2021-01-02,36.5625
2021-01-03,39.65625
2021-01-04,79.5
2021-01-05,79.875
2021-01-06,68.99999
2021-01-07,59.375
2021-01-08,55.34375
2021-01-09,34.96875
2021-01-10,34.25
2021-01-11,72.84375
2021-01-12,67.125
2021-01-13,69.9375
2021-01-14,66.21875
2021-01-15,65.59374
2021-01-16,38.78125
2021-01-17,38.0
2021-01-18,73.09375
2021-01-19,71.1875
2021-01-20,70.25
2021-01-21,72.375
2021-01-22,67.25
2021-01-23,38.5
2021-01-24,36.96875
2021-01-25,75.09375
2021-01-26,71.21875
2021-01-27,72.6875
2021-01-28,69.46875
2021-01-29,67.03125
