date,개인연금IRP
2020-03-20,8.87372
2020-03-21,7.50853
2020-03-22,4.77815
2020-03-23,8.53242
2020-03-24,7.16723
2020-03-25,10.9215
2020-03-26,7.50853
2020-03-27,9.55631
2020-03-28,6.14334
2020-03-29,8.87372
2020-03-30,10.5802
2020-03-31,12.96928
2020-04-01,8.87372
2020-04-02,8.19112
2020-04-03,10.2389
2020-04-04,4.77815
2020-04-05,4.09556
2020-04-06,11.26279
2020-04-07,8.53242
2020-04-08,8.53242
2020-04-09,5.46075
2020-04-10,6.14334
2020-04-11,1.70648
2020-04-12,5.11945
2020-04-13,8.19112
2020-04-14,7.84982
2020-04-15,3.75426
2020-04-16,7.84982
2020-04-17,7.50853
2020-04-18,2.38907
2020-04-19,6.14334
2020-04-20,9.89761
2020-04-21,8.19112
2020-04-22,7.16723
2020-04-23,6.14334
2020-04-24,10.2389
2020-04-25,5.11945
2020-04-26,3.75426
2020-04-27,9.21501
2020-04-28,5.80204
2020-04-29,6.82593
2020-04-30,3.75426
2020-05-01,2.38907
2020-05-02,3.41296
2020-05-03,3.41296
2020-05-04,5.11945
2020-05-06,4.77815
2020-05-07,7.84982
2020-05-08,7.50853
2020-05-09,3.75426
2020-05-10,3.75426
2020-05-11,3.07167
2020-05-12,10.2389
2020-05-13,9.55631
2020-05-14,6.14334
2020-05-15,8.53242
2020-05-16,2.38907
2020-05-17,3.07167
2020-05-18,9.55631
2020-05-19,4.09556
2020-05-20,12.28668
2020-05-21,9.21501
2020-05-22,8.19112
2020-05-23,3.41296
2020-05-24,3.07167
2020-05-25,10.2389
2020-05-26,7.84982
2020-05-27,9.21501
2020-05-28,8.19112
2020-05-29,4.09556
2020-05-30,3.41296
2020-05-31,3.07167
2020-06-01,7.16723
2020-06-02,7.84982
2020-06-03,8.53242
2020-06-04,4.43686
2020-06-05,6.14334
2020-06-06,2.38907
2020-06-07,3.41296
2020-06-08,9.89761
2020-06-09,7.16723
2020-06-10,8.53242
2020-06-11,12.28668
2020-06-12,7.16723
2020-06-13,4.43686
2020-06-14,3.41296
2020-06-15,7.84982
2020-06-16,9.89761
2020-06-17,6.82593
2020-06-18,9.55631
2020-06-19,11.60409
2020-06-20,5.11945
2020-06-21,6.48464
2020-06-22,12.62798
2020-06-23,8.19112
2020-06-24,5.46075
2020-06-25,11.60409
2020-06-26,7.16723
2020-06-28,2.73037
2020-06-29,5.11945
2020-06-30,9.21501
2020-07-01,7.84982
2020-07-02,5.46075
2020-07-03,5.46075
2020-07-05,2.73037
2020-07-06,6.82593
2020-07-07,7.84982
2020-07-08,8.53242
2020-07-09,11.94539
2020-07-10,8.87372
2020-07-11,3.41296
2020-07-12,3.75426
2020-07-13,10.2389
2020-07-14,4.43686
2020-07-15,7.50853
2020-07-16,6.48464
2020-07-17,4.09556
2020-07-19,7.50853
2020-07-20,12.62798
2020-07-21,12.62798
2020-07-22,5.46075
2020-07-23,15.69965
2020-07-24,10.2389
2020-07-25,2.73037
2020-07-26,4.77815
2020-07-27,6.14334
2020-07-28,8.87372
2020-07-29,7.84982
2020-07-30,9.55631
2020-07-31,7.84982
2020-08-01,3.75426
2020-08-02,2.38907
2020-08-03,4.09556
2020-08-04,10.2389
2020-08-05,6.48464
2020-08-06,4.43686
2020-08-07,8.87372
2020-08-08,9.21501
2020-08-09,4.77815
2020-08-10,7.16723
2020-08-11,7.84982
2020-08-12,8.53242
2020-08-13,9.21501
2020-08-14,9.21501
2020-08-15,3.41296
2020-08-16,3.75426
2020-08-17,6.48464
2020-08-18,8.87372
2020-08-19,10.5802
2020-08-20,5.80204
2020-08-21,8.19112
2020-08-22,3.41296
2020-08-23,2.73037
2020-08-24,5.11945
2020-08-25,10.2389
2020-08-26,9.89761
2020-08-27,10.9215
2020-08-28,9.89761
2020-08-29,3.75426
2020-08-30,5.11945
2020-08-31,10.2389
2020-09-01,4.09556
2020-09-02,11.26279
2020-09-03,4.09556
2020-09-04,8.53242
2020-09-05,3.07167
2020-09-06,3.75426
2020-09-07,7.16723
2020-09-08,9.89761
2020-09-09,6.48464
2020-09-10,9.89761
2020-09-11,7.16723
2020-09-12,2.73037
2020-09-13,3.07167
2020-09-14,7.16723
2020-09-15,10.5802
2020-09-16,5.46075
2020-09-17,8.19112
2020-09-18,7.16723
2020-09-19,2.73037
2020-09-20,3.07167
2020-09-21,8.19112
2020-09-22,8.19112
2020-09-23,9.21501
2020-09-24,6.48464
2020-09-25,8.53242
2020-09-26,4.09556
2020-09-27,4.09556
2020-09-28,7.16723
2020-09-29,6.48464
2020-09-30,2.38907
2020-10-01,2.38907
2020-10-03,6.82593
2020-10-04,11.26279
2020-10-05,10.9215
2020-10-06,9.55631
2020-10-07,12.28668
