date,경제뉴스
2020-03-20,46.94189
2020-03-21,32.60703
2020-03-22,36.73547
2020-03-23,51.49082
2020-03-24,65.36697
2020-03-25,58.48623
2020-03-26,59.7477
2020-03-27,54.81651
2020-03-28,34.25076
2020-03-29,35.77981
2020-03-30,59.21253
2020-03-31,50.68807
2020-04-01,59.32721
2020-04-02,59.90061
2020-04-03,50.49694
2020-04-04,31.38379
2020-04-05,34.40366
2020-04-06,56.42201
2020-04-07,52.14067
2020-04-08,51.87308
2020-04-09,54.01376
2020-04-10,48.16513
2020-04-11,31.76605
2020-04-12,38.26452
2020-04-13,50.07645
2020-04-14,44.26605
2020-04-15,36.27675
2020-04-16,49.04434
2020-04-17,47.78287
2020-04-18,35.93272
2020-04-19,36.65902
2020-04-20,52.37003
2020-04-21,55.04587
2020-04-22,57.91284
2020-04-23,51.18501
2020-04-24,39.1055
2020-04-25,31.15443
2020-04-26,31.00152
2020-04-27,44.41896
2020-04-28,39.37308
2020-04-29,33.60091
2020-04-30,24.92354
2020-05-01,24.04434
2020-05-02,20.94801
2020-05-03,24.57951
2020-05-04,32.87461
2020-05-05,26.64373
2020-05-06,33.33333
2020-05-07,36.46788
2020-05-08,32.03363
2020-05-09,22.85932
2020-05-10,26.41437
2020-05-11,35.05351
2020-05-12,38.57033
2020-05-13,34.78593
2020-05-14,35.28287
2020-05-15,33.37155
2020-05-16,25.80275
2020-05-17,25.03822
2020-05-18,41.32262
2020-05-19,44.49541
2020-05-20,41.20795
2020-05-21,42.62232
2020-05-22,40.5581
2020-05-23,25.61162
2020-05-24,29.39602
2020-05-25,43.84556
2020-05-26,41.59021
2020-05-27,43.80733
2020-05-28,47.51529
2020-05-29,35.74159
2020-05-30,23.05045
2020-05-31,26.29969
2020-06-01,43.34862
2020-06-02,47.2477
2020-06-03,52.37003
2020-06-04,46.40672
2020-06-05,41.01681
2020-06-06,25.11467
2020-06-07,31.1162
2020-06-08,42.85168
2020-06-09,40.59633
2020-06-10,44.53363
2020-06-11,48.31804
2020-06-12,50.72629
2020-06-13,27.40825
2020-06-14,28.59327
2020-06-15,68.04281
2020-06-16,48.73853
2020-06-17,48.16513
2020-06-18,43.57798
2020-06-19,37.30886
2020-06-20,25.80275
2020-06-21,29.43425
2020-06-22,44.03669
2020-06-23,46.75076
2020-06-24,51.10856
2020-06-25,47.55351
2020-06-26,37.19418
2020-06-27,25.64984
2020-06-28,28.24923
2020-06-29,44.57186
2020-06-30,40.44342
2020-07-01,46.40672
2020-07-02,41.47553
2020-07-03,36.08562
2020-07-04,24.38837
2020-07-05,30.19877
2020-07-06,45.7951
2020-07-07,43.50152
2020-07-08,42.96636
2020-07-09,42.31651
2020-07-10,38.83792
2020-07-11,22.20948
2020-07-12,27.02599
2020-07-13,39.33486
2020-07-14,41.47553
2020-07-15,41.93425
2020-07-16,39.06727
2020-07-17,36.96483
2020-07-18,21.44495
2020-07-19,25.91743
2020-07-20,37.95871
2020-07-21,35.85626
2020-07-22,41.24617
2020-07-23,44.11314
2020-07-24,35.3211
2020-07-25,22.85932
