date,구글애드센스
2020-03-20,28.75722
2020-03-21,21.6763
2020-03-22,25.09633
2020-03-23,34.24855
2020-03-24,29.5761
2020-03-25,30.39499
2020-03-26,30.34682
2020-03-27,26.7341
2020-03-28,20.90558
2020-03-29,20.42389
2020-03-30,29.28709
2020-03-31,23.31406
2020-04-01,28.08285
2020-04-02,27.11946
2020-04-03,23.65125
2020-04-04,19.70134
2020-04-05,20.7129
2020-04-06,27.842
2020-04-07,25.48169
2020-04-08,24.32562
2020-04-09,27.50481
2020-04-10,25.04816
2020-04-11,19.36416
2020-04-12,22.7842
2020-04-13,28.90173
2020-04-14,26.44508
2020-04-15,22.54335
2020-04-16,24.13294
2020-04-17,26.44508
2020-04-18,20.42389
2020-04-19,19.605
2020-04-20,28.17919
2020-04-21,30.00963
2020-04-22,30.0578
2020-04-23,27.89017
2020-04-24,26.01156
2020-04-25,19.89402
2020-04-26,21.1946
2020-04-27,28.42003
2020-04-28,25.33718
2020-04-29,25.77071
2020-04-30,22.39884
2020-05-01,22.06165
2020-05-02,20.95375
2020-05-03,22.9287
2020-05-04,28.56454
2020-05-05,24.27745
2020-05-06,30.684
2020-05-07,25.48169
2020-05-08,24.75915
2020-05-09,20.47206
2020-05-10,21.43545
2020-05-11,27.11946
2020-05-12,28.27552
2020-05-13,31.26204
2020-05-14,27.79383
2020-05-15,24.90366
2020-05-16,37.52408
2020-05-17,24.90366
2020-05-18,30.87668
2020-05-19,32.94797
2020-05-20,30.25048
2020-05-21,29.43159
2020-05-22,29.67244
2020-05-23,20.5684
2020-05-24,22.49518
2020-05-25,28.99807
2020-05-26,30.44315
2020-05-27,28.08285
2020-05-28,23.60308
2020-05-29,20.61657
2020-05-30,18.54527
2020-05-31,19.94219
2020-06-01,27.50481
2020-06-02,26.2524
2020-06-03,27.26396
2020-06-04,29.04624
2020-06-05,27.79383
2020-06-06,22.39884
2020-06-07,19.89402
2020-06-08,27.16763
2020-06-09,27.55298
2020-06-10,28.80539
2020-06-11,26.87861
2020-06-12,27.74566
2020-06-13,21.6763
2020-06-14,21.6763
2020-06-15,28.17919
2020-06-16,27.11946
2020-06-17,29.09441
2020-06-18,26.78227
2020-06-19,26.39691
2020-06-20,20.47206
2020-06-21,22.44701
2020-06-22,31.21387
2020-06-23,27.55298
2020-06-24,29.62427
2020-06-25,25.67437
2020-06-26,25.72254
2020-06-27,18.64161
2020-06-28,20.13487
2020-06-29,25.52986
2020-06-30,28.22736
2020-07-01,28.08285
2020-07-02,27.02312
2020-07-03,26.01156
2020-07-04,21.48362
2020-07-05,21.29094
2020-07-06,29.38342
2020-07-07,29.5761
2020-07-08,31.93641
2020-07-09,31.06936
2020-07-10,29.43159
2020-07-11,25.09633
2020-07-12,24.42196
2020-07-13,32.56262
2020-07-14,30.25048
2020-07-15,28.4682
2020-07-16,30.44315
2020-07-17,27.79383
2020-07-18,23.26589
2020-07-19,23.21772
2020-07-20,29.76878
2020-07-21,32.03275
2020-07-22,34.58574
2020-07-23,30.58766
2020-07-24,27.60115
2020-07-25,22.39884
2020-07-26,21.8208
2020-07-27,28.56454
