date,실시간환율조회
2020-03-20,100.0
2020-03-21,23.42857
2020-03-22,13.05357
2020-03-23,79.21428
2020-03-24,66.76785
2020-03-25,55.30357
2020-03-26,53.76785
2020-03-27,51.60714
2020-03-28,13.48214
2020-03-29,6.92857
2020-03-30,46.46428
2020-03-31,39.55357
2020-04-01,38.17857
2020-04-02,39.75
2020-04-03,35.53571
2020-04-04,9.55357
2020-04-05,5.17857
2020-04-06,32.80357
2020-04-07,36.05357
2020-04-08,32.92857
2020-04-09,31.03571
2020-04-10,31.76785
2020-04-11,6.89285
2020-04-12,4.0
2020-04-13,29.73214
2020-04-14,26.625
2020-04-15,10.51785
2020-04-16,32.28571
2020-04-17,28.96428
2020-04-18,6.55357
2020-04-19,3.73214
2020-04-20,28.51785
2020-04-21,41.55357
2020-04-22,34.91071
2020-04-23,32.55357
2020-04-24,30.10714
2020-04-25,7.35714
2020-04-26,4.16071
2020-04-27,26.42857
2020-04-28,29.60714
2020-04-29,25.21428
2020-04-30,10.17857
2020-05-01,11.0
2020-05-02,6.05357
2020-05-03,5.14285
2020-05-04,26.28571
2020-05-05,8.55357
2020-05-06,24.17857
2020-05-07,22.46428
2020-05-08,21.10714
2020-05-09,5.51785
2020-05-10,3.19642
2020-05-11,21.60714
2020-05-12,22.0
2020-05-13,21.35714
2020-05-14,21.92857
2020-05-15,19.69642
2020-05-16,5.80357
2020-05-17,4.44642
2020-05-18,24.30357
2020-05-19,22.66071
2020-05-20,20.82142
2020-05-21,20.58928
2020-05-22,25.28571
2020-05-23,7.55357
2020-05-24,4.39285
2020-05-25,29.16071
2020-05-26,25.80357
2020-05-27,25.03571
2020-05-28,27.03571
2020-05-29,23.21428
2020-05-30,6.0
2020-05-31,3.89285
2020-06-01,27.78571
2020-06-02,22.92857
2020-06-03,26.51785
2020-06-04,25.82142
2020-06-05,29.33928
2020-06-06,6.44642
2020-06-07,3.76785
2020-06-08,26.44642
2020-06-09,29.26785
2020-06-10,27.92857
2020-06-11,28.71428
2020-06-12,29.67857
2020-06-13,6.76785
2020-06-14,3.83928
2020-06-15,27.91071
2020-06-16,28.76785
2020-06-17,28.875
2020-06-18,26.23214
2020-06-19,22.35714
2020-06-20,5.21428
2020-06-21,3.01785
2020-06-22,21.53571
2020-06-23,22.25
2020-06-24,23.16071
2020-06-25,21.83928
2020-06-26,19.48214
2020-06-27,5.12499
2020-06-28,3.57142
2020-06-29,23.375
2020-06-30,24.75
2020-07-01,21.55357
2020-07-02,21.23214
2020-07-03,18.41071
2020-07-04,4.51785
2020-07-05,2.35714
2020-07-06,21.41071
2020-07-07,20.03571
2020-07-08,18.875
2020-07-09,20.69642
2020-07-10,18.41071
2020-07-11,4.67857
2020-07-12,2.53571
2020-07-13,17.73214
2020-07-14,18.16071
2020-07-15,18.60714
2020-07-16,17.57142
2020-07-17,16.67857
2020-07-18,3.44642
2020-07-19,2.44642
2020-07-20,15.55357
2020-07-21,15.44642
2020-07-22,18.58928
2020-07-23,17.67857
2020-07-24,16.19642
2020-07-25,4.10714
2020-07-26,2.69642
2020-07-27,18.5
2020-07-28,21.58928
2020-07-29,20.07142
2020-07-30,22.71428
2020-07-31,20.66071
2020-08-01,5.16071
2020-08-02,2.21428
2020-08-03,14.57142
2020-08-04,13.44642
2020-08-05,17.125
2020-08-06,17.17857
2020-08-07,17.28571
2020-08-08,4.71428
2020-08-09,2.73214
2020-08-10,15.89285
2020-08-11,16.82142
2020-08-12,16.71428
2020-08-13,17.30357
2020-08-14,16.28571
2020-08-15,4.25
2020-08-16,2.30357
2020-08-17,7.66071
2020-08-18,17.05357
2020-08-19,17.35714
2020-08-20,19.71428
2020-08-21,18.26785
2020-08-22,5.21428
2020-08-23,2.67857
2020-08-24,16.75
2020-08-25,16.625
2020-08-26,14.67857
2020-08-27,15.375
2020-08-28,15.35714
2020-08-29,4.125
2020-08-30,2.33928
2020-08-31,16.80357
2020-09-01,17.32142
2020-09-02,15.21428
2020-09-03,15.23214
2020-09-04,16.85714
2020-09-05,4.5
2020-09-06,2.35714
2020-09-07,13.58928
2020-09-08,14.96428
2020-09-09,14.91071
2020-09-10,14.48214
2020-09-11,12.98214
2020-09-12,3.30357
2020-09-13,2.25
2020-09-14,12.73214
2020-09-15,15.64285
2020-09-16,17.71428
2020-09-17,17.96428
2020-09-18,22.94642
2020-09-19,5.39285
2020-09-20,3.14285
2020-09-21,19.53571
2020-09-22,20.57142
2020-09-23,19.125
2020-09-24,20.46428
2020-09-25,17.625
2020-09-26,4.875
2020-09-27,3.0
2020-09-28,15.96428
2020-09-29,14.23214
2020-09-30,5.14285
2020-10-01,4.01785
2020-10-02,5.17857
2020-10-03,3.26785
2020-10-04,1.91071
2020-10-05,17.875
2020-10-06,20.58928
2020-10-07,18.85714
2020-10-08,19.66071
2020-10-09,9.44642
2020-10-10,4.875
2020-10-11,3.125
2020-10-12,21.07142
2020-10-13,18.35714
2020-10-14,19.83928
2020-10-15,20.08928
2020-10-16,18.14285
2020-10-17,5.07142
2020-10-18,2.71428
2020-10-19,17.73214
2020-10-20,19.73214
2020-10-21,20.71428
2020-10-22,19.75
2020-10-23,17.57142
2020-10-24,4.75
2020-10-25,2.64285
2020-10-26,20.35714
2020-10-27,19.80357
2020-10-28,19.26785
2020-10-29,20.41071
2020-10-30,21.23214
2020-10-31,5.71428
2020-11-01,3.5
2020-11-02,19.76785
2020-11-03,18.39285
2020-11-04,27.08928
2020-11-05,23.60714
2020-11-06,22.39285
2020-11-07,6.46428
2020-11-08,4.01785
2020-11-09,22.92857
2020-11-10,21.91071
2020-11-11,21.125
2020-11-12,20.49999
2020-11-13,20.42857
2020-11-14,5.01785
2020-11-15,3.16071
2020-11-16,20.30357
2020-11-17,20.17857
2020-11-18,19.125
2020-11-19,21.53571
2020-11-20,19.21428
2020-11-21,4.35714
2020-11-22,3.08928
2020-11-23,19.53571
2020-11-24,20.60714
2020-11-25,18.625
2020-11-26,17.83928
2020-11-27,17.91071
2020-11-28,5.03571
2020-11-29,3.55357
2020-11-30,19.07142
2020-12-01,17.26785
2020-12-02,20.85714
2020-12-03,21.98214
2020-12-04,25.80357
2020-12-05,6.39285
2020-12-06,3.69642
2020-12-07,22.01785
2020-12-08,21.91071
2020-12-09,20.23214
2020-12-10,21.35714
2020-12-11,21.625
2020-12-12,6.125
2020-12-13,3.66071
2020-12-14,21.91071
2020-12-15,20.625
2020-12-16,21.46428
2020-12-17,19.85714
2020-12-18,22.53571
2020-12-19,5.17857
2020-12-20,2.89285
2020-12-21,24.01785
2020-12-22,24.21428
2020-12-23,23.48214
2020-12-24,20.875
2020-12-25,6.01785
2020-12-26,3.30357
2020-12-27,2.80357
2020-12-28,19.71428
2020-12-29,19.75
2020-12-30,21.03571
2020-12-31,17.60714
2021-01-01,5.10714
2021-01-02,3.58928
2021-01-03,3.19642
2021-01-04,20.92857
2021-01-05,20.82142
2021-01-06,20.125
2021-01-07,20.32142
2021-01-08,22.25
2021-01-09,5.875
2021-01-10,3.42857
2021-01-11,20.125
2021-01-12,21.23214
2021-01-13,19.44642
2021-01-14,18.33928
2021-01-15,18.96428
2021-01-16,6.28571
2021-01-17,3.83928
2021-01-18,21.33928
2021-01-19,19.69642
2021-01-20,21.17857
2021-01-21,20.71428
2021-01-22,20.60714
2021-01-23,5.51785
2021-01-24,2.94642
2021-01-25,19.0
2021-01-26,18.76785
2021-01-27,18.30357
2021-01-28,27.82142
2021-01-29,26.5
2021-01-30,5.76785
2021-01-31,3.82142
2021-02-01,21.82142
2021-02-02,20.10714
2021-02-03,19.64285
2021-02-04,18.60714
2021-02-05,23.375
2021-02-06,5.42857
2021-02-07,4.05357
2021-02-08,19.625
2021-02-09,18.78571
2021-02-10,18.53571
2021-02-11,6.51785
2021-02-12,4.14285
2021-02-13,3.25
2021-02-14,2.91071
2021-02-15,18.57142
2021-02-16,21.46428
2021-02-17,19.28571
2021-02-18,19.32142
2021-02-19,19.66071
2021-02-20,4.58928
2021-02-21,2.875
2021-02-22,18.98214
2021-02-23,18.83928
2021-02-24,19.01785
2021-02-25,20.05357
2021-02-26,25.33928
2021-02-27,6.82142
2021-02-28,4.16071
2021-03-01,7.94642
2021-03-02,22.35714
2021-03-03,19.60714
2021-03-04,21.92857
2021-03-05,24.05357
2021-03-06,5.69642
2021-03-07,3.46428
2021-03-08,28.375
2021-03-09,30.44642
2021-03-10,27.82142
2021-03-11,25.64285
2021-03-12,25.64285
2021-03-13,6.69642
2021-03-14,4.21428
2021-03-15,22.78571
2021-03-16,22.44642
2021-03-17,20.51785
2021-03-18,22.60714
2021-03-19,21.01785
