date,자동차보험다이렉트
2020-03-20,26.88679
2020-03-21,14.38679
2020-03-22,15.64465
2020-03-23,32.94025
2020-03-24,32.78301
2020-03-25,30.58176
2020-03-26,28.93081
2020-03-27,30.97484
2020-03-28,12.89308
2020-03-29,15.8805
2020-03-30,38.12893
2020-03-31,24.84276
2020-04-01,35.45597
2020-04-02,31.60377
2020-04-03,29.32389
2020-04-04,14.38679
2020-04-05,12.18553
2020-04-06,36.71383
2020-04-07,33.88364
2020-04-08,35.77044
2020-04-09,31.2893
2020-04-10,30.18867
2020-04-11,16.58805
2020-04-12,13.83647
2020-04-13,36.71383
2020-04-14,31.91823
2020-04-15,16.74528
2020-04-16,35.92767
2020-04-17,30.66037
2020-04-18,13.99371
2020-04-19,17.29559
2020-04-20,38.60062
2020-04-21,42.21698
2020-04-22,33.56918
2020-04-23,34.11949
2020-04-24,28.61635
2020-04-25,13.75786
2020-04-26,17.37421
2020-04-27,39.30817
2020-04-28,36.32075
2020-04-29,36.47798
2020-04-30,16.98113
2020-05-01,23.97798
2020-05-02,13.20754
2020-05-03,13.44339
2020-05-04,39.9371
2020-05-05,19.10377
2020-05-06,43.08176
2020-05-07,41.74528
2020-05-08,34.74842
2020-05-09,18.08176
2020-05-10,20.6761
2020-05-11,45.99056
2020-05-12,38.83647
2020-05-13,32.86163
2020-05-14,32.54716
2020-05-15,35.53459
2020-05-16,14.62264
2020-05-17,16.43081
2020-05-18,38.36477
2020-05-19,36.5566
2020-05-20,35.84905
2020-05-21,38.67924
2020-05-22,31.52515
2020-05-23,15.56603
2020-05-24,18.31761
2020-05-25,37.89308
2020-05-26,38.05031
2020-05-27,36.0849
2020-05-28,34.74842
2020-05-29,31.21069
2020-05-30,14.4654
2020-05-31,18.63207
2020-06-01,33.72641
2020-06-02,34.90566
2020-06-03,39.70125
2020-06-04,35.6132
2020-06-05,29.63836
2020-06-06,13.91509
2020-06-07,16.03773
2020-06-08,36.39937
2020-06-09,34.04088
2020-06-10,34.27672
2020-06-11,33.80503
2020-06-12,28.45911
2020-06-13,13.67924
2020-06-14,17.13836
2020-06-15,40.56603
2020-06-16,33.33333
2020-06-17,28.22327
2020-06-18,31.52515
2020-06-19,26.88679
2020-06-20,15.56603
2020-06-21,18.55345
2020-06-22,41.03773
2020-06-23,35.53459
2020-06-24,34.04088
2020-06-25,32.31132
2020-06-26,28.22327
2020-06-27,18.47484
2020-06-28,14.54402
2020-06-29,40.48742
2020-06-30,36.16352
2020-07-01,35.53459
2020-07-02,32.62578
2020-07-03,28.93081
2020-07-04,15.17295
2020-07-05,15.17295
2020-07-06,38.75786
2020-07-07,35.22012
2020-07-08,30.34591
2020-07-09,30.18867
2020-07-10,30.73899
2020-07-11,15.09433
2020-07-12,17.13836
2020-07-13,35.37735
2020-07-14,31.2893
2020-07-15,34.11949
2020-07-16,29.63836
2020-07-17,29.55974
2020-07-18,13.83647
2020-07-19,16.66666
2020-07-20,33.41194
2020-07-21,29.95283
2020-07-22,29.79559
2020-07-23,31.83962
2020-07-24,30.81761
2020-07-25,16.11635
2020-07-26,15.17295
2020-07-27,33.33333
2020-07-28,29.16666
2020-07-29,29.79559
2020-07-30,28.45911
2020-07-31,26.65094
2020-08-01,15.8805
2020-08-02,17.68867
2020-08-03,32.94025
2020-08-04,30.42452
2020-08-05,32.46855
2020-08-06,29.87421
2020-08-07,30.34591
2020-08-08,11.71383
2020-08-09,17.13836
2020-08-10,40.33018
2020-08-11,32.62578
2020-08-12,30.81761
2020-08-13,28.93081
2020-08-14,29.71698
2020-08-15,13.05031
2020-08-16,14.22955
2020-08-17,20.83333
2020-08-18,34.27672
2020-08-19,36.94968
2020-08-20,38.44339
2020-08-21,33.72641
2020-08-22,14.85849
2020-08-23,15.95911
2020-08-24,46.14779
2020-08-25,36.24213
2020-08-26,35.06289
2020-08-27,28.45911
2020-08-28,32.86163
2020-08-29,12.10691
2020-08-30,12.65723
2020-08-31,38.83647
2020-09-01,35.92767
2020-09-02,35.45597
2020-09-03,32.54716
2020-09-04,30.18867
2020-09-05,15.95911
2020-09-06,20.04716
2020-09-07,40.25157
2020-09-08,32.62578
2020-09-09,31.2893
2020-09-10,30.50314
2020-09-11,29.87421
2020-09-12,17.21698
2020-09-13,17.84591
2020-09-14,34.27672
2020-09-15,33.72641
2020-09-16,30.89622
2020-09-17,32.7044
2020-09-18,28.53773
2020-09-19,12.26415
2020-09-20,12.65723
2020-09-21,32.62578
2020-09-22,32.15408
2020-09-23,32.7044
2020-09-24,29.71698
2020-09-25,27.04402
2020-09-26,13.83647
2020-09-27,13.12893
2020-09-28,33.88364
2020-09-29,25.15723
2020-09-30,13.99371
2020-10-01,10.69182
2020-10-02,9.66981
2020-10-03,13.12893
2020-10-04,14.70125
2020-10-05,40.64465
2020-10-06,33.09748
2020-10-07,38.91509
2020-10-08,33.01886
2020-10-09,15.09433
2020-10-10,13.60062
2020-10-11,15.80188
2020-10-12,40.95911
2020-10-13,37.18553
2020-10-14,37.65723
2020-10-15,31.91823
2020-10-16,29.24528
2020-10-17,13.52201
2020-10-18,14.38679
2020-10-19,39.9371
2020-10-20,37.73584
2020-10-21,32.7044
2020-10-22,31.99685
2020-10-23,24.44968
2020-10-24,17.92452
2020-10-25,17.92452
2020-10-26,32.54716
2020-10-27,34.11949
2020-10-28,35.77044
2020-10-29,33.01886
2020-10-30,23.82075
2020-10-31,16.58805
2020-11-01,19.18238
2020-11-02,37.57861
2020-11-03,36.0849
2020-11-04,31.52515
2020-11-05,32.07547
2020-11-06,28.22327
2020-11-07,13.91509
2020-11-08,17.05974
2020-11-09,39.15094
2020-11-10,33.80503
2020-11-11,36.5566
2020-11-12,29.32389
2020-11-13,31.05345
2020-11-14,12.65723
2020-11-15,17.92452
2020-11-16,36.0849
2020-11-17,30.26729
2020-11-18,32.7044
2020-11-19,30.34591
2020-11-20,26.02201
2020-11-21,13.20754
2020-11-22,14.07232
2020-11-23,33.25471
2020-11-24,33.96226
2020-11-25,33.64779
2020-11-26,30.73899
2020-11-27,28.8522
2020-11-28,12.18553
2020-11-29,15.25157
2020-11-30,30.73899
2020-12-01,37.18553
2020-12-02,34.35534
2020-12-03,38.36477
2020-12-04,30.73899
2020-12-05,14.30817
2020-12-06,19.57547
2020-12-07,36.32075
2020-12-08,34.90566
2020-12-09,36.16352
2020-12-10,38.91509
2020-12-11,29.24528
2020-12-12,15.09433
2020-12-13,16.27358
2020-12-14,39.15094
2020-12-15,36.63522
2020-12-16,33.09748
2020-12-17,33.01886
2020-12-18,31.44654
2020-12-19,15.80188
2020-12-20,16.74528
2020-12-21,38.12893
2020-12-22,34.82704
2020-12-23,29.32389
2020-12-24,26.25786
2020-12-25,15.4088
2020-12-26,15.56603
2020-12-27,15.01572
2020-12-28,38.44339
2020-12-29,33.88364
2020-12-30,33.49056
2020-12-31,26.88679
2021-01-01,15.8805
2021-01-02,16.74528
2021-01-03,19.49685
2021-01-04,41.74528
2021-01-05,40.48742
2021-01-06,34.59119
2021-01-07,28.61635
2021-01-08,27.20125
2021-01-09,17.68867
2021-01-10,19.88993
2021-01-11,34.43396
2021-01-12,35.06289
2021-01-13,30.26729
2021-01-14,31.68238
2021-01-15,27.04402
2021-01-16,16.90251
2021-01-17,19.57547
2021-01-18,31.44654
2021-01-19,29.32389
2021-01-20,32.78301
2021-01-21,33.64779
2021-01-22,28.77358
2021-01-23,16.82389
2021-01-24,16.03773
2021-01-25,33.88364
2021-01-26,32.62578
2021-01-27,31.44654
2021-01-28,27.75157
2021-01-29,25.39308
2021-01-30,15.17295
2021-01-31,16.90251
2021-02-01,31.60377
2021-02-02,28.45911
2021-02-03,34.35534
2021-02-04,25.31446
2021-02-05,28.61635
2021-02-06,18.47484
2021-02-07,15.80188
2021-02-08,33.1761
2021-02-09,28.69496
2021-02-10,27.9088
2021-02-11,14.54402
2021-02-12,11.24213
2021-02-13,10.45597
2021-02-14,17.29559
2021-02-15,42.13836
2021-02-16,35.6132
2021-02-17,34.19811
2021-02-18,28.53773
2021-02-19,30.18867
2021-02-20,13.83647
2021-02-21,13.91509
2021-02-22,36.94968
2021-02-23,34.11949
2021-02-24,29.79559
2021-02-25,34.27672
2021-02-26,31.68238
2021-02-27,15.4088
2021-02-28,13.44339
2021-03-01,20.12578
2021-03-02,40.80188
2021-03-03,35.84905
2021-03-04,34.51257
2021-03-05,31.52515
2021-03-06,17.29559
2021-03-07,19.02515
2021-03-08,40.56603
2021-03-09,32.2327
2021-03-10,30.03144
2021-03-11,29.08805
2021-03-12,28.69496
2021-03-13,13.52201
2021-03-14,15.01572
2021-03-15,38.67924
2021-03-16,32.62578
2021-03-17,31.52515
2021-03-18,27.75157
2021-03-19,24.44968
2021-03-20,17.68867
2021-03-21,16.03773
2021-03-22,37.42138
2021-03-23,33.56918
2021-03-24,28.30188
2021-03-25,27.4371
2021-03-26,23.89937
2021-03-27,14.30817
2021-03-28,16.43081
2021-03-29,36.24213
2021-03-30,28.3805
2021-03-31,23.97798
2021-04-01,28.30188
2021-04-02,24.0566
2021-04-03,13.52201
2021-04-04,16.3522
2021-04-05,33.64779
2021-04-06,34.19811
2021-04-07,27.51572
