date,고액암종류
2020-03-20,68.60841
2020-03-21,40.12944
2020-03-22,41.42394
2020-03-23,66.01941
2020-03-24,88.99676
2020-03-25,89.32038
2020-03-26,88.67313
2020-03-27,89.32038
2020-03-28,50.48543
2020-03-29,39.4822
2020-03-30,78.9644
2020-03-31,59.54692
2020-04-01,53.72168
2020-04-02,48.86731
2020-04-03,46.27831
2020-04-04,29.44983
2020-04-05,27.50809
2020-04-06,51.77993
2020-04-07,54.0453
2020-04-08,55.01618
2020-04-09,63.10679
2020-04-10,57.60517
2020-04-11,35.92233
2020-04-12,30.42071
2020-04-13,49.51456
2020-04-14,55.3398
2020-04-15,31.71521
2020-04-16,52.7508
2020-04-17,59.2233
2020-04-18,37.54045
2020-04-19,31.06796
2020-04-20,53.07443
2020-04-21,63.10679
2020-04-22,65.37216
2020-04-23,58.57605
2020-04-24,59.87055
2020-04-25,35.27508
2020-04-26,28.15533
2020-04-27,52.10355
2020-04-28,46.92556
2020-04-29,39.80582
2020-04-30,36.24595
2020-05-01,21.03559
2020-05-02,23.62459
2020-05-03,20.38834
2020-05-04,41.10032
2020-05-05,31.39158
2020-05-06,50.80906
2020-05-07,49.83818
2020-05-08,57.60517
2020-05-09,38.83495
2020-05-10,27.50809
2020-05-11,53.07443
2020-05-12,57.9288
2020-05-13,61.16504
2020-05-14,76.05177
2020-05-15,65.04854
2020-05-16,35.27508
2020-05-17,25.24271
2020-05-18,60.84142
2020-05-19,67.63754
2020-05-20,76.69902
2020-05-21,77.34627
2020-05-22,66.34304
2020-05-23,33.33333
2020-05-24,28.80258
2020-05-25,49.83818
2020-05-26,63.75404
2020-05-27,70.55016
2020-05-28,70.87378
2020-05-29,52.10355
2020-05-30,30.42071
2020-05-31,24.91909
2020-06-01,59.54692
2020-06-02,60.19417
2020-06-03,67.96116
2020-06-04,62.78317
2020-06-05,64.07766
2020-06-06,29.12621
2020-06-07,20.71197
2020-06-08,61.48867
2020-06-09,65.69579
2020-06-10,60.51779
2020-06-11,67.31391
2020-06-12,70.22653
2020-06-13,37.86407
2020-06-14,24.27184
2020-06-15,60.51779
2020-06-16,65.04854
2020-06-17,69.90291
2020-06-18,75.40453
2020-06-19,65.37216
2020-06-20,28.47896
2020-06-21,30.74433
2020-06-22,60.84142
2020-06-23,62.13592
2020-06-24,69.25566
