date,해외ETF
2020-12-12,20.10869
2020-12-13,23.36956
2020-12-14,38.58695
2020-12-15,32.88043
2020-12-16,34.51086
2020-12-17,35.05434
2020-12-18,37.22826
2020-12-19,31.79347
2020-12-20,28.5326
2020-12-21,63.85869
2020-12-22,68.20652
2020-12-23,55.97826
2020-12-24,55.43478
2020-12-25,44.83695
2020-12-26,37.5
2020-12-27,41.30434
2020-12-28,72.55434
2020-12-29,66.0326
2020-12-30,58.15217
2020-12-31,55.43478
2021-01-01,40.76086
2021-01-02,36.95652
2021-01-03,51.35869
2021-01-04,87.5
2021-01-05,70.10869
2021-01-06,74.45652
2021-01-07,61.68478
2021-01-08,91.30434
2021-01-09,64.94565
2021-01-10,64.67391
2021-01-11,87.77173
2021-01-12,81.52173
2021-01-13,95.10869
2021-01-14,85.05434
2021-01-15,73.91304
2021-01-16,48.36956
2021-01-17,58.42391
2021-01-18,67.93478
2021-01-19,67.93478
2021-01-20,79.34782
2021-01-21,100.0
2021-01-22,92.66304
2021-01-23,67.3913
2021-01-24,63.85869
2021-01-25,99.45652
2021-01-26,95.65217
2021-01-27,87.5
2021-01-28,67.3913
2021-01-29,57.06521
2021-01-30,40.21739
2021-01-31,43.75
2021-02-01,60.59782
2021-02-02,76.90217
2021-02-03,75.27173
2021-02-04,57.88043
2021-02-05,64.67391
2021-02-06,44.02173
2021-02-07,43.20652
2021-02-08,62.22826
2021-02-09,81.79347
2021-02-10,79.07608
2021-02-11,65.21739
2021-02-12,61.41304
2021-02-13,55.43478
2021-02-14,57.88043
2021-02-15,78.80434
2021-02-16,86.41304
2021-02-17,73.6413
2021-02-18,63.04347
2021-02-19,48.6413
2021-02-20,39.40217
2021-02-21,39.13043
2021-02-22,54.07608
2021-02-23,50.0
2021-02-24,47.55434
2021-02-25,50.0
2021-02-26,35.05434
2021-02-27,20.38043
2021-02-28,20.92391
2021-03-01,27.71739
2021-03-02,26.63043
2021-03-03,29.34782
2021-03-04,34.23913
2021-03-05,27.17391
2021-03-06,18.20652
2021-03-07,19.29347
2021-03-08,32.06521
2021-03-09,30.70652
2021-03-10,36.1413
2021-03-11,34.23913
2021-03-12,32.33695
2021-03-13,23.09782
2021-03-14,23.6413
2021-03-15,39.13043
2021-03-16,44.02173
2021-03-17,28.5326
2021-03-18,33.96739
2021-03-19,25.54347
2021-03-20,16.30434
2021-03-21,20.38043
2021-03-22,22.82608
2021-03-23,23.09782
2021-03-24,23.6413
2021-03-25,25.54347
2021-03-26,27.71739
2021-03-27,17.66304
2021-03-28,15.76086
2021-03-29,27.71739
2021-03-30,29.8913
2021-03-31,30.16304
2021-04-01,39.40217
2021-04-02,28.80434
2021-04-03,19.29347
2021-04-04,20.10869
2021-04-05,39.40217
2021-04-06,44.83695
2021-04-07,47.82608
2021-04-08,41.57608
2021-04-09,36.1413
2021-04-10,23.36956
2021-04-11,23.36956
2021-04-12,49.72826
2021-04-13,34.51086
2021-04-14,48.6413
2021-04-15,42.3913
2021-04-16,39.13043
2021-04-17,22.01086
2021-04-18,17.93478
2021-04-19,34.23913
2021-04-20,28.5326
2021-04-21,33.69565
2021-04-22,35.05434
2021-04-23,34.7826
2021-04-24,23.6413
2021-04-25,17.93478
2021-04-26,30.70652
2021-04-27,34.7826
2021-04-28,27.98913
2021-04-29,24.45652
2021-04-30,30.43478
2021-05-01,18.20652
2021-05-02,17.93478
2021-05-03,32.33695
2021-05-04,36.1413
2021-05-05,24.72826
2021-05-06,29.34782
2021-05-07,29.07608
2021-05-08,21.46739
2021-05-09,16.57608
2021-05-10,31.79347
2021-05-11,32.88043
2021-05-12,22.2826
2021-05-13,23.09782
2021-05-14,24.72826
2021-05-15,14.13043
2021-05-16,12.77173
2021-05-17,25.81521
2021-05-18,22.82608
2021-05-19,17.66304
2021-05-20,18.20652
2021-05-21,26.63043
2021-05-22,15.48913
2021-05-23,16.30434
2021-05-24,25.27173
2021-05-25,24.45652
2021-05-26,23.09782
2021-05-27,20.92391
2021-05-28,26.35869
2021-05-29,16.84782
2021-05-30,14.40217
2021-05-31,23.91304
2021-06-01,21.46739
2021-06-02,26.08695
2021-06-03,20.65217
2021-06-04,19.83695
2021-06-05,11.68478
2021-06-06,14.13043
2021-06-07,27.98913
2021-06-08,23.6413
2021-06-09,19.29347
2021-06-10,14.67391
2021-06-11,22.01086
2021-06-12,15.76086
2021-06-13,14.40217
2021-06-14,26.08695
2021-06-15,28.5326
2021-06-16,23.09782
2021-06-17,21.19565
2021-06-18,22.01086
2021-06-19,11.68478
2021-06-20,14.67391
2021-06-21,18.75
2021-06-22,20.10869
2021-06-23,24.45652
2021-06-24,20.38043
2021-06-25,25.54347
2021-06-26,16.84782
2021-06-27,12.77173
2021-06-28,27.44565
2021-06-29,24.72826
2021-06-30,26.35869
2021-07-01,29.61956
2021-07-02,19.02173
2021-07-03,17.93478
2021-07-04,18.75
2021-07-05,29.61956
2021-07-06,34.23913
2021-07-07,31.52173
2021-07-08,26.35869
2021-07-09,22.2826
2021-07-10,14.67391
2021-07-11,18.47826
2021-07-12,31.52173
2021-07-13,30.43478
2021-07-14,28.5326
2021-07-15,22.01086
2021-07-16,25.0
2021-07-17,10.59782
2021-07-18,13.31521
2021-07-19,27.44565
2021-07-20,24.45652
2021-07-21,26.63043
2021-07-22,24.72826
2021-07-23,32.06521
2021-07-24,17.66304
2021-07-25,8.69565
2021-07-26,24.45652
2021-07-27,38.85869
2021-07-28,32.06521
2021-07-29,30.70652
2021-07-30,22.2826
2021-07-31,15.48913
2021-08-01,17.11956
2021-08-02,20.92391
2021-08-03,24.72826
2021-08-04,28.26086
2021-08-05,38.04347
2021-08-06,44.02173
2021-08-07,26.35869
2021-08-08,28.26086
2021-08-09,39.13043
2021-08-10,41.84782
2021-08-11,37.5
2021-08-12,39.40217
2021-08-13,51.90217
2021-08-14,27.17391
2021-08-15,22.2826
2021-08-16,26.35869
2021-08-17,40.21739
2021-08-18,34.7826
2021-08-19,34.7826
2021-08-20,38.58695
2021-08-21,24.72826
2021-08-22,24.72826
2021-08-23,35.59782
2021-08-24,47.2826
2021-08-25,49.72826
2021-08-26,42.93478
2021-08-27,39.94565
2021-08-28,29.34782
2021-08-29,35.86956
2021-08-30,46.46739
2021-08-31,57.33695
2021-09-01,49.45652
2021-09-02,54.07608
2021-09-03,48.91304
2021-09-04,34.23913
2021-09-05,33.15217
2021-09-06,50.27173
2021-09-07,37.77173
2021-09-08,45.10869
2021-09-09,33.15217
2021-09-10,36.95652
2021-09-11,21.19565
2021-09-12,26.08695
2021-09-13,36.1413
2021-09-14,42.93478
2021-09-15,30.70652
2021-09-16,32.88043
2021-09-17,32.06521
2021-09-18,19.29347
2021-09-19,17.3913
2021-09-20,16.57608
2021-09-21,23.36956
2021-09-22,25.54347
2021-09-23,39.94565
2021-09-24,51.35869
2021-09-25,29.07608
2021-09-26,27.44565
2021-09-27,36.95652
2021-09-28,35.59782
2021-09-29,39.67391
