date,집에서할수있는알바
2020-03-20,41.66666
2020-03-21,45.83333
2020-03-22,46.875
2020-03-23,75.0
2020-03-24,60.41666
2020-03-25,57.29166
2020-03-26,71.875
2020-03-27,52.08333
2020-03-28,55.20833
2020-03-29,59.375
2020-03-30,50.0
2020-03-31,39.58333
2020-04-01,53.125
2020-04-02,37.5
2020-04-03,43.75
2020-04-04,28.125
2020-04-05,37.5
2020-04-06,72.91666
2020-04-07,85.41666
2020-04-08,81.25
2020-04-09,44.79166
2020-04-10,41.66666
2020-04-11,40.625
2020-04-12,58.33333
2020-04-13,54.16666
2020-04-14,47.91666
2020-04-15,60.41666
2020-04-16,50.0
2020-04-17,59.375
2020-04-18,35.41666
2020-04-19,51.04166
2020-04-20,72.91666
2020-04-21,41.66666
2020-04-22,17.70833
2020-04-23,36.45833
2020-04-24,32.29166
2020-04-25,39.58333
2020-04-26,37.5
2020-04-27,52.08333
2020-04-28,48.95833
2020-04-29,55.20833
2020-04-30,32.29166
2020-05-01,25.0
2020-05-02,23.95833
2020-05-03,34.375
2020-05-04,47.91666
2020-05-05,42.70833
2020-05-06,51.04166
2020-05-07,51.04166
2020-05-08,39.58333
2020-05-09,41.66666
2020-05-10,46.875
2020-05-11,85.41666
2020-05-12,56.25
2020-05-13,54.16666
2020-05-14,72.91666
2020-05-15,53.125
2020-05-16,30.20833
2020-05-17,53.125
2020-05-18,64.58333
2020-05-19,45.83333
2020-05-20,65.625
2020-05-21,60.41666
2020-05-22,50.0
2020-05-23,27.08333
2020-05-24,46.875
2020-05-25,62.5
2020-05-26,53.125
2020-05-27,52.08333
2020-05-28,36.45833
2020-05-29,34.375
2020-05-30,31.25
2020-05-31,39.58333
2020-06-01,41.66666
2020-06-02,41.66666
2020-06-03,40.625
2020-06-04,38.54166
2020-06-05,48.95833
2020-06-06,23.95833
2020-06-07,36.45833
2020-06-08,44.79166
2020-06-09,27.08333
2020-06-10,28.125
2020-06-11,21.875
2020-06-12,26.04166
2020-06-13,19.79166
2020-06-14,26.04166
2020-06-15,25.0
2020-06-16,18.75
2020-06-17,30.20833
2020-06-18,37.5
2020-06-19,13.54166
2020-06-20,16.66666
2020-06-21,15.625
2020-06-22,27.08333
2020-06-23,31.25
2020-06-24,22.91666
2020-06-25,33.33333
2020-06-26,17.70833
2020-06-27,10.41666
2020-06-28,20.83333
2020-06-29,25.0
2020-06-30,42.70833
2020-07-01,47.91666
2020-07-02,42.70833
2020-07-03,37.5
2020-07-04,18.75
2020-07-05,27.08333
2020-07-06,23.95833
2020-07-07,25.0
2020-07-08,31.25
2020-07-09,41.66666
2020-07-10,29.16666
2020-07-11,14.58333
2020-07-12,32.29166
2020-07-13,26.04166
2020-07-14,14.58333
2020-07-15,26.04166
2020-07-16,29.16666
2020-07-17,32.29166
2020-07-18,22.91666
2020-07-19,20.83333
2020-07-20,39.58333
2020-07-21,26.04166
2020-07-22,31.25
2020-07-23,33.33333
2020-07-24,14.58333
2020-07-25,6.25
2020-07-26,7.29166
2020-07-27,38.54166
2020-07-28,29.16666
2020-07-29,26.04166
2020-07-31,15.625
2020-08-01,17.70833
2020-08-02,15.625
2020-08-03,42.70833
2020-08-04,7.29166
2020-08-05,23.95833
2020-08-06,19.79166
2020-08-07,27.08333
2020-08-08,20.83333
2020-08-09,18.75
2020-08-10,34.375
2020-08-11,18.75
2020-08-12,26.04166
2020-08-13,26.04166
2020-08-14,13.54166
2020-08-15,11.45833
2020-08-16,17.70833
2020-08-17,22.91666
2020-08-18,33.33333
2020-08-19,60.41666
2020-08-20,36.45833
2020-08-21,26.04166
2020-08-22,25.0
2020-08-23,29.16666
2020-08-24,45.83333
2020-08-25,63.54166
2020-08-26,59.375
2020-08-27,66.66666
2020-08-28,67.70833
2020-08-29,52.08333
2020-08-30,44.79166
2020-08-31,67.70833
2020-09-01,42.70833
2020-09-02,43.75
2020-09-03,37.5
2020-09-04,39.58333
2020-09-05,31.25
2020-09-06,31.25
2020-09-07,60.41666
2020-09-08,61.45833
2020-09-09,69.79166
2020-09-10,38.54166
2020-09-11,34.375
2020-09-12,35.41666
2020-09-13,32.29166
2020-09-14,52.08333
2020-09-15,32.29166
2020-09-16,31.25
2020-09-17,53.125
2020-09-18,23.95833
2020-09-19,23.95833
2020-09-20,15.625
2020-09-21,48.95833
2020-09-22,26.04166
2020-09-23,28.125
2020-09-24,28.125
2020-09-25,16.66666
2020-09-26,20.83333
2020-09-27,13.54166
2020-09-28,13.54166
2020-09-29,29.16666
2020-09-30,6.25
2020-10-01,9.375
2020-10-02,6.25
2020-10-03,9.375
2020-10-04,16.66666
2020-10-05,15.625
2020-10-06,8.33333
2020-10-07,15.625
2020-10-08,25.0
2020-10-09,16.66666
2020-10-10,9.375
2020-10-12,15.625
2020-10-13,14.58333
2020-10-14,12.5
2020-10-15,10.41666
2020-10-16,18.75
2020-10-17,5.20833
2020-10-18,8.33333
2020-10-19,12.5
2020-10-20,17.70833
2020-10-21,12.5
2020-10-22,5.20833
2020-10-23,23.95833
2020-10-24,22.91666
2020-10-25,9.375
2020-10-26,9.375
2020-10-27,7.29166
2020-10-28,18.75
2020-10-29,28.125
2020-10-30,9.375
2020-11-01,10.41666
2020-11-02,8.33333
2020-11-03,11.45833
2020-11-04,17.70833
2020-11-05,9.375
2020-11-06,7.29166
2020-11-07,8.33333
2020-11-08,7.29166
2020-11-09,22.91666
2020-11-10,12.5
2020-11-11,18.75
2020-11-12,22.91666
2020-11-13,15.625
2020-11-14,6.25
2020-11-15,17.70833
2020-11-16,7.29166
2020-11-17,15.625
2020-11-18,10.41666
2020-11-19,10.41666
2020-11-20,17.70833
2020-11-21,13.54166
2020-11-22,17.70833
2020-11-23,21.875
2020-11-24,12.5
2020-11-25,21.875
2020-11-26,14.58333
2020-11-27,25.0
2020-11-28,13.54166
2020-11-29,20.83333
2020-11-30,21.875
2020-12-01,13.54166
2020-12-02,28.125
2020-12-03,21.875
2020-12-04,38.54166
2020-12-05,34.375
2020-12-06,54.16666
2020-12-07,62.5
2020-12-08,91.66666
2020-12-09,77.08333
2020-12-10,70.83333
2020-12-11,59.375
2020-12-12,66.66666
2020-12-13,63.54166
2020-12-14,79.16666
2020-12-15,85.41666
2020-12-16,100.0
2020-12-17,79.16666
2020-12-18,67.70833
2020-12-19,55.20833
2020-12-20,78.125
2020-12-21,84.375
2020-12-22,64.58333
2020-12-23,66.66666
2020-12-24,56.25
2020-12-25,44.79166
2020-12-26,48.95833
2020-12-27,64.58333
2020-12-28,79.16666
2020-12-29,72.91666
2020-12-30,63.54166
2020-12-31,42.70833
2021-01-01,35.41666
2021-01-02,36.45833
2021-01-03,34.375
2021-01-04,59.375
2021-01-05,51.04166
2021-01-06,45.83333
2021-01-07,53.125
2021-01-08,56.25
2021-01-09,33.33333
2021-01-10,34.375
2021-01-11,47.91666
2021-01-12,30.20833
2021-01-13,33.33333
2021-01-14,31.25
2021-01-15,28.125
2021-01-16,41.66666
2021-01-17,45.83333
2021-01-18,61.45833
2021-01-19,47.91666
2021-01-20,63.54166
2021-01-21,43.75
2021-01-22,34.375
2021-01-23,34.375
2021-01-24,30.20833
2021-01-25,26.04166
2021-01-26,31.25
2021-01-27,19.79166
2021-01-28,41.66666
2021-01-29,38.54166
2021-01-30,39.58333
2021-01-31,29.16666
2021-02-01,36.45833
2021-02-02,37.5
2021-02-03,30.20833
2021-02-04,33.33333
2021-02-05,40.625
2021-02-06,36.45833
2021-02-07,23.95833
2021-02-08,33.33333
2021-02-09,31.25
2021-02-10,25.0
2021-02-11,10.41666
2021-02-12,9.375
2021-02-13,34.375
2021-02-14,55.20833
2021-02-15,45.83333
2021-02-16,46.875
2021-02-17,32.29166
2021-02-18,40.625
2021-02-19,33.33333
2021-02-20,16.66666
2021-02-21,37.5
2021-02-22,31.25
2021-02-23,55.20833
2021-02-24,28.125
2021-02-25,56.25
2021-02-26,25.0
2021-02-27,17.70833
2021-02-28,17.70833
2021-03-01,18.75
2021-03-02,42.70833
2021-03-03,35.41666
2021-03-04,40.625
2021-03-05,31.25
2021-03-06,37.5
2021-03-07,22.91666
2021-03-08,53.125
2021-03-09,50.0
2021-03-10,40.625
2021-03-11,37.5
2021-03-12,48.95833
2021-03-13,18.75
2021-03-14,33.33333
2021-03-15,34.375
2021-03-16,36.45833
2021-03-17,38.54166
2021-03-18,25.0
2021-03-19,31.25
2021-03-20,21.875
2021-03-21,22.91666
2021-03-22,47.91666
2021-03-23,47.91666
2021-03-24,47.91666
2021-03-25,30.20833
2021-03-26,27.08333
2021-03-27,25.0
2021-03-28,16.66666
2021-03-29,38.54166
2021-03-30,33.33333
2021-03-31,23.95833
2021-04-01,27.08333
2021-04-02,18.75
2021-04-03,19.79166
2021-04-04,29.16666
2021-04-05,45.83333
2021-04-06,36.45833
2021-04-07,32.29166
2021-04-08,28.125
2021-04-09,34.375
2021-04-10,18.75
2021-04-11,42.70833
