date,나스닥실시간
2020-03-20,19.561
2020-03-21,8.23111
2020-03-22,3.29244
2020-03-23,25.43576
2020-03-24,26.30729
2020-03-25,23.75726
2020-03-26,19.01226
2020-03-27,12.36281
2020-03-28,4.5836
2020-03-29,1.64622
2020-03-30,11.94318
2020-03-31,12.78244
2020-04-01,14.04131
2020-04-02,17.20464
2020-04-03,9.58683
2020-04-04,2.7437
2020-04-05,0.83925
2020-04-06,8.84441
2020-04-07,11.6204
2020-04-08,13.07295
2020-04-09,10.78114
2020-04-10,6.06843
2020-04-11,1.35571
2020-04-12,0.4519
2020-04-13,9.71594
2020-04-14,8.61846
2020-04-15,9.55455
2020-04-16,9.65138
2020-04-17,8.65074
2020-04-18,2.2918
2020-04-19,0.77469
2020-04-20,6.84312
2020-04-21,8.06972
2020-04-22,8.23111
2020-04-23,8.102
2020-04-24,6.19754
2020-04-25,1.35571
2020-04-26,0.25823
2020-04-27,4.68043
2020-04-28,5.16462
2020-04-29,5.29373
2020-04-30,6.52033
2020-05-01,6.10071
2020-05-02,2.45319
2020-05-03,0.61329
2020-05-04,5.61652
2020-05-05,5.74564
2020-05-06,6.19754
2020-05-07,4.97094
2020-05-08,4.51904
2020-05-09,1.12976
2020-05-10,0.41962
2020-05-11,5.32601
2020-05-12,5.42285
2020-05-13,6.77856
2020-05-14,8.03744
2020-05-15,6.03615
2020-05-16,1.12976
2020-05-17,0.4519
2020-05-18,5.13234
2020-05-19,6.19754
2020-05-20,5.10006
2020-05-21,5.68108
2020-05-22,5.61652
2020-05-23,1.42027
2020-05-24,0.80697
2020-05-25,6.61717
2020-05-26,6.22982
2020-05-27,6.68173
2020-05-28,6.29438
2020-05-29,5.6488
2020-05-30,1.29115
2020-05-31,0.38734
2020-06-01,5.87475
2020-06-02,5.0355
2020-06-03,5.1969
2020-06-04,5.22918
2020-06-05,6.39122
2020-06-06,2.58231
2020-06-07,0.61329
2020-06-08,7.29502
2020-06-09,15.07424
2020-06-10,14.42866
2020-06-11,20.04519
2020-06-12,30.21304
2020-06-13,7.77921
2020-06-14,2.06584
2020-06-15,34.15106
2020-06-16,29.69657
2020-06-17,23.88637
2020-06-18,18.91542
2020-06-19,16.36539
2020-06-20,4.29309
2020-06-21,2.35635
2020-06-22,13.26662
2020-06-23,17.55971
2020-06-24,17.04325
2020-06-25,28.66365
2020-06-26,16.97869
2020-06-27,5.06778
2020-06-28,3.32472
2020-06-29,28.82504
2020-06-30,20.36797
2020-07-01,18.07617
2020-07-02,14.5255
2020-07-03,14.33182
2020-07-04,4.16397
2020-07-05,1.90445
2020-07-06,15.07424
2020-07-07,17.97934
2020-07-08,14.42866
2020-07-09,14.65461
2020-07-10,17.65655
2020-07-11,4.22853
2020-07-12,1.5171
2020-07-13,15.55842
2020-07-14,25.75855
2020-07-15,18.75403
2020-07-16,18.91542
2020-07-17,13.07295
2020-07-18,3.61523
2020-07-19,1.12976
2020-07-20,14.5255
2020-07-21,15.65526
2020-07-22,15.17107
2020-07-23,13.65397
2020-07-24,17.10781
2020-07-25,5.1969
2020-07-26,1.35571
2020-07-27,12.87927
2020-07-28,12.33053
2020-07-29,11.71723
2020-07-30,15.39703
2020-07-31,10.74887
2020-08-01,2.51775
2020-08-02,0.87153
2020-08-03,8.06972
2020-08-04,9.39315
2020-08-05,9.13492
2020-08-06,8.23111
2020-08-07,8.48934
2020-08-08,4.45448
2020-08-09,0.4519
2020-08-10,7.77921
2020-08-11,10.52291
2020-08-12,11.6204
2020-08-13,8.74757
2020-08-14,6.58489
2020-08-15,2.35635
2020-08-16,0.32278
2020-08-17,5.13234
2020-08-18,7.71465
2020-08-19,5.61652
2020-08-20,9.52227
2020-08-21,8.84441
2020-08-22,3.42156
2020-08-23,0.96836
2020-08-24,7.10135
2020-08-25,8.32795
2020-08-26,7.10135
2020-08-27,7.87604
2020-08-28,6.52033
2020-08-29,1.80761
2020-08-30,0.64557
2020-08-31,5.61652
2020-09-01,9.19948
2020-09-02,9.71594
2020-09-03,14.59005
2020-09-04,49.8386
2020-09-05,22.07876
2020-09-06,2.22724
2020-09-07,17.59199
2020-09-08,48.41833
2020-09-09,42.67269
2020-09-10,30.82633
2020-09-11,25.85539
2020-09-12,10.61975
2020-09-13,2.84054
2020-09-14,17.81794
2020-09-15,21.14267
2020-09-16,18.59264
2020-09-17,29.18011
2020-09-18,25.33892
2020-09-19,9.65138
2020-09-20,1.83989
2020-09-21,29.27695
2020-09-22,37.92769
2020-09-23,28.63137
2020-09-24,48.45061
2020-09-25,34.28018
2020-09-26,9.52227
2020-09-27,2.58231
2020-09-28,18.14073
2020-09-29,17.04325
2020-09-30,15.4293
2020-10-01,15.46158
2020-10-02,41.51065
2020-10-03,18.39896
2020-10-04,5.0355
2020-10-05,19.59328
2020-10-06,20.65848
2020-10-07,22.82117
2020-10-08,14.68689
2020-10-09,9.48999
2020-10-10,5.1969
2020-10-11,1.42027
2020-10-12,10.97482
2020-10-13,18.62491
2020-10-14,15.04196
2020-10-15,21.04583
2020-10-16,14.81601
2020-10-17,6.84312
2020-10-18,2.06584
2020-10-19,13.26662
2020-10-20,17.4306
2020-10-21,14.68689
2020-10-22,15.78437
2020-10-23,12.29825
2020-10-24,5.00322
2020-10-25,1.5171
2020-10-26,11.10393
2020-10-27,14.59005
2020-10-28,17.8825
2020-10-29,22.36927
2020-10-30,18.23757
2020-10-31,8.39251
2020-11-01,1.96901
2020-11-02,14.3641
2020-11-03,17.14009
2020-11-04,21.56229
2020-11-05,22.43382
2020-11-06,16.10716
2020-11-07,5.26145
2020-11-08,1.74306
2020-11-09,17.91478
2020-11-10,21.30406
2020-11-11,17.85022
2020-11-12,14.26726
2020-11-13,13.26662
2020-11-14,4.80955
2020-11-15,1.0652
2020-11-16,8.36023
2020-11-17,14.23499
2020-11-18,12.13686
2020-11-19,11.87863
2020-11-20,11.26533
2020-11-21,3.74435
2020-11-22,0.93608
2020-11-23,6.22982
2020-11-24,12.04002
2020-11-25,11.84635
2020-11-26,10.91026
2020-11-27,9.07036
2020-11-28,4.38992
2020-11-29,0.61329
2020-11-30,7.90832
2020-12-01,9.42543
2020-12-02,11.55584
2020-12-03,11.91091
2020-12-04,9.58683
2020-12-05,3.55067
2020-12-06,0.51646
2020-12-07,6.13298
2020-12-08,9.42543
2020-12-09,9.36087
2020-12-10,14.78373
2020-12-11,13.46029
2020-12-12,4.74499
2020-12-13,0.80697
2020-12-14,4.93867
2020-12-15,8.00516
2020-12-16,8.94125
2020-12-17,9.45771
2020-12-18,7.52098
2020-12-19,3.51839
2020-12-20,0.71013
2020-12-21,9.10264
2020-12-22,16.39767
2020-12-23,12.62104
2020-12-24,8.45706
2020-12-25,3.74435
2020-12-26,0.93608
2020-12-27,1.00064
2020-12-28,5.58424
2020-12-29,7.65009
2020-12-30,8.13428
2020-12-31,5.55196
2021-01-01,3.06649
2021-01-02,0.71013
2021-01-03,0.38734
2021-01-04,5.74564
2021-01-05,13.55713
