date,변액보험
2020-03-20,16.39612
2020-03-21,8.35443
2020-03-22,14.13253
2020-03-23,51.1988
2020-03-24,36.51526
2020-03-25,15.6962
2020-03-26,15.17498
2020-03-27,11.06478
2020-03-28,5.16753
2020-03-29,5.52494
2020-03-30,9.12881
2020-03-31,8.17572
2020-04-01,7.0886
2020-04-02,7.99702
2020-04-03,100.0
2020-04-04,84.67609
2020-04-05,38.51079
2020-04-06,23.18689
2020-04-07,18.00446
2020-04-08,16.94713
2020-04-09,14.1921
2020-04-10,13.89426
2020-04-11,10.54355
2020-04-12,11.2137
2020-04-13,11.54132
2020-04-14,10.58823
2020-04-15,8.27997
2020-04-16,9.30752
2020-04-17,10.58823
2020-04-18,6.92479
2020-04-19,8.23529
2020-04-20,10.36485
2020-04-21,9.91809
2020-04-22,10.17125
2020-04-23,11.89873
2020-04-24,9.97766
2020-04-25,7.37155
2020-04-26,7.50558
2020-04-27,10.18615
2020-04-28,9.02457
2020-04-29,6.99925
2020-04-30,5.52494
2020-05-01,5.01861
2020-05-02,3.76768
2020-05-03,4.36336
2020-05-04,6.74609
2020-05-05,5.55472
2020-05-06,6.85033
2020-05-07,7.4609
2020-05-08,6.76098
2020-05-09,4.12509
2020-05-10,4.69099
2020-05-11,7.22263
2020-05-12,7.25241
2020-05-13,6.9099
2020-05-14,7.35666
2020-05-15,6.70141
2020-05-16,5.88235
2020-05-17,6.64184
2020-05-18,8.3991
2020-05-19,7.75874
2020-05-20,7.99702
2020-05-21,7.53536
2020-05-22,8.45867
2020-05-23,5.55472
2020-05-24,4.36336
2020-05-25,8.68205
2020-05-26,7.75874
2020-05-27,7.6545
2020-05-28,8.27997
2020-05-29,7.4758
2020-05-30,4.21444
2020-05-31,5.42069
2020-06-01,8.72673
2020-06-02,9.3373
2020-06-03,9.85852
2020-06-04,9.57557
2020-06-05,8.36932
2020-06-06,5.62918
2020-06-07,4.43782
2020-06-08,7.16306
2020-06-09,7.58004
2020-06-10,7.26731
2020-06-11,7.2822
2020-06-12,7.4609
2020-06-13,4.55696
2020-06-14,5.09307
2020-06-15,6.79076
2020-06-16,7.95234
2020-06-17,7.86299
2020-06-18,8.86075
2020-06-19,7.32688
2020-06-20,4.2889
2020-06-21,4.76545
2020-06-22,10.02233
2020-06-23,7.32688
2020-06-24,6.89501
2020-06-25,7.38644
2020-06-26,7.4609
2020-06-27,5.0335
2020-06-28,4.67609
2020-06-29,8.23529
2020-06-30,7.34177
2020-07-01,7.89277
2020-07-02,10.48399
2020-07-03,8.10126
2020-07-04,6.13551
2020-07-05,5.65897
2020-07-06,9.12881
2020-07-07,9.35219
2020-07-08,10.39463
2020-07-09,8.42889
2020-07-10,7.77364
2020-07-11,5.71854
2020-07-12,6.1504
2020-07-13,9.12881
2020-07-14,8.60759
2020-07-15,8.83097
2020-07-16,7.2822
2020-07-17,7.58004
2020-07-18,4.70588
2020-07-19,5.07818
2020-07-20,8.41399
2020-07-21,7.50558
2020-07-22,8.25018
2020-07-23,8.14594
2020-07-24,7.87788
2020-07-25,5.07818
2020-07-26,4.70588
2020-07-27,8.47356
2020-07-28,7.81831
2020-07-29,9.09903
2020-07-30,8.72673
2020-07-31,6.99925
2020-08-01,3.36559
2020-08-02,4.30379
2020-08-03,7.32688
2020-08-04,8.81608
2020-08-05,8.01191
2020-08-06,8.04169
2020-08-07,6.1504
2020-08-08,4.63142
2020-08-09,4.30379
2020-08-10,8.17572
2020-08-11,9.18838
2020-08-12,9.26284
2020-08-13,8.45867
2020-08-14,7.32688
2020-08-15,3.9166
2020-08-16,3.5443
2020-08-17,4.34847
2020-08-18,9.82874
2020-08-19,7.69918
2020-08-20,8.07148
2020-08-21,7.25241
2020-08-22,4.22933
2020-08-23,7.77364
2020-08-24,8.5927
2020-08-25,10.02233
2020-08-26,9.20327
