date,메타마스크지갑
2021-12-28,42.7107
2021-12-29,33.82687
2021-12-30,50.11389
2021-12-31,32.91571
2022-01-01,23.8041
2022-01-02,27.33485
2022-01-03,35.07972
2022-01-04,35.07972
2022-01-05,33.71298
2022-01-06,28.3599
2022-01-07,28.3599
2022-01-08,20.50113
2022-01-09,21.86788
2022-01-10,28.92938
2022-01-11,20.61503
2022-01-12,29.72665
2022-01-13,36.90205
2022-01-14,25.17084
2022-01-15,28.81548
2022-01-16,27.33485
2022-01-17,29.15717
2022-01-18,28.92938
2022-01-19,29.38496
2022-01-20,32.23234
2022-01-21,20.27334
2022-01-22,18.22323
2022-01-23,23.12072
2022-01-24,26.76537
2022-01-25,26.19589
2022-01-26,23.34851
2022-01-27,26.53758
2022-01-28,20.61503
2022-01-29,17.88154
2022-01-30,16.85649
2022-01-31,11.04783
2022-02-01,18.56492
2022-02-02,20.95671
2022-02-03,22.77904
2022-02-04,23.5763
2022-02-05,23.12072
2022-02-06,26.082
2022-02-07,24.37357
2022-02-08,30.97949
2022-02-09,25.74031
2022-02-10,23.91799
2022-02-11,23.12072
2022-02-12,24.82915
2022-02-13,22.77904
2022-02-14,21.07061
2022-02-15,26.99316
2022-02-16,28.81548
2022-02-17,23.12072
2022-02-18,23.8041
2022-02-19,22.55125
2022-02-20,23.46241
2022-02-21,31.54897
2022-02-22,25.28473
2022-02-23,32.91571
2022-02-24,28.58769
2022-02-25,26.19589
2022-02-26,18.79271
2022-02-27,20.95671
2022-02-28,22.32346
2022-03-01,23.12072
2022-03-02,62.41457
2022-03-03,37.35763
2022-03-04,28.92938
2022-03-05,22.09567
2022-03-06,20.15945
2022-03-07,26.76537
2022-03-08,29.84054
2022-03-09,17.31207
2022-03-10,14.69248
2022-03-11,22.89293
2022-03-12,15.60364
2022-03-13,20.61503
2022-03-14,24.14578
2022-03-15,22.32346
2022-03-16,24.03189
2022-03-17,29.27107
2022-03-18,24.37357
2022-03-19,25.74031
2022-03-20,24.94305
2022-03-21,24.94305
2022-03-22,63.55353
2022-03-23,77.79043
2022-03-24,100.0
2022-03-25,80.29612
2022-03-26,56.9476
2022-03-27,54.32801
2022-03-28,66.74259
2022-03-29,59.22551
2022-03-30,79.15717
2022-03-31,74.25968
2022-04-01,51.82232
2022-04-02,39.17995
2022-04-03,40.3189
2022-04-04,52.50569
2022-04-05,48.97494
2022-04-06,38.95216
2022-04-07,40.88838
2022-04-08,36.44646
2022-04-09,25.51252
2022-04-10,25.51252
2022-04-11,30.41002
2022-04-12,30.7517
2022-04-13,34.62414
2022-04-14,37.24373
2022-04-15,33.71298
2022-04-16,28.92938
2022-04-17,29.72665
2022-04-18,37.12984
2022-04-19,39.86332
2022-04-20,32.11845
2022-04-21,35.87699
2022-04-22,40.66059
2022-04-23,25.74031
2022-04-24,31.54897
2022-04-25,38.49658
2022-04-26,41.00227
2022-04-27,29.27107
2022-04-28,34.05466
2022-04-29,28.92938
2022-04-30,24.71526
2022-05-01,26.19589
2022-05-02,32.80182
2022-05-03,35.6492
2022-05-04,29.84054
2022-05-05,32.80182
2022-05-06,31.20728
2022-05-07,24.14578
2022-05-08,22.89293
2022-05-09,30.41002
2022-05-10,26.53758
2022-05-11,31.89066
2022-05-12,28.70159
2022-05-13,36.44646
2022-05-14,27.22095
2022-05-15,32.68792
2022-05-16,30.8656
2022-05-17,32.34624
2022-05-18,32.11845
2022-05-19,37.81321
2022-05-20,30.41002
2022-05-21,22.66514
2022-05-22,20.72892
2022-05-23,24.25968
2022-05-24,21.98177
2022-05-25,21.18451
2022-05-26,21.18451
2022-05-27,20.61503
2022-05-28,12.18678
2022-05-29,11.16173
2022-05-30,21.64009
2022-05-31,23.00683
2022-06-01,16.97038
2022-06-02,31.54897
2022-06-03,23.46241
2022-06-04,12.98405
2022-06-05,13.32574
2022-06-06,18.45102
2022-06-07,15.48974
2022-06-08,24.25968
2022-06-09,23.23462
2022-06-10,25.28473
2022-06-11,16.05922
2022-06-12,15.26195
2022-06-13,18.67881
2022-06-14,17.65375
2022-06-15,18.79271
2022-06-16,19.70387
2022-06-17,19.58997
2022-06-18,12.87015
2022-06-19,13.66742
2022-06-20,23.46241
2022-06-21,20.04555
2022-06-22,21.4123
2022-06-23,19.36218
2022-06-24,19.58997
2022-06-25,14.69248
2022-06-26,13.09794
2022-06-27,17.31207
2022-06-28,17.08428
2022-06-29,18.9066
2022-06-30,21.2984
2022-07-01,17.88154
2022-07-02,16.17312
2022-07-03,11.27562
2022-07-04,19.93166
2022-07-05,20.15945
2022-07-06,21.64009
2022-07-07,16.85649
2022-07-08,14.35079
2022-07-09,12.87015
2022-07-10,13.32574
2022-07-11,14.57858
2022-07-12,15.60364
2022-07-13,10.82004
2022-07-14,11.04783
2022-07-15,12.30068
2022-07-16,9.79498
2022-07-17,11.04783
2022-07-18,15.26195
2022-07-19,17.19817
2022-07-20,17.76765
2022-07-21,12.52847
2022-07-22,14.92027
2022-07-23,10.70615
2022-07-24,12.87015
2022-07-25,15.83143
2022-07-26,14.92027
2022-07-27,16.05922
2022-07-28,13.78132
2022-07-29,10.93394
2022-07-30,9.90888
2022-07-31,8.54214
2022-08-01,12.98405
2022-08-02,14.57858
2022-08-03,8.54214
2022-08-04,11.8451
2022-08-05,10.59225
2022-08-06,8.54214
2022-08-07,7.97266
2022-08-08,13.32574
2022-08-09,12.64236
2022-08-10,12.30068
2022-08-11,14.57858
2022-08-12,14.57858
2022-08-13,11.04783
2022-08-14,10.25056
2022-08-15,13.09794
2022-08-16,14.69248
2022-08-17,12.41457
2022-08-18,13.89521
2022-08-19,12.30068
2022-08-20,11.04783
2022-08-21,10.13667
2022-08-22,14.69248
2022-08-23,12.64236
2022-08-24,16.40091
2022-08-25,16.6287
2022-08-26,17.31207
2022-08-27,9.56719
2022-08-28,12.98405
2022-08-29,15.83143
2022-08-30,17.99544
2022-08-31,15.14806
2022-09-01,11.8451
2022-09-02,13.89521
2022-09-03,8.08656
2022-09-04,9.68109
2022-09-05,10.82004
2022-09-06,16.74259
2022-09-07,18.9066
2022-09-08,12.18678
2022-09-09,8.65603
2022-09-10,6.9476
2022-09-11,6.71981
2022-09-12,10.36446
2022-09-13,11.27562
2022-09-14,14.35079
2022-09-15,14.46469
2022-09-16,14.92027
2022-09-17,12.07289
2022-09-18,10.70615
2022-09-19,15.03416
2022-09-20,16.28701
2022-09-21,12.07289
2022-09-22,10.93394
2022-09-23,10.36446
2022-09-24,8.08656
2022-09-25,10.70615
2022-09-26,11.04783
2022-09-27,9.79498
2022-09-28,13.55353
2022-09-29,12.07289
2022-09-30,8.99772
2022-10-01,7.63097
2022-10-02,5.92255
2022-10-03,8.88382
2022-10-04,9.90888
2022-10-05,11.50341
2022-10-06,10.59225
2022-10-07,9.11161
2022-10-08,5.58086
2022-10-09,9.3394
2022-10-10,8.20045
2022-10-11,11.38952
2022-10-12,10.70615
2022-10-13,10.59225
2022-10-14,10.82004
2022-10-15,6.15034
2022-10-16,8.99772
2022-10-17,10.82004
2022-10-18,13.21184
2022-10-19,11.04783
2022-10-20,10.25056
2022-10-21,8.42824
2022-10-22,6.15034
2022-10-23,9.56719
2022-10-24,10.13667
2022-10-25,11.27562
2022-10-26,11.7312
2022-10-27,10.02277
2022-10-28,10.25056
2022-10-29,8.42824
2022-10-30,8.99772
2022-10-31,9.68109
2022-11-01,13.78132
2022-11-02,9.56719
2022-11-03,13.21184
2022-11-04,11.50341
2022-11-05,12.18678
2022-11-06,8.88382
2022-11-07,14.00911
2022-11-08,16.28701
2022-11-09,15.60364
2022-11-10,13.43963
2022-11-11,10.47835
2022-11-12,16.6287
2022-11-13,21.52619
2022-11-14,37.47152
2022-11-15,25.51252
2022-11-16,19.24829
