date,대형포스터
2020-03-20,27.19298
2020-03-21,56.14035
2020-03-22,37.71929
2020-03-23,46.49122
2020-03-24,25.43859
2020-03-25,50.87719
2020-03-26,43.85964
2020-03-27,49.1228
2020-03-28,32.45614
2020-03-29,45.61403
2020-03-30,57.01754
2020-03-31,37.71929
2020-04-01,41.22807
2020-04-02,43.85964
2020-04-03,30.70175
2020-04-04,53.50877
2020-04-05,44.73684
2020-04-06,44.73684
2020-04-07,41.22807
2020-04-08,50.87719
2020-04-09,34.21052
2020-04-10,30.70175
2020-04-11,30.70175
2020-04-12,33.33333
2020-04-13,49.1228
2020-04-14,42.98245
2020-04-15,34.21052
2020-04-16,39.47368
2020-04-17,49.1228
2020-04-18,33.33333
2020-04-19,46.49122
2020-04-20,45.61403
2020-04-21,35.96491
2020-04-22,42.10526
2020-04-23,42.10526
2020-04-24,34.21052
2020-04-25,43.85964
2020-04-26,35.96491
2020-04-27,43.85964
2020-04-28,35.96491
2020-04-29,30.70175
2020-04-30,29.82456
2020-05-01,28.94736
2020-05-02,43.85964
2020-05-03,18.42105
2020-05-04,36.8421
2020-05-05,39.47368
2020-05-06,38.59649
2020-05-07,49.1228
2020-05-08,35.08771
2020-05-09,33.33333
2020-05-10,42.98245
2020-05-11,35.96491
2020-05-12,50.0
2020-05-13,39.47368
2020-05-14,51.75438
2020-05-15,42.98245
2020-05-16,42.98245
2020-05-17,42.98245
2020-05-18,42.10526
2020-05-19,29.82456
2020-05-20,36.8421
2020-05-21,31.57894
2020-05-22,30.70175
2020-05-23,53.50877
2020-05-24,32.45614
2020-05-25,46.49122
2020-05-26,29.82456
2020-05-27,36.8421
2020-05-28,42.98245
2020-05-29,42.10526
2020-05-30,29.82456
2020-05-31,43.85964
2020-06-01,35.96491
2020-06-02,62.2807
2020-06-03,45.61403
2020-06-04,35.96491
2020-06-05,33.33333
2020-06-06,34.21052
2020-06-07,39.47368
2020-06-08,33.33333
2020-06-09,35.96491
2020-06-10,35.96491
2020-06-11,28.07017
2020-06-12,31.57894
2020-06-13,30.70175
2020-06-14,37.71929
2020-06-15,37.71929
2020-06-16,37.71929
2020-06-17,43.85964
2020-06-18,31.57894
2020-06-19,22.80701
2020-06-20,34.21052
