date,데이팅앱
2020-03-20,11.81286
2020-03-21,10.52631
2020-03-22,11.81286
2020-03-23,13.21637
2020-03-24,8.07017
2020-03-25,7.95321
2020-03-26,9.47368
2020-03-27,8.65497
2020-03-28,10.05847
2020-03-29,12.04678
2020-03-30,10.29239
2020-03-31,12.39766
2020-04-01,10.40935
2020-04-02,11.92982
2020-04-03,9.59064
2020-04-04,7.83625
2020-04-05,12.51461
2020-04-06,9.94152
2020-04-07,8.18713
2020-04-08,8.07017
2020-04-09,8.18713
2020-04-10,7.95321
2020-04-11,10.17543
2020-04-12,10.87719
2020-04-13,11.11111
2020-04-14,10.64327
2020-04-15,7.71929
2020-04-16,8.53801
2020-04-17,7.83625
2020-04-18,5.49707
2020-04-19,10.05847
2020-04-20,7.71929
2020-04-21,7.1345
2020-04-22,6.5497
2020-04-23,7.60233
2020-04-24,10.29239
2020-04-25,6.90058
2020-04-26,7.60233
2020-04-27,7.48538
2020-04-28,7.36842
2020-04-29,6.31578
2020-04-30,7.36842
2020-05-01,7.01754
2020-05-02,7.83625
2020-05-03,8.42105
2020-05-04,8.07017
2020-05-05,5.02923
2020-05-06,6.66666
2020-05-07,6.66666
2020-05-08,4.09356
2020-05-09,5.73099
2020-05-10,6.31578
2020-05-11,5.38011
2020-05-12,8.65497
2020-05-13,5.26315
2020-05-14,5.84795
2020-05-15,4.79532
2020-05-16,5.14619
2020-05-17,5.49707
2020-05-18,7.25146
2020-05-19,6.78362
2020-05-20,5.38011
2020-05-21,7.36842
2020-05-22,5.61403
2020-05-23,8.30409
2020-05-24,8.18713
2020-05-25,6.5497
2020-05-26,7.01754
2020-05-27,5.73099
2020-05-28,6.66666
2020-05-29,8.07017
2020-05-30,5.14619
2020-05-31,7.25146
2020-06-01,7.01754
2020-06-02,6.5497
2020-06-03,6.43274
2020-06-04,5.84795
2020-06-05,6.66666
2020-06-06,5.26315
2020-06-07,8.42105
2020-06-08,6.5497
2020-06-09,9.47368
2020-06-10,8.53801
2020-06-11,5.26315
2020-06-12,6.66666
2020-06-13,5.73099
2020-06-14,7.36842
2020-06-15,7.60233
2020-06-16,8.65497
2020-06-17,7.60233
2020-06-18,7.48538
2020-06-19,5.84795
2020-06-20,6.08187
2020-06-21,4.44444
2020-06-22,5.73099
2020-06-23,5.14619
2020-06-24,4.79532
2020-06-25,6.31578
2020-06-26,5.38011
2020-06-27,6.66666
2020-06-28,6.08187
2020-06-29,5.73099
2020-06-30,4.32748
2020-07-01,5.49707
2020-07-02,4.79532
2020-07-03,4.79532
2020-07-04,6.19883
2020-07-05,4.09356
2020-07-06,6.19883
2020-07-07,5.02923
2020-07-08,5.96491
2020-07-09,5.26315
2020-07-10,5.84795
2020-07-11,5.96491
2020-07-12,5.96491
2020-07-13,5.73099
2020-07-14,11.22807
2020-07-15,7.60233
2020-07-16,6.5497
2020-07-17,4.91228
2020-07-18,3.74269
2020-07-19,6.78362
2020-07-20,6.08187
2020-07-21,5.38011
2020-07-22,6.43274
2020-07-23,5.38011
2020-07-24,6.90058
2020-07-25,7.60233
2020-07-26,5.26315
2020-07-27,5.61403
2020-07-28,7.60233
2020-07-29,7.25146
2020-07-30,6.78362
2020-07-31,8.07017
2020-08-01,4.5614
2020-08-02,5.96491
2020-08-03,7.83625
2020-08-04,5.14619
2020-08-05,5.73099
2020-08-06,6.19883
2020-08-07,5.02923
2020-08-08,6.78362
2020-08-09,5.73099
2020-08-10,5.73099
2020-08-11,4.32748
2020-08-12,6.90058
2020-08-13,4.21052
2020-08-14,7.1345
2020-08-15,5.02923
2020-08-16,5.14619
2020-08-17,5.84795
2020-08-18,5.14619
2020-08-19,3.62573
2020-08-20,7.25146
2020-08-21,5.49707
2020-08-22,9.1228
2020-08-23,6.43274
2020-08-24,7.1345
2020-08-25,3.74269
2020-08-26,6.43274
2020-08-27,8.07017
2020-08-28,11.11111
2020-08-29,19.64912
2020-08-30,15.32163
2020-08-31,21.52046
2020-09-01,18.24561
2020-09-02,19.53216
2020-09-03,22.33918
2020-09-04,16.37426
2020-09-05,14.03508
2020-09-06,15.32163
2020-09-07,16.49122
2020-09-08,15.90643
2020-09-09,16.14035
2020-09-10,12.39766
2020-09-11,11.57894
2020-09-12,9.23976
2020-09-13,9.35672
2020-09-14,10.99415
2020-09-15,10.29239
2020-09-16,9.94152
2020-09-17,8.42105
2020-09-18,11.11111
2020-09-19,7.71929
2020-09-20,11.34502
2020-09-21,12.16374
2020-09-22,10.17543
2020-09-23,8.77192
2020-09-24,10.87719
2020-09-25,7.83625
2020-09-26,10.05847
2020-09-27,36.72514
2020-09-28,27.25146
2020-09-29,18.24561
2020-09-30,19.18128
2020-10-01,13.45029
2020-10-02,16.2573
2020-10-03,16.49122
2020-10-04,18.24561
2020-10-05,17.66081
2020-10-06,16.8421
2020-10-07,15.67251
2020-10-08,12.74853
2020-10-09,14.15204
2020-10-10,15.90643
2020-10-11,17.30994
2020-10-12,14.61988
2020-10-13,6.90058
2020-10-14,9.23976
