date,아파트월세
2020-03-20,63.67187
2020-03-21,59.76562
2020-03-22,51.36718
2020-03-23,56.64062
2020-03-24,55.66406
2020-03-25,56.83593
2020-03-26,50.58593
2020-03-27,52.92968
2020-03-28,49.21875
2020-03-29,51.36718
2020-03-30,63.28125
2020-03-31,67.96875
2020-04-01,59.57031
2020-04-02,55.85937
2020-04-03,47.46093
2020-04-04,46.67968
2020-04-05,56.83593
2020-04-06,56.44531
2020-04-07,58.98437
2020-04-08,54.49218
2020-04-09,57.8125
2020-04-10,44.72656
2020-04-11,48.04687
2020-04-12,63.67187
2020-04-13,65.03906
2020-04-14,56.83593
2020-04-15,55.85937
2020-04-16,66.60156
2020-04-17,59.76562
2020-04-18,54.88281
2020-04-19,58.98437
2020-04-20,63.67187
2020-04-21,58.78906
2020-04-22,68.94531
2020-04-23,59.375
2020-04-24,46.67968
2020-04-25,51.17187
2020-04-26,61.32812
2020-04-27,58.20312
2020-04-28,52.92968
2020-04-29,51.17187
2020-04-30,52.53906
2020-05-01,49.41406
2020-05-02,45.70312
2020-05-03,61.52343
2020-05-04,54.88281
2020-05-05,65.625
2020-05-06,67.96875
2020-05-07,55.46875
2020-05-08,49.41406
2020-05-09,50.97656
2020-05-10,57.03125
2020-05-11,53.71093
2020-05-12,52.92968
2020-05-13,46.875
2020-05-14,54.88281
2020-05-15,42.57812
2020-05-16,44.53125
2020-05-17,48.4375
2020-05-18,54.6875
2020-05-19,54.49218
2020-05-20,50.39062
2020-05-21,45.89843
2020-05-22,44.53125
2020-05-23,47.46093
2020-05-24,53.51562
2020-05-25,54.49218
2020-05-26,56.05468
2020-05-27,53.51562
2020-05-28,48.04687
2020-05-29,49.80468
2020-05-30,47.07031
2020-05-31,53.71093
2020-06-01,56.44531
2020-06-02,47.07031
2020-06-03,52.34375
2020-06-04,53.125
2020-06-05,50.58593
2020-06-06,49.80468
2020-06-07,46.875
2020-06-08,57.42187
2020-06-09,56.64062
2020-06-10,55.07812
2020-06-11,50.19531
2020-06-12,59.17968
2020-06-13,45.89843
2020-06-14,55.66406
2020-06-15,61.32812
2020-06-16,59.17968
2020-06-17,50.97656
2020-06-18,51.36718
2020-06-19,43.16406
2020-06-20,51.95312
2020-06-21,56.83593
2020-06-22,74.41406
2020-06-23,61.13281
2020-06-24,58.39843
2020-06-25,45.70312
2020-06-26,60.35156
2020-06-27,50.39062
2020-06-28,61.32812
2020-06-29,57.61718
2020-06-30,51.95312
2020-07-01,46.28906
2020-07-02,44.33593
2020-07-03,54.88281
2020-07-04,34.76562
2020-07-05,46.09375
2020-07-06,54.10156
2020-07-07,58.78906
2020-07-08,67.38281
2020-07-09,61.32812
2020-07-10,60.74218
2020-07-11,51.95312
2020-07-12,61.71875
2020-07-13,68.16406
2020-07-14,62.5
2020-07-15,59.375
2020-07-16,60.15625
2020-07-17,44.14062
2020-07-18,59.57031
2020-07-19,65.03906
2020-07-20,60.54687
2020-07-21,74.41406
2020-07-22,54.29687
2020-07-23,54.49218
2020-07-24,50.78125
2020-07-25,55.46875
2020-07-26,54.88281
2020-07-27,62.10937
2020-07-28,61.32812
2020-07-29,57.8125
2020-07-30,66.40625
2020-07-31,63.08593
2020-08-01,61.91406
2020-08-02,62.69531
2020-08-03,88.08593
2020-08-04,72.26562
2020-08-05,64.45312
2020-08-06,67.57812
2020-08-07,57.42187
2020-08-08,57.61718
2020-08-09,57.22656
2020-08-10,65.625
2020-08-11,63.47656
2020-08-12,66.01562
2020-08-13,71.48437
2020-08-14,57.03125
2020-08-15,61.52343
2020-08-16,58.39843
2020-08-17,78.125
2020-08-18,56.83593
2020-08-19,73.04687
2020-08-20,64.25781
2020-08-21,63.28125
2020-08-22,56.83593
2020-08-23,56.64062
2020-08-24,75.0
2020-08-25,62.89062
2020-08-26,81.64062
2020-08-27,76.17187
2020-08-28,58.20312
2020-08-29,63.67187
2020-08-30,59.76562
2020-08-31,82.61718
2020-09-01,73.24218
2020-09-02,76.5625
2020-09-03,64.25781
2020-09-04,67.1875
2020-09-05,62.30468
2020-09-06,67.96875
2020-09-07,69.14062
2020-09-08,72.07031
2020-09-09,70.50781
2020-09-10,64.64843
2020-09-11,70.11718
2020-09-12,71.48437
2020-09-13,74.80468
2020-09-14,78.90625
2020-09-15,81.44531
2020-09-16,71.28906
2020-09-17,71.48437
2020-09-18,65.82031
2020-09-19,58.98437
2020-09-20,68.35937
2020-09-21,71.48437
2020-09-22,69.92187
2020-09-23,67.77343
2020-09-24,63.28125
2020-09-25,57.42187
2020-09-26,53.125
2020-09-27,68.16406
2020-09-28,77.14843
2020-09-29,65.82031
2020-09-30,59.17968
2020-10-01,38.86718
2020-10-02,54.6875
2020-10-03,56.44531
2020-10-04,74.02343
2020-10-05,88.47656
2020-10-06,89.45312
2020-10-07,67.57812
2020-10-08,74.41406
2020-10-09,75.0
2020-10-10,60.15625
2020-10-11,72.46093
2020-10-12,84.57031
2020-10-13,78.51562
2020-10-14,82.61718
2020-10-15,80.66406
2020-10-16,75.58593
2020-10-17,58.98437
2020-10-18,72.85156
2020-10-19,82.42187
2020-10-20,87.30468
2020-10-21,85.35156
2020-10-22,68.55468
2020-10-23,65.23437
2020-10-24,69.14062
2020-10-25,71.875
2020-10-26,74.41406
2020-10-27,77.34375
2020-10-28,71.48437
2020-10-29,69.14062
2020-10-30,51.17187
2020-10-31,59.57031
2020-11-01,55.85937
2020-11-02,69.72656
2020-11-03,68.94531
2020-11-04,61.32812
2020-11-05,57.61718
2020-11-06,61.13281
2020-11-07,50.58593
2020-11-08,66.21093
2020-11-09,71.67968
2020-11-10,69.33593
2020-11-11,58.59375
2020-11-12,71.28906
2020-11-13,59.96093
2020-11-14,60.74218
2020-11-15,72.26562
2020-11-16,77.53906
2020-11-17,67.96875
2020-11-18,71.09375
2020-11-19,75.39062
2020-11-20,65.23437
2020-11-21,56.05468
2020-11-22,71.28906
2020-11-23,74.41406
2020-11-24,61.71875
2020-11-25,66.60156
2020-11-26,61.13281
2020-11-27,58.20312
2020-11-28,79.88281
2020-11-29,67.1875
2020-11-30,68.94531
2020-12-01,69.92187
2020-12-02,71.09375
2020-12-03,64.84375
2020-12-04,71.09375
2020-12-05,53.125
2020-12-06,71.09375
2020-12-07,71.875
2020-12-08,63.47656
2020-12-09,68.35937
2020-12-10,67.96875
2020-12-11,67.77343
2020-12-12,70.3125
2020-12-13,65.03906
2020-12-14,78.125
2020-12-15,71.875
2020-12-16,70.89843
2020-12-17,61.52343
2020-12-18,59.76562
2020-12-19,56.64062
2020-12-20,65.82031
2020-12-21,61.32812
2020-12-22,80.85937
2020-12-23,58.20312
2020-12-24,47.85156
2020-12-25,52.34375
2020-12-26,67.1875
2020-12-27,75.78125
2020-12-28,71.67968
2020-12-29,74.21875
2020-12-30,67.57812
2020-12-31,59.96093
2021-01-01,65.23437
2021-01-02,70.89843
2021-01-03,79.49218
2021-01-04,89.84375
2021-01-05,81.44531
2021-01-06,78.51562
2021-01-07,66.40625
2021-01-08,61.91406
2021-01-09,74.80468
2021-01-10,82.61718
2021-01-11,82.61718
2021-01-12,76.36718
2021-01-13,81.64062
2021-01-14,82.8125
2021-01-15,84.375
2021-01-16,75.39062
2021-01-17,82.42187
2021-01-18,86.13281
2021-01-19,85.74218
2021-01-20,77.53906
2021-01-21,76.17187
2021-01-22,66.99218
2021-01-23,75.97656
2021-01-24,81.25
2021-01-25,92.77343
2021-01-26,85.74218
2021-01-27,83.20312
2021-01-28,74.41406
2021-01-29,74.60937
2021-01-30,72.46093
2021-01-31,77.73437
2021-02-01,73.82812
2021-02-02,70.50781
2021-02-03,75.19531
2021-02-04,79.10156
2021-02-05,79.49218
2021-02-06,68.55468
2021-02-07,82.22656
2021-02-08,79.88281
2021-02-09,73.4375
2021-02-10,56.05468
2021-02-11,57.8125
2021-02-12,49.41406
2021-02-13,55.27343
2021-02-14,82.03125
2021-02-15,93.35937
2021-02-16,80.66406
2021-02-17,75.97656
2021-02-18,70.70312
2021-02-19,72.46093
2021-02-20,69.33593
2021-02-21,77.34375
2021-02-22,95.11718
2021-02-23,83.00781
2021-02-24,74.02343
2021-02-25,70.11718
2021-02-26,69.72656
2021-02-27,58.98437
2021-02-28,74.21875
2021-03-01,76.17187
2021-03-02,83.20312
2021-03-03,82.8125
