date,NH투자증권고객센터
2021-02-10,6.06694
2021-02-14,1.25523
2021-02-15,13.17991
2021-02-16,13.80753
2021-02-17,11.08786
2021-02-18,9.41422
2021-02-19,5.23012
2021-02-22,10.04184
2021-02-23,10.46025
2021-02-24,9.20502
2021-02-25,10.25104
2021-02-26,9.20502
2021-02-27,1.46443
2021-02-28,2.09205
2021-03-01,1.46443
2021-03-02,12.7615
2021-03-03,9.62343
2021-03-04,11.08786
2021-03-05,23.64016
2021-03-06,1.67364
2021-03-07,3.34728
2021-03-08,30.33472
2021-03-09,47.48953
2021-03-10,40.37656
2021-03-11,9.20502
2021-03-12,16.52719
2021-03-14,1.88284
2021-03-15,10.46025
2021-03-16,8.5774
2021-03-17,8.15899
2021-03-18,11.92468
2021-03-19,11.29707
2021-03-22,7.53138
2021-03-23,9.20502
2021-03-24,8.99581
2021-03-25,3.97489
2021-03-26,6.69456
2021-03-29,2.92887
2021-03-30,6.48535
2021-03-31,4.81171
2021-04-01,6.90376
2021-04-02,5.02092
2021-04-05,7.32217
2021-04-06,6.27615
2021-04-07,6.48535
2021-04-08,5.23012
2021-04-09,5.02092
2021-04-12,10.25104
2021-04-13,6.90376
2021-04-14,8.15899
2021-04-15,4.60251
2021-04-16,7.53138
2021-04-19,9.20502
2021-04-20,8.5774
2021-04-21,7.11297
2021-04-22,7.94979
2021-04-23,7.32217
2021-04-26,11.08786
2021-04-27,19.66527
2021-04-28,46.44351
2021-04-29,21.33891
2021-04-30,7.74058
2021-05-01,1.46443
2021-05-03,9.62343
2021-05-04,7.53138
2021-05-06,8.15899
2021-05-07,8.99581
2021-05-10,6.69456
2021-05-11,5.85774
2021-05-12,3.55648
2021-05-13,5.23012
2021-05-14,6.69456
2021-05-15,1.25523
2021-05-17,4.3933
2021-05-18,2.92887
2021-05-20,2.51046
2021-05-21,3.76569
2021-05-24,3.76569
2021-05-25,4.60251
2021-05-26,2.71966
2021-05-27,2.92887
2021-05-28,3.34728
2021-05-31,6.27615
2021-06-01,2.71966
2021-06-02,6.69456
2021-06-03,6.48535
2021-06-04,2.51046
2021-06-07,5.23012
2021-06-08,4.1841
2021-06-09,2.71966
2021-06-10,4.3933
