date,청년창업지원금
2020-03-20,66.73789
2020-03-21,49.43019
2020-03-22,53.9886
2020-03-23,82.1225
2020-03-24,81.2678
2020-03-25,76.21082
2020-03-26,70.44159
2020-03-27,73.93162
2020-03-28,50.0
2020-03-29,47.72079
2020-03-30,100.0
2020-03-31,89.03133
2020-04-01,79.05982
2020-04-02,78.49002
2020-04-03,70.29914
2020-04-04,49.28774
2020-04-05,59.1168
2020-04-06,83.8319
2020-04-07,83.11965
2020-04-08,76.49572
2020-04-09,67.23646
2020-04-10,61.75213
2020-04-11,51.06837
2020-04-12,55.05698
2020-04-13,88.67521
2020-04-14,80.84045
2020-04-15,61.89458
2020-04-16,78.77492
2020-04-17,76.28205
2020-04-18,51.56695
2020-04-19,59.18803
2020-04-20,90.38461
2020-04-21,78.63247
2020-04-22,84.90028
2020-04-23,80.27065
2020-04-24,70.15669
2020-04-25,49.21652
2020-04-26,61.32478
2020-04-27,87.17948
2020-04-28,79.98575
2020-04-29,73.71794
2020-04-30,52.5641
2020-05-01,49.64387
2020-05-02,44.37321
2020-05-03,53.34757
2020-05-04,70.01424
2020-05-05,57.1225
2020-05-06,91.95156
2020-05-07,67.09401
2020-05-08,61.82336
2020-05-09,41.80911
2020-05-10,49.57264
2020-05-11,86.68091
2020-05-12,77.99145
2020-05-13,77.35042
2020-05-14,70.86894
2020-05-15,62.74928
2020-05-16,48.78917
2020-05-17,53.91737
2020-05-18,77.70655
2020-05-19,73.93162
2020-05-20,69.58689
2020-05-21,70.65527
2020-05-22,66.80911
2020-05-23,40.88319
2020-05-24,45.51282
2020-05-25,72.50712
2020-05-26,66.73789
2020-05-27,60.04273
2020-05-28,64.45868
2020-05-29,55.05698
2020-05-30,37.74928
2020-05-31,38.17663
2020-06-01,69.30199
2020-06-02,59.90028
2020-06-03,58.19088
2020-06-04,58.40455
2020-06-05,51.06837
2020-06-06,38.31908
2020-06-07,42.16524
2020-06-08,69.65811
2020-06-09,60.04273
2020-06-10,59.1168
2020-06-11,55.27065
2020-06-12,53.4188
2020-06-13,35.96866
2020-06-14,45.79772
2020-06-15,73.21937
2020-06-16,66.66666
2020-06-17,61.25356
2020-06-18,63.10541
2020-06-19,48.71794
2020-06-20,36.32478
2020-06-21,45.08547
2020-06-22,76.49572
2020-06-23,67.02279
2020-06-24,63.31908
2020-06-25,60.11396
2020-06-26,56.5527
2020-06-27,40.45584
2020-06-28,48.29059
2020-06-29,71.65242
2020-06-30,61.39601
2020-07-01,62.67806
2020-07-02,63.53276
2020-07-03,57.19373
2020-07-04,40.88319
2020-07-05,45.94017
2020-07-06,73.50427
2020-07-07,70.79772
2020-07-08,66.73789
2020-07-09,65.02849
2020-07-10,54.91452
2020-07-11,40.88319
2020-07-12,42.73504
2020-07-13,70.15669
2020-07-14,67.73504
2020-07-15,62.39316
2020-07-16,58.47578
2020-07-17,50.14245
2020-07-18,38.17663
2020-07-19,40.88319
2020-07-20,67.16524
2020-07-21,77.849
2020-07-22,75.2849
2020-07-23,65.59829
2020-07-24,59.75783
2020-07-25,37.74928
2020-07-26,50.64102
2020-07-27,81.62393
2020-07-28,65.09971
2020-07-29,55.62678
2020-07-30,54.77207
2020-07-31,57.62108
2020-08-01,36.18233
2020-08-02,38.81766
2020-08-03,56.2678
2020-08-04,58.61823
2020-08-05,52.13675
2020-08-06,50.78347
2020-08-07,48.93162
2020-08-08,34.6866
2020-08-09,42.09401
2020-08-10,68.44729
2020-08-11,60.25641
2020-08-12,60.25641
2020-08-13,53.77492
2020-08-14,45.94017
2020-08-15,35.54131
2020-08-16,32.9772
2020-08-17,42.80626
2020-08-18,60.96866
2020-08-19,59.82905
2020-08-20,55.27065
2020-08-21,49.64387
2020-08-22,36.89458
2020-08-23,37.46438
