date,현대건설주가
2020-03-20,24.79337
2020-03-21,2.91316
2020-03-22,2.07368
2020-03-23,20.34579
2020-03-24,22.35647
2020-03-25,26.72806
2020-03-26,27.38779
2020-03-27,24.97683
2020-03-28,2.39427
2020-03-29,1.82906
2020-03-30,21.96545
2020-03-31,28.78507
2020-04-01,26.62614
2020-04-02,25.21033
2020-04-03,23.12553
2020-04-04,2.56662
2020-04-05,1.77717
2020-04-06,23.14035
2020-04-07,24.47092
2020-04-08,23.70927
2020-04-09,25.54204
2020-04-10,26.02016
2020-04-11,3.26155
2020-04-12,2.49064
2020-04-13,25.42529
2020-04-14,26.30369
2020-04-15,3.56547
2020-04-16,26.98565
2020-04-17,27.50454
2020-04-18,2.98358
2020-04-19,2.25343
2020-04-20,31.46844
2020-04-21,37.59682
2020-04-22,32.78047
2020-04-23,30.16937
2020-04-24,26.69656
2020-04-25,2.96134
2020-04-26,2.09221
2020-04-27,26.50568
2020-04-28,26.17768
2020-04-29,25.56613
2020-04-30,3.08921
2020-05-01,3.59512
2020-05-02,1.66969
2020-05-03,1.6493
2020-05-04,22.91612
2020-05-05,3.04473
2020-05-06,23.04955
2020-05-07,21.29832
2020-05-08,20.04002
2020-05-09,2.17931
2020-05-10,1.52514
2020-05-11,18.94481
2020-05-12,17.87739
2020-05-13,18.98928
2020-05-14,16.94155
2020-05-15,16.80256
2020-05-16,1.7049
2020-05-17,1.22493
2020-05-18,16.25032
2020-05-19,20.42177
2020-05-20,17.35109
2020-05-21,17.35851
2020-05-22,15.02353
2020-05-23,1.54923
2020-05-24,1.10633
2020-05-25,15.62766
2020-05-26,20.92027
2020-05-27,22.80123
2020-05-28,21.46139
2020-05-29,18.0034
2020-05-30,1.68266
2020-05-31,1.22122
2020-06-01,19.05785
2020-06-02,21.27608
2020-06-03,29.3336
2020-06-04,26.48159
2020-06-05,22.14336
2020-06-06,2.32756
2020-06-07,1.60668
2020-06-08,20.42177
2020-06-09,20.41992
2020-06-10,18.65016
2020-06-11,17.7977
2020-06-12,17.63648
2020-06-13,1.53997
2020-06-14,1.13969
2020-06-15,18.67054
2020-06-16,20.26796
2020-06-17,19.31544
2020-06-18,17.15837
2020-06-19,17.56606
2020-06-20,1.57888
2020-06-21,6.74548
2020-06-22,100.0
2020-06-23,36.18657
2020-06-24,30.4492
2020-06-25,23.42759
2020-06-26,21.33167
2020-06-27,2.0607
2020-06-28,1.97175
2020-06-29,18.68907
2020-06-30,19.93439
2020-07-01,19.97146
2020-07-02,18.88736
2020-07-03,19.03191
2020-07-04,1.84759
2020-07-05,1.4399
2020-07-06,20.13083
2020-07-07,17.08795
2020-07-08,18.03306
2020-07-09,16.43563
2020-07-10,14.34157
2020-07-11,1.34353
2020-07-12,0.95066
2020-07-13,17.00455
2020-07-14,15.21441
2020-07-15,18.58344
2020-07-16,17.2677
2020-07-17,16.56721
2020-07-18,1.4121
2020-07-19,1.15822
2020-07-20,18.06827
2020-07-21,18.12386
2020-07-22,19.86027
2020-07-23,16.59315
2020-07-24,19.10603
2020-07-25,1.52514
2020-07-26,1.31574
2020-07-27,17.42151
2020-07-28,19.51929
2020-07-29,16.95822
2020-07-30,16.55794
2020-07-31,14.98091
2020-08-01,1.92357
2020-08-02,1.49549
2020-08-03,15.45532
2020-08-04,22.73822
2020-08-05,19.42848
2020-08-06,20.21793
2020-08-07,18.059
2020-08-08,1.76235
2020-08-09,1.55109
2020-08-10,19.68792
2020-08-11,30.91805
2020-08-12,24.57099
2020-08-13,22.02475
2020-08-14,21.32426
2020-08-15,1.76049
2020-08-16,1.27126
2020-08-17,3.20595
2020-08-18,18.32585
2020-08-19,17.5012
2020-08-20,18.05159
2020-08-21,18.67239
2020-08-22,1.5307
2020-08-23,1.09892
2020-08-24,17.7384
2020-08-25,17.88666
2020-08-26,15.54797
2020-08-27,15.48867
2020-08-28,16.55053
2020-08-29,1.53811
2020-08-30,1.22493
2020-08-31,15.9186
2020-09-01,15.71476
2020-09-02,15.27185
2020-09-03,15.59801
2020-09-04,14.80115
2020-09-05,1.4436
2020-09-06,0.99885
2020-09-07,19.10789
2020-09-08,16.24476
2020-09-09,14.81968
2020-09-10,14.7993
2020-09-11,13.6244
2020-09-12,1.40839
2020-09-13,1.05444
2020-09-14,15.94455
2020-09-15,14.85489
2020-09-16,15.47385
2020-09-17,14.04877
2020-09-18,13.14258
2020-09-19,1.22864
2020-09-20,0.99699
2020-09-21,14.76409
2020-09-22,14.25076
2020-09-23,14.01171
2020-09-24,14.28968
2020-09-25,14.01356
2020-09-26,1.527
2020-09-27,1.06185
2020-09-28,13.9487
2020-09-29,11.96768
2020-09-30,1.11559
2020-10-01,0.8858
2020-10-02,0.93769
2020-10-03,0.79685
2020-10-04,0.85801
2020-10-05,14.12104
2020-10-06,13.06845
2020-10-07,12.06033
2020-10-08,12.3624
2020-10-09,1.84759
2020-10-10,1.21381
2020-10-11,1.07853
2020-10-12,13.67073
2020-10-13,12.26233
2020-10-14,11.42655
2020-10-15,11.16341
2020-10-16,13.61328
2020-10-17,1.86612
2020-10-18,1.62521
2020-10-19,17.15651
2020-10-20,15.68511
2020-10-21,14.008
2020-10-22,17.3548
2020-10-23,14.67514
2020-10-24,1.63448
2020-10-25,1.50846
2020-10-26,14.75482
2020-10-27,13.43538
2020-10-28,13.22041
2020-10-29,12.70709
2020-10-30,13.45761
2020-10-31,1.61224
2020-11-01,1.16192
2020-11-02,13.54101
2020-11-03,14.05248
2020-11-04,14.79189
2020-11-05,14.71405
2020-11-06,12.40502
