date,자동차보험료비교견적사이트
2020-03-20,59.29092
2020-03-21,30.92783
2020-03-22,32.7131
2020-03-23,77.36987
2020-03-24,68.66985
2020-03-25,60.84988
2020-03-26,62.18254
2020-03-27,57.35479
2020-03-28,31.70731
2020-03-29,33.392
2020-03-30,72.34096
2020-03-31,70.98315
2020-04-01,69.47447
2020-04-02,80.58838
2020-04-03,63.3392
2020-04-04,35.95675
2020-04-05,42.77093
2020-04-06,85.51672
2020-04-07,76.21322
2020-04-08,63.03746
2020-04-09,63.46492
2020-04-10,58.63716
2020-04-11,32.98969
2020-04-12,37.61629
2020-04-13,88.96152
2020-04-14,71.00829
2020-04-15,43.02237
2020-04-16,75.81091
2020-04-17,68.31782
2020-04-18,36.3842
2020-04-19,40.60849
2020-04-20,91.1491
2020-04-21,80.28664
2020-04-22,75.43374
2020-04-23,74.80512
2020-04-24,65.14961
2020-04-25,34.27206
2020-04-26,34.47322
2020-04-27,85.24013
2020-04-28,83.9829
2020-04-29,72.51697
2020-04-30,35.57958
2020-05-01,36.3842
2020-05-02,28.23736
2020-05-03,33.1657
2020-05-04,89.91702
2020-05-05,47.44782
2020-05-06,100.0
2020-05-07,88.30776
2020-05-08,70.70656
2020-05-09,40.5582
2020-05-10,36.1579
2020-05-11,94.16645
2020-05-12,86.54764
2020-05-13,82.04676
2020-05-14,79.0797
2020-05-15,78.14935
2020-05-16,35.75559
2020-05-17,35.42871
2020-05-18,86.82423
2020-05-19,89.66557
2020-05-20,79.78375
2020-05-21,75.58461
2020-05-22,67.11088
2020-05-23,34.24691
2020-05-24,34.42293
2020-05-25,86.2962
2020-05-26,80.4878
2020-05-27,83.10284
2020-05-28,66.23082
2020-05-29,59.94468
2020-05-30,29.39401
2020-05-31,31.40558
2020-06-01,80.16092
2020-06-02,77.57103
2020-06-03,75.43374
2020-06-04,70.37968
2020-06-05,61.75509
2020-06-06,32.68795
2020-06-07,34.24691
2020-06-08,81.41815
2020-06-09,73.52275
2020-06-10,76.59039
2020-06-11,69.85164
2020-06-12,63.51521
2020-06-13,36.00704
2020-06-14,35.55443
2020-06-15,91.55142
2020-06-16,73.42217
2020-06-17,71.51118
2020-06-18,69.6002
2020-06-19,58.436
2020-06-20,29.34372
2020-06-21,33.6183
2020-06-22,79.60774
2020-06-23,70.30424
2020-06-24,70.58083
2020-06-25,68.31782
2020-06-26,59.08976
2020-06-27,31.95876
2020-06-28,33.41714
2020-06-29,78.80311
2020-06-30,73.47246
2020-07-01,68.54412
2020-07-02,67.5132
2020-07-03,56.27357
2020-07-04,29.34372
2020-07-05,34.59894
2020-07-06,80.23635
2020-07-07,68.92129
2020-07-08,61.35277
2020-07-09,64.77244
2020-07-10,57.70681
2020-07-11,30.24893
2020-07-12,34.22177
2020-07-13,77.92305
2020-07-14,75.23258
2020-07-15,68.4184
2020-07-16,61.45335
2020-07-17,55.59466
2020-07-18,27.50817
2020-07-19,28.89112
2020-07-20,75.50917
2020-07-21,67.78979
2020-07-22,65.19989
2020-07-23,56.29871
2020-07-24,52.6276
2020-07-25,30.45008
2020-07-26,29.6706
2020-07-27,71.58662
2020-07-28,66.75886
2020-07-29,61.37792
2020-07-30,55.46894
2020-07-31,54.08599
2020-08-01,25.92406
2020-08-02,29.01684
2020-08-03,69.65049
2020-08-04,65.04903
2020-08-05,60.49786
2020-08-06,60.72416
2020-08-07,56.62559
2020-08-08,28.33794
2020-08-09,27.70932
2020-08-10,69.49962
2020-08-11,66.43198
2020-08-12,60.04526
