date,삼성증권CMA
2020-03-20,76.21145
2020-03-21,42.73127
2020-03-22,53.96475
2020-03-23,100.0
2020-03-24,82.15859
2020-03-25,93.83259
2020-03-26,82.59911
2020-03-27,74.22907
2020-03-28,40.52863
2020-03-29,55.72687
2020-03-30,81.93832
2020-03-31,75.99118
2020-04-01,68.72246
2020-04-02,63.21585
2020-04-03,52.20264
2020-04-04,25.55066
2020-04-05,29.95594
2020-04-06,52.64317
2020-04-07,50.88105
2020-04-08,34.80176
2020-04-09,36.12334
2020-04-10,35.90308
2020-04-11,20.04405
2020-04-12,33.48017
2020-04-13,45.15418
2020-04-14,37.88546
2020-04-15,26.87224
2020-04-16,37.88546
2020-04-17,38.98678
2020-04-18,20.92511
2020-04-19,25.99118
2020-04-20,50.44052
2020-04-21,43.83259
2020-04-22,54.18502
2020-04-23,41.62995
2020-04-24,42.73127
2020-04-25,18.94273
2020-04-26,27.7533
2020-04-27,44.93392
2020-04-28,34.58149
2020-04-29,38.76651
2020-04-30,24.88986
2020-05-01,24.22907
2020-05-02,14.7577
2020-05-03,16.51982
2020-05-04,33.70044
2020-05-05,29.51541
2020-05-06,37.44493
2020-05-07,25.99118
2020-05-08,23.78854
2020-05-09,12.77533
2020-05-10,16.96035
2020-05-11,23.34801
2020-05-12,18.28193
2020-05-13,20.26431
2020-05-14,20.70484
2020-05-15,18.5022
2020-05-16,10.57268
2020-05-17,12.11453
2020-05-18,19.60352
2020-05-19,18.28193
2020-05-20,21.80616
2020-05-21,19.16299
2020-05-22,14.53744
2020-05-23,10.57268
2020-05-24,14.09691
2020-05-25,27.53303
2020-05-26,23.12775
2020-05-27,20.04405
2020-05-28,12.3348
2020-05-29,13.65638
2020-05-30,11.23348
2020-05-31,14.97797
2020-06-01,20.70484
2020-06-02,23.34801
2020-06-03,19.38325
2020-06-04,21.5859
2020-06-05,19.82378
2020-06-06,12.3348
2020-06-07,13.65638
2020-06-08,29.73568
2020-06-09,30.837
2020-06-10,29.73568
2020-06-11,23.12775
2020-06-12,18.94273
2020-06-13,14.7577
2020-06-14,16.29955
2020-06-15,21.80616
2020-06-16,17.62114
2020-06-17,20.70484
2020-06-18,18.5022
2020-06-19,20.26431
2020-06-20,16.07929
2020-06-21,14.53744
2020-06-22,25.33039
2020-06-23,22.02643
2020-06-24,26.87224
2020-06-25,26.65198
2020-06-26,19.82378
2020-06-27,12.3348
2020-06-28,14.53744
2020-06-29,24.00881
2020-06-30,26.21145
2020-07-01,24.44933
2020-07-02,24.88986
2020-07-03,18.5022
2020-07-04,13.21585
2020-07-05,21.14537
2020-07-06,32.81938
2020-07-07,30.61674
2020-07-08,30.39647
2020-07-09,22.02643
2020-07-10,24.88986
2020-07-11,15.85903
2020-07-12,23.78854
2020-07-13,34.80176
2020-07-14,27.09251
2020-07-15,28.85462
2020-07-16,31.27753
2020-07-17,28.41409
2020-07-18,13.43612
2020-07-19,17.40088
2020-07-20,29.73568
2020-07-21,29.07488
2020-07-22,25.11013
2020-07-23,26.21145
2020-07-24,22.24669
2020-07-25,16.74008
2020-07-26,20.04405
2020-07-27,29.51541
2020-07-28,27.09251
2020-07-29,31.27753
2020-07-30,24.22907
2020-07-31,26.65198
2020-08-01,13.65638
2020-08-02,20.26431
2020-08-03,24.6696
2020-08-04,25.11013
2020-08-05,24.44933
2020-08-06,26.87224
2020-08-07,24.22907
2020-08-08,13.43612
2020-08-09,16.96035
2020-08-10,24.00881
2020-08-11,23.34801
2020-08-12,25.33039
2020-08-13,22.02643
2020-08-14,23.56828
2020-08-15,12.77533
2020-08-16,13.21585
2020-08-17,15.85903
2020-08-18,19.60352
2020-08-19,32.15859
2020-08-20,26.21145
2020-08-21,25.33039
2020-08-22,17.40088
2020-08-23,18.94273
2020-08-24,35.90308
2020-08-25,39.20704
2020-08-26,31.71806
2020-08-27,28.41409
2020-08-28,25.33039
2020-08-29,17.40088
2020-08-30,18.94273
2020-08-31,37.88546
2020-09-01,49.3392
2020-09-02,44.49339
2020-09-03,32.37885
2020-09-04,51.10132
2020-09-05,30.39647
2020-09-06,27.7533
2020-09-07,36.34361
2020-09-08,32.59911
2020-09-09,29.29515
2020-09-10,32.15859
2020-09-11,33.48017
2020-09-12,19.60352
2020-09-13,20.48458
2020-09-14,25.99118
2020-09-15,31.27753
2020-09-16,29.51541
2020-09-17,23.34801
2020-09-18,25.99118
2020-09-19,18.94273
2020-09-20,13.87665
2020-09-21,22.24669
2020-09-22,22.24669
2020-09-23,21.5859
2020-09-24,16.07929
2020-09-25,22.46696
2020-09-26,12.99559
2020-09-27,12.3348
2020-09-28,25.77092
2020-09-29,24.00881
2020-09-30,15.19823
2020-10-01,13.65638
2020-10-02,15.85903
2020-10-03,14.31718
2020-10-04,24.6696
2020-10-05,33.9207
2020-10-06,24.22907
2020-10-07,27.53303
2020-10-08,20.26431
2020-10-09,10.79295
2020-10-10,7.70925
2020-10-11,16.29955
2020-10-12,24.6696
2020-10-13,18.5022
2020-10-14,19.82378
2020-10-15,15.63876
2020-10-16,13.43612
2020-10-17,7.70925
2020-10-18,9.2511
2020-10-19,12.99559
2020-10-20,15.63876
2020-10-21,15.63876
2020-10-22,14.09691
2020-10-23,12.55506
2020-10-24,10.13215
2020-10-25,11.23348
2020-10-26,16.74008
2020-10-27,12.77533
2020-10-28,14.09691
2020-10-29,11.674
2020-10-30,11.01321
2020-10-31,6.60792
2020-11-01,10.13215
2020-11-02,13.43612
2020-11-03,20.70484
2020-11-04,15.85903
2020-11-05,20.70484
2020-11-06,15.63876
2020-11-07,5.28634
2020-11-08,10.35242
2020-11-09,20.48458
2020-11-10,16.07929
2020-11-11,23.12775
2020-11-12,15.85903
2020-11-13,10.79295
2020-11-14,6.82819
2020-11-15,11.23348
2020-11-16,19.60352
2020-11-17,21.14537
2020-11-18,20.48458
2020-11-19,15.85903
2020-11-20,16.29955
2020-11-21,11.01321
2020-11-22,13.87665
2020-11-23,23.12775
2020-11-24,25.99118
2020-11-25,25.77092
2020-11-26,23.34801
2020-11-27,18.94273
2020-11-28,12.3348
2020-11-29,17.40088
2020-11-30,24.88986
2020-12-01,27.97356
2020-12-02,21.36563
2020-12-03,24.00881
2020-12-04,22.46696
2020-12-05,13.87665
2020-12-06,14.09691
2020-12-07,24.22907
2020-12-08,20.92511
2020-12-09,21.14537
2020-12-10,24.00881
2020-12-11,24.6696
2020-12-12,11.89427
2020-12-13,16.51982
2020-12-14,18.5022
2020-12-15,20.92511
2020-12-16,19.60352
2020-12-17,23.78854
2020-12-18,24.22907
2020-12-19,14.53744
2020-12-20,17.40088
2020-12-21,28.85462
2020-12-22,24.00881
2020-12-23,29.51541
2020-12-24,21.14537
2020-12-25,16.74008
2020-12-26,15.63876
2020-12-27,21.14537
2020-12-28,34.58149
2020-12-29,31.71806
2020-12-30,36.12334
2020-12-31,25.77092
