date,디너의여왕체험단
2020-03-24,0.17349
2020-05-19,0.17349
2020-09-12,0.17349
2020-11-11,0.17349
2021-02-10,0.27758
2021-03-29,0.20818
2021-05-13,0.17349
2021-06-01,0.17349
2021-11-23,0.31228
2021-11-29,0.24288
2021-12-10,0.17349
2021-12-13,0.31228
2021-12-21,0.20818
2022-01-05,0.20818
2022-01-13,0.17349
2022-01-14,0.17349
2022-01-19,0.24288
2022-01-21,0.20818
2022-01-24,0.17349
2022-01-28,0.17349
2022-02-11,0.17349
2022-02-12,0.20818
2022-02-14,0.17349
2022-02-24,0.24288
2022-03-02,0.17349
2022-03-03,0.20818
2022-03-08,0.17349
2022-03-10,0.17349
2022-03-14,0.17349
2022-03-18,0.20818
2022-03-22,0.27758
2022-03-23,0.17349
2022-03-25,0.17349
2022-03-31,0.20818
2022-04-06,0.20818
2022-04-07,0.38167
2022-04-08,0.34698
2022-04-11,0.38167
2022-04-13,0.17349
2022-04-15,0.20818
2022-04-18,0.17349
2022-04-19,0.38167
2022-04-20,0.24288
2022-04-22,0.20818
2022-04-26,0.17349
2022-04-27,0.20818
2022-04-28,0.20818
2022-04-29,0.31228
2022-05-03,0.20818
2022-05-04,0.24288
2022-05-10,0.41637
2022-05-12,0.45107
2022-05-13,0.27758
2022-05-16,0.17349
2022-05-17,0.48577
2022-05-18,0.31228
2022-05-19,0.27758
2022-05-20,0.41637
2022-05-22,0.17349
2022-05-23,0.24288
2022-05-24,0.45107
2022-05-25,0.24288
2022-05-26,0.41637
2022-05-27,0.20818
2022-05-30,0.31228
2022-06-02,0.31228
2022-06-03,0.17349
2022-06-04,0.20818
2022-06-07,0.27758
2022-06-09,0.27758
2022-06-13,0.17349
2022-06-14,0.24288
2022-06-15,0.20818
2022-06-17,0.38167
2022-06-24,0.27758
2022-06-27,0.20818
2022-06-28,0.27758
2022-06-29,0.24288
2022-06-30,0.31228
2022-07-02,0.17349
2022-07-04,0.17349
2022-07-05,0.17349
2022-07-06,0.55517
2022-07-08,0.31228
2022-07-11,0.24288
2022-07-18,0.20818
2022-07-21,0.45107
2022-07-25,0.58986
2022-07-26,0.52047
2022-07-27,0.45107
2022-07-29,0.20818
2022-08-01,0.24288
2022-08-02,0.34698
2022-08-03,0.20818
2022-08-04,0.34698
2022-08-05,0.38167
2022-08-08,0.45107
2022-08-10,0.27758
2022-08-11,0.27758
2022-08-12,0.17349
2022-08-15,0.17349
2022-08-16,0.31228
2022-08-17,0.27758
2022-08-18,0.31228
2022-08-19,0.17349
2022-08-22,0.48577
2022-08-23,0.55517
2022-08-24,0.27758
2022-08-25,0.45107
2022-08-26,0.17349
2022-08-29,0.93684
2022-08-30,0.24288
2022-08-31,0.52047
2022-09-01,0.34698
2022-09-02,0.24288
2022-09-03,0.20818
2022-09-04,0.17349
2022-09-05,0.20818
2022-09-06,0.45107
2022-09-07,0.20818
2022-09-13,0.38167
2022-09-14,0.17349
2022-09-15,0.27758
2022-09-16,0.17349
2022-09-19,0.34698
2022-09-20,0.34698
2022-09-21,0.27758
2022-09-22,0.41637
2022-09-23,0.24288
2022-09-26,0.55517
2022-09-27,0.38167
2022-09-28,0.41637
2022-09-29,0.52047
2022-09-30,1.52671
2022-10-01,2.08188
2022-10-02,2.91464
2022-10-03,3.5739
2022-10-04,5.69049
2022-10-05,7.52949
2022-10-06,7.59888
2022-10-07,5.34351
2022-10-08,3.88619
2022-10-09,4.26786
2022-10-10,5.23941
2022-10-11,6.55794
2022-10-12,8.18875
2022-10-13,7.84177
2022-10-14,6.00277
2022-10-15,6.83553
2022-10-16,6.21096
2022-10-17,9.95836
2022-10-18,8.74392
2022-10-19,9.64607
2022-10-20,9.1256
2022-10-21,6.97432
2022-10-22,4.19847
2022-10-23,4.51075
2022-10-24,10.09715
2022-10-25,9.43789
2022-10-26,8.01526
2022-10-27,9.99306
2022-10-28,7.56419
2022-10-29,4.89243
2022-10-30,4.33726
2022-10-31,8.29285
2022-11-01,9.47258
2022-11-02,9.71547
2022-11-03,8.81332
2022-11-04,8.32755
2022-11-05,5.30881
2022-11-06,6.59264
2022-11-07,10.02775
2022-11-08,11.31158
2022-11-09,11.83206
2022-11-10,11.48507
2022-11-11,7.14781
2022-11-12,6.45385
2022-11-13,6.76613
2022-11-14,10.9993
