date,삼성엔지니어링주가
2020-03-20,26.02267
2020-03-21,3.50028
2020-03-22,2.957
2020-03-23,22.70844
2020-03-24,23.6139
2020-03-25,34.6109
2020-03-26,40.17017
2020-03-27,35.07479
2020-03-28,4.28419
2020-03-29,3.0091
2020-03-30,29.69908
2020-03-31,28.92758
2020-04-01,27.78646
2020-04-02,27.69715
2020-04-03,25.89367
2020-04-04,3.15546
2020-04-05,1.99945
2020-04-06,24.31594
2020-04-07,27.08193
2020-04-08,26.44439
2020-04-09,27.75173
2020-04-10,28.70184
2020-04-11,3.31919
2020-04-12,2.70397
2020-04-13,24.63347
2020-04-14,23.28148
2020-04-15,3.3688
2020-04-16,22.02872
2020-04-17,25.98794
2020-04-18,2.957
2020-04-19,2.16566
2020-04-20,22.03864
2020-04-21,22.13539
2020-04-22,22.22718
2020-04-23,23.29389
2020-04-24,20.09129
2020-04-25,2.07883
2020-04-26,1.40408
2020-04-27,19.81593
2020-04-28,19.01962
2020-04-29,21.25474
2020-04-30,2.62459
2020-05-01,2.92227
2020-05-02,1.35198
2020-05-03,1.43385
2020-05-04,16.13207
2020-05-05,2.13837
2020-05-06,23.61142
2020-05-07,21.27955
2020-05-08,18.91543
2020-05-09,2.64195
2020-05-10,1.47602
2020-05-11,17.04001
2020-05-12,17.09707
2020-05-13,16.44464
2020-05-14,15.75748
2020-05-15,15.38041
2020-05-16,1.63727
2020-05-17,1.11383
2020-05-18,16.26603
2020-05-19,21.15551
2020-05-20,17.93058
2020-05-21,17.556
2020-05-22,15.18692
2020-05-23,1.59013
2020-05-24,1.12376
2020-05-25,15.16955
2020-05-26,17.14172
2020-05-27,20.90992
2020-05-28,20.74867
2020-05-29,19.18334
2020-05-30,2.08379
2020-05-31,1.51323
2020-06-01,19.1635
2020-06-02,20.63704
2020-06-03,29.81816
2020-06-04,27.98243
2020-06-05,23.15
2020-06-06,2.37404
2020-06-07,1.7613
2020-06-08,22.72828
2020-06-09,20.9769
2020-06-10,20.67921
2020-06-11,19.27017
2020-06-12,18.5582
2020-06-13,1.86053
2020-06-14,1.285
2020-06-15,17.9678
2020-06-16,20.87023
2020-06-17,19.09404
2020-06-18,17.14172
2020-06-19,17.81647
2020-06-20,1.75634
2020-06-21,1.30237
2020-06-22,16.86884
2020-06-23,16.05517
2020-06-24,16.43223
2020-06-25,14.73295
2020-06-26,15.38289
2020-06-27,1.70424
2020-06-28,1.0791
2020-06-29,13.61414
2020-06-30,15.57639
2020-07-01,15.63096
2020-07-02,14.19711
2020-07-03,13.2594
2020-07-04,1.35198
2020-07-05,1.00964
2020-07-06,16.31812
2020-07-07,14.78008
2020-07-08,13.88206
2020-07-09,13.35863
2020-07-10,11.87268
2020-07-11,1.15353
2020-07-12,0.88313
2020-07-13,13.4529
2020-07-14,11.73625
2020-07-15,18.15633
2020-07-16,14.51464
2020-07-17,12.96172
2020-07-18,1.28997
2020-07-19,0.87321
2020-07-20,12.92699
2020-07-21,15.53174
2020-07-22,15.2142
2020-07-23,13.26685
2020-07-24,12.30681
2020-07-25,1.21306
2020-07-26,0.89057
2020-07-27,13.25444
2020-07-28,13.51988
2020-07-29,13.79772
2020-07-30,13.42809
2020-07-31,12.7707
2020-08-01,1.35446
2020-08-02,1.05182
2020-08-03,12.23487
2020-08-04,14.13261
2020-08-05,13.54717
2020-08-06,13.65136
2020-08-07,12.69132
2020-08-08,1.48346
2020-08-09,1.14608
2020-08-10,13.49507
2020-08-11,17.93058
2020-08-12,15.16955
2020-08-13,18.96008
2020-08-14,14.93636
2020-08-15,1.414
2020-08-16,1.14112
2020-08-17,2.72134
2020-08-18,13.68112
2020-08-19,13.69105
2020-08-20,13.51492
