date,이자
2020-03-20,38.90739
2020-03-21,27.18187
2020-03-22,30.57961
2020-03-23,38.24117
2020-03-24,40.23984
2020-03-25,41.70552
2020-03-26,39.30712
2020-03-27,37.30846
2020-03-28,28.58094
2020-03-29,26.0493
2020-03-30,39.04063
2020-03-31,38.97401
2020-04-01,39.2405
2020-04-02,35.6429
2020-04-03,35.0433
2020-04-04,25.78281
2020-04-05,28.71419
2020-04-06,35.44303
2020-04-07,32.57828
2020-04-08,39.64023
2020-04-09,36.70886
2020-04-10,36.77548
2020-04-11,26.0493
2020-04-12,25.04996
2020-04-13,34.84343
2020-04-14,32.11192
2020-04-15,30.17988
2020-04-16,41.30579
2020-04-17,36.90872
2020-04-18,26.58227
2020-04-19,28.58094
2020-04-20,38.57428
2020-04-21,42.30512
2020-04-22,39.70686
2020-04-23,37.04197
2020-04-24,39.57361
2020-04-25,28.04796
2020-04-26,27.58161
2020-04-27,40.03997
2020-04-28,41.30579
2020-04-29,40.83944
2020-04-30,26.78214
2020-05-01,29.31379
2020-05-02,25.98267
2020-05-03,25.78281
2020-05-04,38.0413
2020-05-05,29.24716
2020-05-06,37.97468
2020-05-07,41.70552
2020-05-08,37.70819
2020-05-09,26.51565
2020-05-10,27.18187
2020-05-11,41.10592
2020-05-12,40.70619
2020-05-13,35.77614
2020-05-14,38.44103
2020-05-15,36.30912
2020-05-16,28.18121
2020-05-17,26.11592
2020-05-18,37.04197
2020-05-19,40.77281
2020-05-20,40.10659
2020-05-21,40.50632
2020-05-22,35.84277
2020-05-23,25.78281
2020-05-24,27.91472
2020-05-25,39.8401
2020-05-26,37.64157
2020-05-27,36.70886
2020-05-28,35.90939
2020-05-29,34.11059
2020-05-30,26.11592
2020-05-31,31.4457
2020-06-01,36.30912
2020-06-02,41.43904
2020-06-03,41.23917
2020-06-04,36.37574
2020-06-05,34.91005
2020-06-06,32.44503
2020-06-07,32.51165
2020-06-08,44.17055
2020-06-09,37.84143
2020-06-10,40.70619
2020-06-11,40.17321
2020-06-12,40.37308
2020-06-13,31.64556
2020-06-14,34.71019
2020-06-15,41.77215
2020-06-16,42.17188
2020-06-17,40.37308
2020-06-18,37.24183
2020-06-19,35.77614
2020-06-20,31.84543
2020-06-21,29.51365
2020-06-22,40.17321
2020-06-23,47.96802
2020-06-24,43.10459
2020-06-25,43.17121
2020-06-26,32.11192
2020-06-27,28.64756
2020-06-28,29.58027
2020-06-29,39.2405
2020-06-30,40.03997
2020-07-01,38.50766
2020-07-02,36.8421
2020-07-03,33.57761
2020-07-04,27.64823
2020-07-05,27.58161
2020-07-06,35.37641
2020-07-07,39.2405
2020-07-08,37.70819
2020-07-09,31.11259
2020-07-10,30.31312
2020-07-11,26.38241
2020-07-12,30.37974
2020-07-13,34.11059
2020-07-14,35.84277
2020-07-15,36.50899
2020-07-16,37.17521
2020-07-17,30.11325
2020-07-18,26.51565
2020-07-19,28.24783
2020-07-20,33.97734
2020-07-21,36.44237
2020-07-22,35.70952
2020-07-23,31.57894
2020-07-24,31.97868
2020-07-25,25.58294
2020-07-26,26.44903
2020-07-27,35.30979
2020-07-28,36.44237
2020-07-29,33.11125
2020-07-30,31.97868
2020-07-31,32.84477
2020-08-01,23.51765
2020-08-02,23.98401
2020-08-03,31.77881
2020-08-04,30.2465
2020-08-05,30.2465
2020-08-06,32.97801
2020-08-07,28.71419
2020-08-08,23.25116
2020-08-09,21.91872
2020-08-10,37.90806
2020-08-11,33.97734
2020-08-12,30.97934
2020-08-13,31.04596
2020-08-14,27.44836
2020-08-15,18.98734
2020-08-16,20.58627
2020-08-17,22.25183
2020-08-18,30.57961
2020-08-19,30.91272
2020-08-20,30.71285
2020-08-21,28.64756
2020-08-22,23.91738
2020-08-23,22.38507
2020-08-24,32.31179
2020-08-25,32.84477
2020-08-26,34.71019
2020-08-27,35.10992
2020-08-28,33.51099
2020-08-29,24.85009
2020-08-30,27.44836
2020-08-31,37.97468
2020-09-01,41.57228
2020-09-02,36.57561
2020-09-03,39.50699
2020-09-04,31.91205
2020-09-05,28.78081
2020-09-06,27.44836
2020-09-07,40.63957
2020-09-08,41.6389
2020-09-09,39.2405
2020-09-10,43.10459
2020-09-11,42.30512
2020-09-12,25.24983
2020-09-13,30.77948
2020-09-14,42.37175
2020-09-15,42.03864
2020-09-16,40.23984
2020-09-17,45.10326
2020-09-18,34.91005
2020-09-19,29.24716
2020-09-20,31.4457
2020-09-21,37.17521
2020-09-22,37.70819
2020-09-23,37.17521
2020-09-24,33.04463
2020-09-25,34.4437
2020-09-26,25.64956
2020-09-27,28.78081
2020-09-28,41.37241
2020-09-29,34.84343
2020-09-30,26.91538
2020-10-01,27.11525
2020-10-02,27.04863
2020-10-03,27.58161
2020-10-04,33.2445
2020-10-05,42.03864
2020-10-06,40.83944
2020-10-07,41.10592
2020-10-08,41.23917
2020-10-09,30.44636
2020-10-10,33.71085
2020-10-11,33.57761
2020-10-12,43.63757
2020-10-13,42.90473
2020-10-14,41.23917
2020-10-15,40.97268
2020-10-16,39.37375
2020-10-17,32.24516
2020-10-18,37.90806
2020-10-19,45.03664
2020-10-20,41.70552
2020-10-21,43.4377
2020-10-22,38.10792
2020-10-23,34.57694
2020-10-24,27.51499
2020-10-25,34.11059
2020-10-26,39.04063
2020-10-27,37.70819
2020-10-28,38.24117
2020-10-29,37.24183
2020-10-30,33.57761
2020-10-31,24.45036
2020-11-01,26.24916
2020-11-02,34.84343
2020-11-03,39.17388
2020-11-04,33.97734
2020-11-05,32.6449
2020-11-06,29.44703
2020-11-07,22.25183
2020-11-08,26.38241
2020-11-09,38.10792
2020-11-10,35.90939
2020-11-11,35.70952
2020-11-12,33.17788
2020-11-13,33.31112
2020-11-14,27.51499
2020-11-15,28.71419
2020-11-16,41.43904
