date,국내주식추천
2020-03-20,0.80604
2020-03-21,1.00755
2020-03-22,0.65491
2020-03-23,0.9068
2020-03-24,1.10831
2020-03-25,1.51133
2020-03-26,2.36775
2020-03-27,1.20906
2020-03-28,0.25188
2020-03-29,0.9068
2020-03-30,1.41057
2020-03-31,2.31738
2020-04-01,1.51133
2020-04-02,1.46095
2020-04-03,1.05793
2020-04-04,0.50377
2020-04-05,0.30226
2020-04-06,1.51133
2020-04-07,1.15869
2020-04-08,1.41057
2020-04-09,1.51133
2020-04-10,1.25944
2020-04-11,0.4534
2020-04-12,0.85642
2020-04-13,1.15869
2020-04-14,0.60453
2020-04-15,0.4534
2020-04-16,1.20906
2020-04-17,1.10831
2020-04-18,0.50377
2020-04-19,0.65491
2020-04-20,1.25944
2020-04-21,1.51133
2020-04-22,1.00755
2020-04-23,1.51133
2020-04-24,0.60453
2020-04-25,0.4534
2020-04-26,0.35264
2020-04-27,1.10831
2020-04-28,0.50377
2020-04-29,1.00755
2020-04-30,0.70528
2020-05-01,0.80604
2020-05-03,0.55415
2020-05-04,0.55415
2020-05-05,0.35264
2020-05-06,0.50377
2020-05-07,1.15869
2020-05-08,0.50377
2020-05-09,0.75566
2020-05-10,0.70528
2020-05-11,0.30226
2020-05-12,1.41057
2020-05-13,0.80604
2020-05-14,0.4534
2020-05-15,0.25188
2020-05-16,0.70528
2020-05-18,0.55415
2020-05-19,0.85642
2020-05-20,1.25944
2020-05-21,1.20906
2020-05-22,0.70528
2020-05-23,0.4534
2020-05-24,0.55415
2020-05-25,0.85642
2020-05-26,0.75566
2020-05-27,0.40302
2020-05-28,1.00755
2020-05-29,0.40302
2020-05-30,0.65491
2020-06-01,0.25188
2020-06-02,0.4534
2020-06-03,1.25944
2020-06-04,0.60453
2020-06-05,1.30982
2020-06-06,0.25188
2020-06-07,0.4534
2020-06-08,0.55415
2020-06-09,1.00755
2020-06-10,0.70528
2020-06-11,0.95717
2020-06-12,0.4534
2020-06-13,0.65491
2020-06-14,0.55415
2020-06-15,0.30226
2020-06-16,0.40302
2020-06-17,1.10831
2020-06-18,0.85642
2020-06-19,0.55415
2020-06-20,0.35264
2020-06-21,0.50377
2020-06-22,0.70528
2020-06-23,1.00755
2020-06-24,0.85642
2020-06-25,0.40302
2020-06-26,0.50377
2020-06-30,0.4534
2020-07-01,0.60453
2020-07-02,0.60453
2020-07-03,0.55415
2020-07-05,0.40302
2020-07-06,1.56171
2020-07-07,1.00755
2020-07-08,0.85642
2020-07-09,1.15869
2020-07-10,0.65491
2020-07-12,0.80604
2020-07-13,1.15869
2020-07-14,0.60453
2020-07-15,1.20906
2020-07-16,1.00755
2020-07-17,0.80604
2020-07-18,0.55415
2020-07-19,0.35264
2020-07-20,1.20906
2020-07-21,0.65491
2020-07-22,1.00755
2020-07-23,1.05793
2020-07-24,1.61209
2020-07-25,0.30226
2020-07-26,0.55415
2020-07-27,1.61209
2020-07-28,1.56171
2020-07-29,1.46095
2020-07-30,1.91435
2020-07-31,1.61209
2020-08-01,1.41057
2020-08-02,1.51133
2020-08-03,3.67758
2020-08-04,4.58438
2020-08-05,5.13853
2020-08-06,6.70025
2020-08-07,5.54156
2020-08-08,3.47607
2020-08-09,3.82871
2020-08-10,8.96725
2020-08-11,8.41309
2020-08-12,8.36272
2020-08-13,6.54911
2020-08-14,5.59193
2020-08-15,2.87153
2020-08-16,2.267
2020-08-17,2.7204
2020-08-18,4.43324
2020-08-19,6.801
2020-08-20,6.75062
2020-08-21,5.28967
2020-08-22,2.56926
2020-08-23,2.77078
2020-08-24,4.83627
2020-08-25,5.49118
2020-08-26,7.65743
2020-08-27,6.29722
2020-08-28,5.28967
2020-08-29,3.32493
2020-08-30,5.28967
2020-08-31,6.75062
2020-09-01,7.95969
2020-09-02,7.30478
2020-09-03,10.42821
2020-09-04,6.49874
2020-09-05,3.1738
2020-09-06,3.52644
2020-09-07,8.76574
2020-09-08,8.91687
2020-09-09,9.42065
2020-09-10,11.63727
2020-09-11,9.37027
2020-09-12,4.38287
2020-09-13,4.23173
2020-09-14,7.10327
2020-09-15,8.41309
2020-09-16,6.95214
2020-09-17,6.04534
2020-09-18,5.34005
2020-09-19,3.92947
2020-09-20,3.07304
2020-09-21,5.54156
2020-09-22,3.77833
2020-09-23,3.97984
2020-09-24,3.82871
2020-09-25,3.37531
2020-09-26,1.96473
2020-09-27,1.86397
2020-09-28,3.12342
2020-09-29,2.97229
2020-09-30,2.16624
2020-10-01,2.41813
2020-10-02,2.92191
2020-10-03,3.77833
2020-10-04,5.8942
2020-10-05,12.44332
2020-10-06,11.28463
2020-10-07,10.83123
2020-10-08,13.90428
2020-10-09,8.71536
2020-10-10,7.95969
2020-10-11,8.46347
2020-10-12,18.13602
2020-10-13,16.77581
2020-10-14,16.1209
2020-10-15,14.71032
2020-10-16,12.14105
2020-10-17,5.74307
2020-10-18,5.99496
2020-10-19,11.83879
2020-10-20,12.74559
2020-10-21,12.19143
2020-10-22,9.57178
2020-10-23,8.56423
2020-10-24,5.23929
2020-10-25,4.88664
2020-10-26,8.51385
2020-10-27,6.54911
2020-10-28,7.85894
2020-10-29,7.50629
2020-10-30,5.74307
2020-10-31,3.07304
2020-11-01,3.07304
2020-11-02,7.00251
2020-11-03,7.95969
2020-11-04,10.42821
2020-11-05,13.55163
2020-11-06,13.60201
2020-11-07,7.50629
2020-11-08,8.6146
2020-11-09,18.89168
2020-11-10,23.37531
2020-11-11,31.63727
2020-11-12,28.41309
2020-11-13,21.51133
2020-11-14,13.4005
2020-11-15,12.89672
2020-11-16,36.22166
2020-11-17,38.23677
2020-11-18,35.46599
2020-11-19,30.52896
2020-11-20,27.30478
2020-11-21,14.91183
2020-11-22,17.68261
2020-11-23,34.25692
2020-11-24,37.0277
2020-11-25,45.99496
2020-11-26,39.69773
2020-11-27,33.55163
2020-11-28,22.31738
2020-11-29,23.72795
2020-11-30,34.10579
2020-12-01,37.83375
2020-12-02,44.73551
2020-12-03,47.65743
2020-12-04,46.09571
2020-12-05,24.78589
2020-12-06,28.66498
2020-12-07,47.60705
2020-12-08,44.23173
2020-12-09,44.23173
2020-12-10,50.27707
2020-12-11,46.90176
2020-12-12,23.27455
2020-12-13,24.63476
2020-12-14,44.63476
2020-12-15,38.74055
2020-12-16,37.73299
2020-12-17,40.0
2020-12-18,39.89924
2020-12-19,22.92191
2020-12-20,27.30478
2020-12-21,43.02267
2020-12-22,35.16372
2020-12-23,37.12846
2020-12-24,36.62468
2020-12-25,19.44584
2020-12-26,18.28715
2020-12-27,23.67758
2020-12-28,44.13098
2020-12-29,45.39042
2020-12-30,50.57934
2020-12-31,28.96725
2021-01-01,25.79345
2021-01-02,27.7078
2021-01-03,33.04785
2021-01-04,73.60201
2021-01-05,71.68765
2021-01-06,75.96977
2021-01-07,78.89168
2021-01-08,99.69773
2021-01-09,58.69017
2021-01-10,58.43828
