date,부자되는법
2020-11-08,29.04761
2020-11-09,33.09523
2020-11-10,36.66666
2020-11-11,30.23809
2020-11-12,30.0
2020-11-13,20.95238
2020-11-14,25.0
2020-11-15,32.14285
2020-11-16,30.0
2020-11-17,32.14285
2020-11-18,31.42857
2020-11-19,27.38095
2020-11-20,29.7619
2020-11-21,31.42857
2020-11-22,38.09523
2020-11-23,32.38095
2020-11-24,29.5238
2020-11-25,32.61904
2020-11-26,36.66666
2020-11-27,32.14285
2020-11-28,25.71428
2020-11-29,30.47619
2020-11-30,27.85714
2020-12-01,39.28571
2020-12-02,34.04761
2020-12-03,31.19047
2020-12-04,25.47619
2020-12-05,26.66666
2020-12-06,25.23809
2020-12-07,35.47619
2020-12-08,34.28571
2020-12-09,31.19047
2020-12-10,30.71428
2020-12-11,27.14285
2020-12-12,32.14285
2020-12-13,28.09523
2020-12-14,32.38095
2020-12-15,36.19047
2020-12-16,29.28571
2020-12-17,32.38095
2020-12-18,26.19047
2020-12-19,22.61904
2020-12-20,33.33333
2020-12-21,38.09523
2020-12-22,31.90476
2020-12-23,35.23809
2020-12-24,30.71428
2020-12-25,28.57142
2020-12-26,37.61904
2020-12-27,46.90476
2020-12-28,39.7619
2020-12-29,49.28571
2020-12-30,39.28571
2020-12-31,37.85714
2021-01-01,43.33333
2021-01-02,41.90476
2021-01-03,52.85714
2021-01-04,50.71428
2021-01-05,46.66666
2021-01-06,56.19047
2021-01-07,42.14285
2021-01-08,48.80952
2021-01-09,40.23809
2021-01-10,47.38095
2021-01-11,42.38095
2021-01-12,37.61904
2021-01-13,39.04761
2021-01-14,40.0
2021-01-15,31.66666
2021-01-16,36.19047
2021-01-17,32.14285
2021-01-18,42.38095
2021-01-19,33.09523
2021-01-20,40.0
2021-01-21,32.61904
2021-01-22,38.57142
2021-01-23,31.42857
2021-01-24,37.14285
2021-01-25,34.7619
2021-01-26,39.7619
2021-01-27,33.33333
2021-01-28,33.09523
2021-01-29,30.71428
2021-01-30,36.90476
2021-01-31,37.14285
2021-02-01,38.09523
2021-02-02,34.7619
2021-02-03,29.28571
2021-02-04,32.14285
2021-02-05,29.28571
2021-02-06,31.66666
2021-02-07,37.38095
2021-02-08,31.19047
2021-02-09,32.38095
2021-02-10,28.57142
2021-02-11,24.04761
2021-02-12,30.71428
2021-02-13,35.71428
2021-02-14,45.47619
2021-02-15,32.14285
2021-02-16,31.42857
2021-02-17,28.33333
2021-02-18,35.95238
2021-02-19,33.33333
2021-02-20,26.90476
2021-02-21,28.57142
2021-02-22,27.61904
2021-02-23,29.28571
2021-02-24,24.28571
2021-02-25,23.33333
2021-02-26,26.42857
2021-02-27,19.04761
2021-02-28,29.5238
2021-03-01,28.33333
2021-03-02,20.23809
2021-03-03,26.19047
2021-03-04,25.0
2021-03-05,23.33333
2021-03-06,23.33333
2021-03-07,22.38095
2021-03-08,18.09523
2021-03-09,26.90476
2021-03-10,23.09523
2021-03-11,26.42857
2021-03-12,20.95238
2021-03-13,22.85714
2021-03-14,22.38095
2021-03-15,26.90476
2021-03-16,19.5238
2021-03-17,24.04761
2021-03-18,21.66666
2021-03-19,19.5238
2021-03-20,27.85714
2021-03-21,26.42857
2021-03-22,25.95238
2021-03-23,24.5238
2021-03-24,21.19047
2021-03-25,19.7619
2021-03-26,20.71428
2021-03-27,25.0
2021-03-28,27.38095
2021-03-29,30.47619
2021-03-30,34.7619
2021-03-31,33.57142
2021-04-01,28.57142
2021-04-02,27.14285
2021-04-03,21.66666
2021-04-04,32.38095
2021-04-05,23.09523
2021-04-06,29.5238
2021-04-07,31.90476
2021-04-08,30.0
2021-04-09,28.80952
2021-04-10,32.38095
2021-04-11,36.42857
2021-04-12,31.90476
2021-04-13,29.04761
2021-04-14,32.85714
2021-04-15,34.5238
2021-04-16,27.38095
2021-04-17,23.33333
2021-04-18,38.09523
2021-04-19,39.7619
2021-04-20,37.61904
2021-04-21,28.80952
2021-04-22,35.71428
2021-04-23,30.0
2021-04-24,31.19047
2021-04-25,30.47619
2021-04-26,33.80952
2021-04-27,30.23809
2021-04-28,34.28571
2021-04-29,27.38095
2021-04-30,25.71428
2021-05-01,24.04761
2021-05-02,33.33333
2021-05-03,29.28571
2021-05-04,28.80952
2021-05-05,30.23809
2021-05-06,27.85714
2021-05-07,25.0
2021-05-08,29.7619
2021-05-09,34.7619
2021-05-10,36.90476
2021-05-11,30.0
2021-05-12,32.85714
2021-05-13,27.85714
2021-05-14,24.28571
2021-05-15,23.57142
2021-05-16,31.19047
2021-05-17,29.5238
2021-05-18,35.0
2021-05-19,48.09523
2021-05-20,44.5238
2021-05-21,33.33333
2021-05-22,34.7619
2021-05-23,38.09523
2021-05-24,43.09523
2021-05-25,40.0
2021-05-26,35.47619
2021-05-27,33.80952
2021-05-28,34.28571
2021-05-29,29.28571
2021-05-30,29.5238
2021-05-31,33.33333
2021-06-01,32.85714
2021-06-02,31.90476
2021-06-03,32.85714
2021-06-04,25.95238
2021-06-05,29.7619
2021-06-06,32.38095
2021-06-07,35.95238
2021-06-08,38.80952
2021-06-09,41.19047
2021-06-10,38.57142
2021-06-11,37.14285
2021-06-12,37.85714
2021-06-13,44.7619
2021-06-14,43.57142
2021-06-15,37.61904
2021-06-16,32.85714
2021-06-17,42.61904
2021-06-18,39.28571
2021-06-19,35.95238
2021-06-20,77.14285
2021-06-21,59.5238
2021-06-22,51.90476
2021-06-23,53.57142
2021-06-24,45.95238
2021-06-25,40.71428
2021-06-26,47.85714
2021-06-27,50.0
2021-06-28,58.80952
2021-06-29,56.42857
2021-06-30,46.19047
2021-07-01,45.71428
2021-07-02,45.47619
2021-07-03,45.71428
2021-07-04,40.47619
2021-07-05,52.85714
2021-07-06,50.23809
2021-07-07,42.14285
2021-07-08,35.95238
2021-07-09,43.33333
2021-07-10,46.90476
2021-07-11,60.71428
2021-07-12,55.23809
2021-07-13,56.90476
2021-07-14,65.23809
2021-07-15,66.19047
2021-07-16,44.7619
2021-07-17,40.95238
2021-07-18,47.85714
2021-07-19,40.47619
2021-07-20,47.14285
2021-07-21,38.09523
2021-07-22,44.04761
2021-07-23,45.23809
2021-07-24,39.04761
2021-07-25,59.04761
