date,퇴직연금디폴트옵션
2022-07-07,11.26388
2022-07-08,8.88418
2022-07-09,7.19196
2022-07-10,4.30988
2022-07-11,10.41776
2022-07-12,20.91485
2022-07-13,10.65573
2022-07-14,6.6367
2022-07-15,4.57429
2022-07-16,1.50713
2022-07-17,1.18984
2022-07-18,3.70174
2022-07-19,3.35801
2022-07-20,5.20888
2022-07-21,4.68006
2022-07-22,3.12004
2022-07-23,0.84611
2022-07-24,0.79323
2022-07-25,2.56478
2022-07-26,2.67054
2022-07-27,2.40613
2022-07-28,2.61766
2022-07-29,1.82443
2022-07-30,0.5817
2022-07-31,1.29561
2022-08-01,1.85087
2022-08-02,2.53833
2022-08-03,2.00951
2022-08-04,4.62718
2022-08-05,2.24748
2022-08-06,0.89899
2022-08-07,0.89899
2022-08-08,2.08884
2022-08-09,1.24272
2022-08-10,1.1634
2022-08-11,2.08884
2022-08-12,1.6129
2022-08-13,0.92543
2022-08-14,0.55526
2022-08-15,0.87255
2022-08-16,1.98307
2022-08-17,1.58646
2022-08-18,1.71866
2022-08-19,1.32205
2022-08-20,1.00475
2022-08-21,0.7139
2022-08-22,1.08408
2022-08-23,1.85087
2022-08-24,1.7451
2022-08-25,1.95663
2022-08-26,4.91803
2022-08-27,1.08408
2022-08-28,0.21152
2022-08-29,1.71866
2022-08-30,1.7451
2022-08-31,2.14172
2022-09-01,1.66578
2022-09-02,0.92543
2022-09-03,0.47593
2022-09-04,0.15864
2022-09-05,1.40137
2022-09-06,1.34849
2022-09-07,1.98307
2022-09-08,0.97831
2022-09-09,0.31729
2022-09-10,0.1322
2022-09-11,0.21152
2022-09-12,0.42305
2022-09-13,1.48069
2022-09-14,1.42781
2022-09-15,1.11052
2022-09-16,1.1634
2022-09-17,0.31729
2022-09-18,0.29085
2022-09-19,1.66578
2022-09-20,2.0624
2022-09-21,1.85087
2022-09-22,2.45901
2022-09-23,1.18984
2022-09-24,0.29085
2022-09-25,0.39661
2022-09-26,1.6129
2022-09-27,1.56002
2022-09-28,2.08884
2022-09-29,1.56002
2022-09-30,0.84611
2022-10-01,0.31729
2022-10-02,0.29085
2022-10-03,0.66102
2022-10-04,1.56002
2022-10-05,1.34849
2022-10-06,1.85087
2022-10-07,1.50713
2022-10-08,0.42305
